,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
00,16,12,9,17,14,18,40,9,16,14,0,23,0,36,27
000,26,33,53,186,95,185,77,50,176,46,0,41,0,36,216
0001,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
000110,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
000111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0002017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002017349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0002018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002018216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0002018257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0002019197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0002019226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002020152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0002020223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002020526,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0002021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002021126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002021372,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0002022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002022272,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0002023255,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0002024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
000491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000497,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
000498,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
000499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0005,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0005⅜,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0006,0,0,3,4,0,0,0,0,3,1,0,0,0,0,1
000600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0006⅞,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000742,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
000743,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
000744,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
000746,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0007⅛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000____________________________________________,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
000accounts,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
000adjustments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000asset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000balance,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
000building,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
000capitalized,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
000cline,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
000common,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000debt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
000december,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
000deferred,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
000discounted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000distribution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000dividend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000early,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000exploratory,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
000f,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
000for,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000fourth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000in,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
000income,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
000increase,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
000intangible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000interest,2,0,2,0,2,0,0,0,0,0,0,2,0,0,0
000investments5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000january,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000less,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
000letters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000lower,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
000march,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000mid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
000middle,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
000n,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
000net,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
000note,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000november,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
000operating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
000other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000partnership,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000payments,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
000permian,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
000plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000proceeds,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0
000redemption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000repayment,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0
000repurchase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000restricted,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
000revolving,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
000rocky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000royalty,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
000second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000senior,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
000short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000south,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
000the,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
000thereafter212,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
000thereafter240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
000thereafter31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000thereafter350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
000thereafter62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
000third,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000total,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
000total1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
000total2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
000transmission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000unamortized,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
000undeveloped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000weighted,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0
001,36,0,26,7,56,2,24,74,2,2,0,30,0,74,7
00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001234,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
00136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00140the,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001____________________________________________,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
001green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001greengreenno1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001greengreenno5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001income,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
001intercompany,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
001inventories1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
001production,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
001reclassification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001redredimplemented263142no1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001repayment,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
001total,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
001yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002,0,0,0,1,4,0,2,2,1,0,0,0,0,5,0
0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002__________________________________________________________________________,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
002accrued,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
002cash,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
002changes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002costs,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
002income,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
002lease,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
002net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002operating,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
002other,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
002proceeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003,4,0,1,1,3,0,9,0,3,0,0,3,0,0,0
004,0,0,0,1,7,0,1,1,1,0,0,0,0,0,0
0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
004accounts,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
004eqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
004other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
004total,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
005,0,1,0,1,8,1,0,1,2,1,0,0,0,1,0
0052021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005changes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005components,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005end,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005general,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
005impairment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005oil,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
005operating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005other,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
005proved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005revision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005thereafter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006,0,0,0,2,2,6,1,0,0,0,0,0,0,2,6
0062016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006change,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
006income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006midstream,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
006total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006transportation,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
007,4,1,1,0,4,0,0,7,0,1,0,0,0,3,0
007current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007intangible,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
007natural,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
007other74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
008,2,0,1,3,1,0,5,2,1,0,0,0,0,2,0
00871table,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
008accounts,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
008additional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
008cash,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
008change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
008eqm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
008ngls,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
008other,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
008total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
008undistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009,1,0,2,5,3,2,1,2,7,3,0,1,0,3,2
009exploration,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
009exploration56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
009exploratory,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
009natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009revenue,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
009the,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009total,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
00________________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00_______________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00____________________________________________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00_____________________________________________________________________________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00average,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00ceiling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00combined,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
00depletion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00differential,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00excluding,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
00floor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00january,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00march,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00natural,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
00oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00on,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
00second,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
00swaps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00third,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
00total,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
00totals,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
00vested,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
00weighted,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01,10,10,17,11,3,13,16,37,10,19,0,7,0,3,7
010,1,0,1,1,0,0,0,2,1,0,0,1,0,2,0
0101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010not,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010oil,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
