,0
company,590
2018,583
gas,500
oil,473
31,449
december,443
net,377
2017,373
production,361
million,341
2016,287
cash,260
financial,254
year,249
ended,243
costs,242
notes,235
senior,233
10,232
assets,224
value,213
proved,211
future,207
reserves,199
properties,198
income,181
operations,177
report,168
credit,166
loss,166
price,166
percent,160
tax,159
drilling,152
stock,150
years,147
expense,144
total,144
including,143
additional,142
wells,138
activities,136
fair,133
common,130
debt,129
based,128
derivative,128
estimated,128
prices,128
result,127
certain,126
statements,126
ngl,125
agreement,124
quarter,124
operating,120
development,119
plan,118
changes,117
period,113
capital,112
related,110
flows,108
2019,107
accounting,107
filed,107
current,102
refer,102
information,100
note,99
recorded,98
non,97
ngls,96
basis,95
12,94
item,91
control,88
divestiture,88
regulations,88
asset,87
shares,87
compared,86
increase,86
significant,86
issued,85
results,85
rate,83
energy,82
share,82
discussion,81
average,80
commodity,79
balance,78
completion,78
equity,78
gain,78
requirements,78
estimates,77
increased,77
15,76
market,76
registrant,76
subject,76
performance,75
revenue,74
change,73
federal,73
sale,73
state,73
time,73
convertible,72
21,71
acreage,71
accompanying,70
amounts,70
contracts,70
effect,70
basin,69
exploration,68
ford,68
liability,68
used,68
following,67
form,67
liabilities,67
reference,67
shale,67
undeveloped,67
eagle,66
incorporated,66
date,65
new,65
business,64
transactions,64
consolidated,63
ability,62
ii,62
risk,62
term,62
compensation,61
cost,61
midland,61
mmboe,61
primarily,61
proceeds,61
plans,60
benefit,59
impact,59
laws,59
reserve,59
securities,59
11,58
portion,58
16,57
acquisition,57
act,57
emissions,57
outstanding,57
principal,57
required,57
table,57
20,56
approximately,56
asu,56
long,56
sm,56
associated,55
exhibit,55
included,55
unproved,55
use,55
expect,54
financing,54
incurred,54
completed,53
conditions,53
decrease,53
expected,53
facility,53
retirement,53
thousands,53
transportation,53
adjusted,52
held,52
industry,52
management,52
number,52
property,52
respectively,52
30,51
affect,51
lease,51
obligations,51
paid,51
texas,51
deferred,50
pension,50
water,50
standards,49
volumes,49
0,48
acquisitions,48
available,48
existing,48
factors,48
greenhouse,48
material,48
region,48
13,47
environmental,47
epa,47
program,47
taxes,47
weighted,47
14,46
actual,46
service,46
18,45
addition,45
boe,45
potential,45
processing,45
data,44
fracturing,44
operated,44
terms,44
effective,43
expenses,43
using,43
activity,42
august,42
equipment,42
measure,42
producing,42
annual,41
economic,41
payments,41
prior,41
psus,41
received,41
section,41
states,41
aggregate,40
compliance,40
various,40
adversely,39
carrying,39
divestitures,39
drilled,39
hydraulic,39
internal,39
mmbbl,39
obligation,39
presented,39
provided,39
reporting,39
summary,39
commitments,38
end,38
february,38
impairment,38
include,38
january,38
level,38
rates,38
regulatory,38
comprehensive,37
employee,37
instruments,37
policies,37
50,36
adverse,36
bbl,36
effects,36
employees,36
investment,36
make,36
risks,36
believe,35
billion,35
borrowing,35
consideration,35
issuance,35
reduce,35
remaining,35
settlement,35
stockholders,35
2021,34
2022,34
26,34
500,34
expenditures,34
generally,34
payment,34
settlements,34
areas,33
developed,33
discount,33
exchange,33
gaap,33
includes,33
quantities,33
resources,33
resulting,33
sheets,33
22,32
arrangements,32
assumptions,32
condition,32
facilities,32
offset,32
executive,31
final,31
materially,31
periods,31
permian,31
provide,31
purchase,31
recognized,31
reduced,31
united,31
29,30
accordance,30
demand,30
directors,30
gathering,30
leases,30
losses,30
party,30
restricted,30
rule,30
september,30
25,29
accrued,29
amortization,29
determined,29
limit,29
locations,29
millions,29
parties,29
require,29
sources,29
2023,28
depletion,28
gross,28
lower,28
method,28
rsus,28
35,27
48,27
acquired,27
amended,27
base,27
beginning,27
continue,27
covenants,27
dated,27
grant,27
liquidity,27
mountain,27
partially,27
statement,27
timing,27
100,26
19,26
43,26
49,26
applicable,26
awards,26
day,26
fees,26
general,26
higher,26
natural,26
outside,26
reasonable,26
rocky,26
sec,26
standardized,26
17,25
40,25
agreements,25
bank,25
benefits,25
climate,25
controls,25
customers,25
decreased,25
disclosure,25
discounted,25
forward,25
governing,25
guidance,25
month,25
present,25
produced,25
realized,25
redemption,25
regarding,25
revenues,25
sales,25
second,25
title,25
2014,24
2015,24
28,24
accounts,24
acres,24
administrative,24
defined,24
entities,24
equivalent,24
line,24
markets,24
overall,24
pricing,24
regulation,24
relating,24
repurchase,24
resulted,24
substantial,24
2027,23
24,23
37,23
64,23
board,23
capitalized,23
corporate,23
depreciation,23
develop,23
does,23
gases,23
group,23
joint,23
major,23
necessary,23
nymex,23
provides,23
rules,23
systems,23
32,22
bcf,22
ebitdax,22
estimate,22
exploratory,22
fixed,22
fund,22
greater,22
index,22
june,22
methane,22
minimum,22
position,22
process,22
produce,22
productive,22
public,22
pv,22
reported,22
units,22
valuation,22
abandonment,21
adopted,21
analysis,21
component,21
considered,21
contractual,21
delays,21
dividends,21
filing,21
incur,21
limited,21
obtain,21
operational,21
owners,21
periodic,21
presentation,21
product,21
pursuant,21
unamortized,21
44,20
56,20
76,20
appropriate,20
contract,20
differentials,20
discussed,20
growth,20
impacts,20
investments,20
national,20
occur,20
officer,20
order,20
previously,20
quality,20
quarterly,20
recently,20
reflect,20
revisions,20
0,19
23,19
75,19
80,19
affected,19
air,19
availability,19
award,19
calculate,19
circumstances,19
coast,19
companies,19
core,19
counterparties,19
county,19
derivatives,19
director,19
disposal,19
ending,19
engineering,19
entered,19
excess,19
follows,19
granted,19
gulf,19
items,19
office,19
operate,19
ownership,19
receive,19
retained,19
services,19
trends,19
values,19
120,18
2013,18
36,18
accumulated,18
agencies,18
audit,18
classified,18
delivery,18
efforts,18
established,18
extinguishment,18
field,18
hazardous,18
independent,18
llc,18
looking,18
maturity,18
midstream,18
policy,18
potentially,18
programs,18
regional,18
requires,18
resource,18
sell,18
settle,18
sheet,18
sold,18
supplemental,18
technical,18
working,18
9,17
27,17
33,17
access,17
acquire,17
adoption,17
area,17
assurance,17
cause,17
court,17
diluted,17
divested,17
divide,17
drill,17
earnings,17
evaluated,17
events,17
fourth,17
life,17
longer,17
north,17
overview,17
proposed,17
provisions,17
reflects,17
respect,17
return,17
returns,17
right,17
security,17
volatility,17
wti,17
2,16
111,16
41,16
47,16
54,16
capacity,16
conduct,16
conversion,16
dilutive,16
driven,16
eligible,16
emission,16
environment,16
excluding,16
fiscal,16
half,16
initial,16
investing,16
lead,16
legislation,16
lender,16
levels,16
local,16
march,16
percentage,16
perform,16
permitting,16
regions,16
respective,16
restated,16
rigs,16
rock,16
rounding,16
similar,16
successful,16
sufficient,16
vested,16
vesting,16
104,15
160,15
2010,15
85,15
90,15
added,15
additionally,15
association,15
chief,15
currently,15
days,15
different,15
equivalents,15
event,15
funds,15
given,15
governmental,15
interests,15
located,15
maintain,15
methods,15
offering,15
procedures,15
reduction,15
reflected,15
reservoir,15
safety,15
significantly,15
south,15
techniques,15
technology,15
unless,15
172,14
2011,14
34,14
55,14
____________________________________________,14
accretion,14
adjustment,14
amortized,14
capped,14
claims,14
comply,14
components,14
counties,14
criteria,14
geological,14
global,14
hydrocarbons,14
inability,14
individual,14
insurance,14
july,14
large,14
mbbl,14
measured,14
measurement,14
nature,14
october,14
permit,14
petroleum,14
place,14
qstar,14
relative,14
represents,14
restrictions,14
scott,14
selected,14
spacing,14
supply,14
unable,14
wastes,14
write,14
1,13
2026,13
625,13
able,13
action,13
anticipated,13
calculated,13
calculation,13
case,13
combined,13
complete,13
completions,13
damage,13
depend,13
determine,13
east,13
funded,13
health,13
high,13
historical,13
impairments,13
inputs,13
likely,13
majority,13
meet,13
offer,13
oklahoma,13
opis,13
permits,13
point,13
pool,13
possible,13
presents,13
products,13
qualified,13
reasonably,13
restrict,13
review,13
ryder,13
scheduled,13
substantially,13
technologies,13
trading,13
zero,13
115,12
46,12
63,12
70,12
91,12
accelerated,12
actions,12
allocated,12
april,12
classification,12
closed,12
daily,12
did,12
difficult,12
downward,12
early,12
expire,12
fasb,12
finalized,12
formations,12
halff,12
indenture,12
infrastructure,12
inherent,12
mark,12
mix,12
multiple,12
offsetting,12
option,12
options,12
owned,12
payable,12
planned,12
plays,12
pollutants,12
president,12
providers,12
ratio,12
receivable,12
reclassified,12
recognizes,12
recoverable,12
registered,12
repurchased,12
rights,12
source,12
species,12
specific,12
subsidiaries,12
substances,12
summarized,12
tender,12
things,12
transaction,12
uncertainty,12
unsecured,12
uses,12
valorem,12
7,11
135,11
158,11
38,11
45,11
68,11
96,11
allow,11
anticipate,11
application,11
