,0
00,19
000,48
000____________________________________________,2
000mid,1
000permian,1
000repayment,1
000south,1
000total,1
001,3
002,2
004,1
007,1
009,2
009the,1
01,13
010,1
012,3
013,1
016,3
019ending,1
01expense,1
01granted583,1
02,16
020,3
023,1
024,6
025,2
026asset,1
028,3
029,1
02statement,1
03,4
030,2
031,1
032,2
034,1
035,2
035net,1
036,3
04,1
040,1
041,2
044,4
044reserves,1
045less,1
047,4
048,2
048benefits,1
049,1
04we,1
05,5
050,1
050net,1
051,1
0518430,1
052,1
054,2
056,2
057,2
057other20,1
059,3
06,1
060,3
060ngl,1
061,1
062capital,1
064,1
065,3
066,4
0662021,1
067,2
067pension,1
068,1
06forfeited,1
07,11
072,10
074,3
074other,1
075,1
076,1
077,1
078,3
079,1
08,3
083,2
084,1
086,3
087,1
088,1
089,2
08vested,1
09,17
093,1
093equity,1
094,1
097,3
099,1
09as,1
0___________________________________________,1
0____________________________________________,1
0delivery,1
0exploratory,1
0interest,1
0mmboe,1
0ngls,1
0senior,1
0total,2
10,232
100,26
100intended,1
101,2
102,5
102pension,1
103,10
104,15
104interest,1
105,4
105note,1
106,2
106oil,1
107,9
107asset,1
107ngl,1
107the,1
108,5
108the,1
109,1
10b,1
10balance,1
10gas,1
10productionthe,1
11,58
110,2
110proved,1
111,16
111note,1
112,7
112note,1
113,6
113116quarterly,1
113___________________________________________,1
114,7
114the,1
115,12
115future,1
115property,1
116,7
117,10
117additional,1
117item,1
118,2
118management,1
119,2
119report,1
11drilling,1
11lock,1
11production,1
12,94
120,18
1200,2
121,5
121item,1
122,4
122item,1
123,6
123part,1
123total,1
124,5
1244,1
125,9
12510,1
126,3
127,2
127signaturespursuant,1
128,1
128signature,1
129,5
12acreagethe,1
12b,2
13,47
130,8
130exploratory,1
131,6
132,2
133,1
133net,1
134,3
135,11
1350,1
136,1
137,1
13783,4
137a,1
137wells,1
139,6
13a,2
13ad,1
13we,1
14,46
141,1
142,5
143,9
144,5
145,3
146,4
147,7
148,3
149,1
14a,3
14competition,1
15,76
150,3
151,3
152,10
153,2
154,7
154accounts,1
154derivative,1
155,2
156,1
158,11
159,2
15d,2
15environmental,1
16,57
160,15
161,8
162,4
163,4
164,1
165,4
166,9
167,4
168,3
169,4
1692021,1
16amortization,2
