,0,1,2,3
gas,544,540,500,547
company,526,590,590,499
2014,492,207,24,375
oil,466,470,473,448
december,360,488,443,402
31,352,482,449,403
2013,327,31,18,191
million,317,399,341,339
production,316,306,361,311
net,313,385,377,324
10,255,265,232,211
cash,250,240,260,218
financial,246,248,254,230
costs,232,271,242,253
proved,222,253,211,230
value,217,234,213,227
properties,213,205,198,197
natural,212,215,26,219
year,211,245,249,207
reserves,205,219,199,201
future,203,213,207,212
ended,201,243,243,205
plan,192,145,118,159
drilling,190,176,152,168
assets,187,296,224,225
operations,184,183,177,183
prices,178,181,128,183
income,172,168,181,162
stock,171,190,150,149
2012,161,14,9,18
credit,154,157,166,149
notes,153,230,235,135
price,152,191,166,157
derivative,147,152,128,147
development,146,123,119,121
years,146,168,147,158
period,145,109,113,106
report,145,173,168,135
percent,144,120,160,144
expense,143,149,144,158
operating,140,129,120,144
fair,139,160,133,150
tax,137,145,159,129
certain,131,144,126,139
activities,128,128,136,112
including,127,129,143,118
statements,121,113,126,110
ngl,120,117,125,113
estimated,118,105,128,118
exploration,113,83,68,93
2015,112,379,24,604
result,111,106,127,108
common,109,138,130,101
loss,109,140,166,114
total,109,125,144,116
crude,108,106,2,109
additional,106,137,142,125
changes,106,109,117,105
based,105,111,128,96
flows,102,101,108,96
shares,102,108,87,85
filed,99,138,107,92
current,98,111,102,102
related,98,107,110,105
commodity,97,118,79,141
facility,97,41,53,83
wells,97,135,138,121
capital,96,113,112,107
information,96,100,100,99
liability,96,85,68,91
non,94,98,97,85
results,94,82,85,90
energy,92,110,82,91
time,92,74,73,72
estimates,91,80,77,78
ngls,91,87,96,85
quarter,90,146,124,98
used,87,77,68,72
form,86,91,67,63
reserve,84,70,59,56
rate,83,85,83,78
item,81,77,91,77
new,81,60,65,65
basis,80,75,95,78
change,80,69,73,82
regulations,80,80,88,71
0,79,53,48,92
registrant,79,91,76,67
asset,78,89,87,76
increase,78,50,86,62
increased,78,51,77,55
senior,78,181,233,67
share,77,79,82,64
30,76,59,51,50
contracts,76,87,70,100
equity,76,88,78,67
market,76,86,76,74
cost,75,66,61,67
date,74,94,65,67
debt,74,120,129,98
subject,74,97,76,75
average,73,74,80,76
completion,72,60,78,59
performance,72,63,75,59
incorporated,71,88,66,59
reference,71,85,67,59
significant,71,81,86,85
refer,70,92,102,81
respectively,70,52,52,78
securities,70,67,59,62
state,70,67,73,63
accompanying,69,59,70,66
accounting,69,73,107,70
agreement,69,136,124,56
control,69,69,88,64
federal,69,83,73,80
balance,68,64,78,72
acquisitions,67,67,48,38
amounts,67,65,70,64
compensation,67,58,61,60
risk,67,66,62,63
act,66,49,57,49
associated,66,61,55,68
gain,66,81,78,67
industry,66,60,52,63
recorded,66,81,98,74
table,65,71,57,75
ability,64,64,62,63
discussion,64,76,81,71
following,64,79,67,77
included,64,57,55,59
property,64,86,52,83
requirements,64,71,78,55
compared,63,55,86,56
liabilities,62,72,67,68
sm,62,83,56,64
outstanding,61,55,57,50
program,61,60,47,69
sale,61,116,73,71
13,60,69,47,60
fracturing,60,62,44,64
management,60,55,52,58
note,60,102,99,66
region,60,33,48,49
12,59,86,94,52
15,59,92,76,60
activity,59,77,42,57
benefit,59,49,59,53
conditions,59,59,53,58
exhibit,59,72,55,47
texas,59,50,51,50
affect,58,56,51,57
business,58,71,64,60
emissions,58,60,57,56
impact,58,67,59,57
issued,56,86,85,58
laws,56,59,59,55
2011,55,27,14,32
annual,55,60,41,48
acquisition,54,91,57,46
mmboe,54,74,61,64
plans,54,64,60,48
revenue,54,54,74,56
approximately,53,87,56,62
available,53,59,48,56
end,53,51,38,50
hydraulic,53,55,39,57
effect,52,60,70,54
environmental,52,52,47,51
existing,52,53,48,52
expenses,52,43,43,44
number,52,50,52,51
unproved,52,63,55,59
ford,51,73,68,54
states,51,48,41,44
eagle,50,73,66,55
epa,50,47,47,44
factors,50,53,48,50
payments,50,46,41,54
reporting,50,41,39,40
shale,50,77,67,57
undeveloped,50,69,67,56
held,49,79,52,48
profits,49,28,9,47
transportation,49,46,53,48
divestiture,48,64,88,53
expected,48,65,53,49
ii,48,55,62,48
impairment,48,48,38,66
include,48,45,38,53
obligation,48,52,39,45
required,48,53,57,49
using,48,49,43,45
11,47,68,58,45
50,47,41,36,25
thousands,47,52,53,48
14,46,65,46,39
acreage,46,58,71,41
addition,46,46,45,46
general,46,34,26,41
portion,46,43,58,34
potential,46,56,45,45
retirement,46,57,53,44
incurred,45,50,54,44
internal,45,34,39,37
paid,45,56,51,43
periods,45,55,31,58
psus,45,45,41,45
section,45,42,41,44
2010,44,15,15,23
greenhouse,44,45,48,37
reduce,44,49,35,45
term,44,59,62,45
various,44,43,40,40
16,43,68,57,56
actual,43,37,46,40
bbl,43,41,36,39
operated,43,77,44,47
proceeds,43,58,61,40
weighted,43,43,47,40
19,42,33,26,43
adjusted,42,48,52,48
revenues,42,38,25,40
standards,42,39,49,48
consolidated,41,37,63,36
economic,41,42,41,45
make,41,39,36,39
principal,41,55,57,29
service,41,47,46,44
use,41,42,55,37
18,40,31,45,28
29,40,29,30,23
adverse,40,39,36,39
adversely,40,40,39,40
billion,40,35,35,32
february,40,41,38,39
level,40,43,38,40
rates,40,41,38,39
united,40,34,31,34
water,40,45,50,42
effective,39,49,43,39
expect,39,59,54,44
expenditures,39,36,34,40
long,39,52,56,43
pension,39,43,50,44
provided,39,34,39,35
regulatory,39,37,38,38
accrued,38,30,29,30
base,38,44,27,34
beginning,38,33,27,24
believe,38,33,35,33
directors,38,34,30,35
exchange,38,30,33,32
lower,38,40,28,39
obligations,38,42,51,36
taxes,38,54,47,38
transactions,38,69,64,38
administrative,37,33,24,32
developed,37,33,33,37
terms,37,37,44,34
25,36,37,29,27
applicable,36,24,26,23
basin,36,68,69,28
compliance,36,36,40,35
decrease,36,58,53,59
equipment,36,58,42,55
june,36,33,22,33
material,36,44,48,36
producing,36,34,42,37
quantities,36,32,33,35
20,35,39,56,37
boe,35,38,45,35
instruments,35,42,37,29
measure,35,39,42,34
presented,35,39,39,46
provide,35,38,31,35
rules,35,19,23,23
stockholders,35,38,35,34
comprehensive,34,32,37,32
investment,34,32,36,36
amended,33,33,27,31
quarterly,33,22,20,19
revisions,33,19,20,14
settlements,33,42,34,37
27,32,25,17,30
abandonment,32,20,21,29
borrowing,32,49,35,36
condition,32,33,32,34
divestitures,32,53,39,28
employee,32,28,37,19
generally,32,32,34,31
mmbbl,32,42,39,35
pursuant,32,29,21,25
realized,32,23,25,31
sales,32,30,25,24
statement,32,26,27,23
volumes,32,36,49,36
board,31,29,23,30
dividends,31,33,21,32
january,31,24,38,30
materially,31,33,31,30
november,31,25,11,18
produced,31,23,25,25
risks,31,27,36,28
22,30,24,32,26
aggregate,30,50,40,37
data,30,32,44,30
determined,30,29,29,27
discount,30,35,33,27
financing,30,54,54,49
issuance,30,41,35,31
prior,30,22,41,22
require,30,31,29,30
28,29,15,24,17
areas,29,34,33,32
carrying,29,39,39,35
deferred,29,47,50,49
effects,29,24,36,23
line,29,14,24,28
permian,29,18,31,29
present,29,27,25,28
received,29,34,41,32
sheets,29,27,33,32
south,29,16,15,21
audit,28,21,18,22
convertible,28,82,72,1
develop,28,25,23,25
employees,28,35,36,30
estimate,28,23,22,25
executive,28,26,31,27
month,28,33,25,23
process,28,30,22,26
public,28,31,22,23
substantial,28,28,24,28
title,28,29,25,27
21,27,47,71,31
35,27,19,27,23
2022,27,16,34,17
accounts,27,20,24,25
acquired,27,54,27,26
added,27,16,15,13
area,27,15,17,16
assumptions,27,29,32,27
companies,27,24,19,22
demand,27,31,30,27
flow,27,16,11,28
gathering,27,29,30,37
july,27,17,14,12
markets,27,27,24,26
provisions,27,22,17,18
rsus,27,29,28,27
17,26,50,25,48
amortization,26,29,29,26
calculated,26,14,13,14
currently,26,25,15,24
derivatives,26,15,19,17
lease,26,38,51,30
locations,26,33,29,29
purchase,26,42,31,24
reasonable,26,26,26,24
regarding,26,25,25,25
resources,26,31,33,30
accordance,25,25,30,25
awards,25,18,26,19
controls,25,24,25,24
depletion,25,27,28,24
final,25,21,31,20
gaap,25,30,33,23
guidance,25,38,25,21
limited,25,25,21,22
longer,25,16,17,16
parties,25,26,29,25
primarily,25,41,61,46
processing,25,28,45,29
programs,25,23,18,27
provides,25,17,23,17
restricted,25,20,30,17
sec,25,25,26,23
september,25,29,30,21
continue,24,24,27,25
counterparties,24,24,19,21
dated,24,43,27,22
engineering,24,20,19,25
facilities,24,26,32,23
forward,24,24,25,25
gases,24,25,23,19
includes,24,36,33,22
losses,24,24,30,25
major,24,26,23,23
office,24,36,19,31
option,24,25,12,17
regulation,24,23,24,22
settlement,24,35,35,27
valuation,24,28,22,27
acres,23,20,24,16
bakken,23,16,2,31
benefits,23,24,25,26
capitalized,23,20,23,23
depreciation,23,23,23,22
discounted,23,25,25,23
earnings,23,15,17,22
excluding,23,18,16,9
exploratory,23,29,22,25
gross,23,36,28,30
method,23,31,28,22
mountain,23,23,27,19
options,23,24,12,26
payment,23,32,34,36
replacement,23,4,1,4
resource,23,20,18,24
second,23,26,25,35
sources,23,31,29,30
summary,23,28,39,28
timing,23,23,27,24
