,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-05-07,30.3500,30.5200,29.8200,30.5100,30.5100,3981605,0.0000,1.0000
1,2019-05-06,30.1100,30.9200,29.8800,30.7800,30.7800,4255061,0.0000,1.0000
2,2019-05-03,29.9800,31.2200,29.9800,30.5900,30.5900,4709536,0.0000,1.0000
3,2019-05-02,30.8000,31.4500,29.7400,29.7800,29.7800,7311630,0.0000,1.0000
4,2019-05-01,33.0000,33.0799,31.7100,31.7100,31.7100,5228817,0.0000,1.0000
5,2019-04-30,33.7100,33.7200,32.6000,32.9100,32.9100,3237791,0.0000,1.0000
6,2019-04-29,32.9300,33.7700,32.8100,33.2200,33.2200,2711305,0.0000,1.0000
7,2019-04-26,33.7100,33.9000,32.6900,33.0600,33.0600,4654570,0.0000,1.0000
8,2019-04-25,35.3500,35.4700,33.8900,34.0600,34.0600,4333524,0.0000,1.0000
9,2019-04-24,36.6700,36.8900,35.4600,35.4800,35.4800,2994829,0.0000,1.0000
10,2019-04-23,37.1800,37.3999,36.0950,36.4300,36.4300,4767568,0.0000,1.0000
11,2019-04-22,36.4500,37.2000,36.1000,37.0900,37.0900,3905097,0.0000,1.0000
12,2019-04-18,36.7000,36.7800,35.5650,35.8700,35.8700,3965389,0.2500,1.0000
13,2019-04-17,36.9100,37.0900,36.6250,36.8400,36.5850,3302313,0.0000,1.0000
14,2019-04-16,36.1800,36.7300,35.7100,36.5600,36.3070,4584972,0.0000,1.0000
15,2019-04-15,36.4000,36.7700,35.9400,35.9500,35.7012,3387780,0.0000,1.0000
16,2019-04-12,37.3700,38.1150,36.1800,36.5000,36.2474,6469028,0.0000,1.0000
17,2019-04-11,35.4000,35.9700,34.9900,35.6400,35.3933,3060518,0.0000,1.0000
18,2019-04-10,34.9700,35.8000,34.7350,35.7200,35.4728,3149024,0.0000,1.0000
19,2019-04-09,35.3400,35.5100,34.7850,34.8800,34.6386,2700357,0.0000,1.0000
20,2019-04-08,35.6900,36.0500,35.4200,35.5600,35.3139,3383485,0.0000,1.0000
21,2019-04-05,33.6800,35.6300,33.6000,35.5700,35.3238,5549188,0.0000,1.0000
22,2019-04-04,33.0600,33.4900,31.9800,33.3700,33.1390,5901764,0.0000,1.0000
23,2019-04-03,34.4200,34.6500,33.0200,33.0600,32.8312,5193639,0.0000,1.0000
24,2019-04-02,35.0000,35.1300,34.2700,34.2800,34.0427,2819497,0.0000,1.0000
25,2019-04-01,35.0300,35.1800,34.5900,34.9700,34.7280,3325454,0.0000,1.0000
26,2019-03-29,35.5400,35.6700,34.5800,34.6600,34.4201,3890872,0.0000,1.0000
27,2019-03-28,34.7400,35.1600,34.6336,35.0900,34.8471,3066185,0.0000,1.0000
