,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,APA,2019-04-29,32.93,33.77,32.81,33.22,33.22,2711305,0.0,1.0,63.39
1,APA,2019-04-26,33.71,33.9,32.69,33.06,33.06,4654570,0.0,1.0,63.29
2,APA,2019-04-25,35.35,35.47,33.89,34.06,34.06,4333524,0.0,1.0,65.23
3,APA,2019-04-24,36.67,36.89,35.46,35.48,35.48,2994829,0.0,1.0,65.96
4,APA,2019-04-23,37.18,37.3999,36.095,36.43,36.43,4767568,0.0,1.0,66.24
5,APA,2019-04-22,36.45,37.2,36.1,37.09,37.09,3905097,0.0,1.0,65.66
6,APA,2019-04-18,36.7,36.78,35.565,35.87,35.87,3965389,0.25,1.0,64.02
7,APA,2019-04-17,36.91,37.09,36.625,36.84,36.585,3302313,0.0,1.0,63.74
8,APA,2019-04-16,36.18,36.73,35.71,36.56,36.307,4584972,0.0,1.0,64.01
9,APA,2019-04-15,36.4,36.77,35.94,35.95,35.7012,3387780,0.0,1.0,63.43
10,APA,2019-04-12,37.37,38.115,36.18,36.5,36.2474,6469028,0.0,1.0,63.86
11,APA,2019-04-11,35.4,35.97,34.99,35.64,35.3933,3060518,0.0,1.0,63.61
12,APA,2019-04-10,34.97,35.8,34.735,35.72,35.4728,3149024,0.0,1.0,64.62
13,APA,2019-04-09,35.34,35.51,34.785,34.88,34.6386,2700357,0.0,1.0,64.05
14,APA,2019-04-08,35.69,36.05,35.42,35.56,35.3139,3383485,0.0,1.0,64.37
15,APA,2019-04-05,33.68,35.63,33.6,35.57,35.3238,5549188,0.0,1.0,63.1
16,APA,2019-04-04,33.06,33.49,31.98,33.37,33.139,5901764,0.0,1.0,62.12
17,APA,2019-04-03,34.42,34.65,33.02,33.06,32.8312,5193639,0.0,1.0,62.46
18,APA,2019-04-02,35.0,35.13,34.27,34.28,34.0427,2819497,0.0,1.0,62.53
19,APA,2019-04-01,35.03,35.18,34.59,34.97,34.728,3325454,0.0,1.0,61.59
20,APA,2019-03-29,35.54,35.67,34.58,34.66,34.4201,3890872,0.0,1.0,60.19
21,APA,2019-03-28,34.74,35.16,34.6336,35.09,34.8471,3066185,0.0,1.0,59.29
22,APA,2019-03-27,35.5,35.81,34.86,35.02,34.7776,2613210,0.0,1.0,59.39
23,APA,2019-03-26,35.54,36.08,35.31,35.66,35.4132,2763498,0.0,1.0,59.87
24,APA,2019-03-25,34.77,35.1,34.24,34.92,34.6783,3352594,0.0,1.0,58.71
25,APA,2019-03-22,35.73,35.86,34.53,34.82,34.579,4100899,0.0,1.0,58.87
26,APA,2019-03-21,35.12,36.175,34.98,36.08,35.8303,3700595,0.0,1.0,59.98
27,APA,2019-03-20,34.36,35.75,34.36,35.29,35.0457,4329478,0.0,1.0,60.12
28,APA,2019-03-19,35.25,35.45,34.33,34.49,34.2513,2768316,0.0,1.0,59.12
29,APA,2019-03-18,34.61,35.12,34.5,35.01,34.7677,2894019,0.0,1.0,59.09
30,APA,2019-03-15,33.84,34.52,33.84,34.45,34.2116,5013860,0.0,1.0,58.51
31,APA,2019-03-14,34.32,34.6,34.13,34.27,34.0328,3143081,0.0,1.0,58.59
32,APA,2019-03-13,34.02,34.36,33.67,34.32,34.0825,3730247,0.0,1.0,58.27
33,APA,2019-03-12,32.97,33.74,32.73,33.68,33.4469,5924649,0.0,1.0,56.89
34,APA,2019-03-11,32.26,33.1,32.14,32.75,32.5233,4673770,0.0,1.0,56.79
35,APA,2019-03-08,32.61,32.61,31.52,31.95,31.7289,5241090,0.0,1.0,55.77
36,APA,2019-03-07,32.81,33.32,32.25,33.27,33.0397,4280421,0.0,1.0,56.6
37,APA,2019-03-06,33.42,33.42,32.56,32.73,32.5035,3253441,0.0,1.0,56.22
38,APA,2019-03-05,33.62,33.84,33.06,33.73,33.4965,3007721,0.0,1.0,56.55
39,APA,2019-03-04,34.23,34.33,33.13,33.67,33.437,4202466,0.0,1.0,56.6
40,APA,2019-03-01,33.43,34.02,33.23,33.99,33.7547,4771289,0.0,1.0,55.76
41,APA,2019-02-28,33.81,34.18,32.08,33.18,32.9503,7677586,0.0,1.0,57.21
42,APA,2019-02-27,33.3,34.09,33.02,33.56,33.3277,5274525,0.0,1.0,56.92
43,APA,2019-02-26,33.39,33.72,33.04,33.09,32.861,2791913,0.0,1.0,55.4
44,APA,2019-02-25,33.28,33.83,33.26,33.46,33.2284,3223627,0.0,1.0,55.32
45,APA,2019-02-22,33.57,33.6,32.83,33.47,33.2383,7531757,0.0,1.0,57.01
46,APA,2019-02-21,33.79,33.86,33.085,33.37,33.139,3848983,0.0,1.0,56.95
47,APA,2019-02-20,33.29,34.21,33.285,33.8,33.5661,5013966,0.0,1.0,56.9
48,APA,2019-02-19,33.05,33.72,32.985,33.31,33.0794,3039994,0.0,1.0,56.12
49,APA,2019-02-15,33.08,33.49,32.79,33.3,33.0695,4873090,0.0,1.0,55.58
50,APA,2019-02-14,31.99,32.91,31.93,32.67,32.4439,3972550,0.0,1.0,54.4
51,APA,2019-02-13,31.23,32.39,31.09,32.28,32.0566,4721736,0.0,1.0,53.84
52,APA,2019-02-12,30.98,31.61,30.945,31.08,30.8649,4817690,0.0,1.0,53.14
53,APA,2019-02-11,29.5,30.59,29.48,30.35,30.1399,3228505,0.0,1.0,52.43
54,APA,2019-02-08,30.46,30.75,29.32,29.87,29.6633,4388430,0.0,1.0,52.75
55,APA,2019-02-07,31.54,31.705,30.21,30.53,30.3187,3927706,0.0,1.0,52.68
56,APA,2019-02-06,32.52,32.64,31.82,31.85,31.6296,4385951,0.0,1.0,53.94
57,APA,2019-02-05,33.05,33.265,32.665,32.83,32.6028,3886837,0.0,1.0,53.69
58,APA,2019-02-04,32.0,33.15,31.76,33.13,32.9007,5384762,0.0,1.0,54.57
59,APA,2019-02-01,33.12,33.12,32.29,32.65,32.424,5799698,0.0,1.0,55.29
60,APA,2019-01-31,33.45,33.48,32.605,32.82,32.5928,4330011,0.0,1.0,53.84
61,APA,2019-01-30,33.24,33.48,32.81,33.4,33.1688,3361022,0.0,1.0,54.18
62,APA,2019-01-29,32.61,33.45,32.58,33.08,32.851,5734336,0.0,1.0,53.07
63,APA,2019-01-28,31.42,32.37,31.325,32.29,32.0665,4626634,0.0,1.0,51.79
64,APA,2019-01-25,32.11,32.45,31.69,32.06,31.8381,4476849,0.0,1.0,53.53
65,APA,2019-01-24,30.92,31.9,30.77,31.84,31.6196,4443667,0.0,1.0,52.94
66,APA,2019-01-23,31.73,31.81,30.55,30.97,30.7556,4191115,0.0,1.0,52.44
67,APA,2019-01-22,31.6,31.8899,31.32,31.52,31.3018,4161366,0.0,1.0,52.59
68,APA,2019-01-18,31.91,32.4,31.7,32.09,31.8679,4621789,0.25,1.0,53.6
69,APA,2019-01-17,31.0,31.91,30.78,31.69,31.2274,3943206,0.0,1.0,51.83
70,APA,2019-01-16,32.05,32.21,31.18,31.21,30.7544,8929696,0.0,1.0,52.08
71,APA,2019-01-15,32.17,32.51,31.48,31.75,31.2865,4821858,0.0,1.0,51.8
72,APA,2019-01-14,30.6,31.86,30.51,31.57,31.1091,4698548,0.0,1.0,50.31
73,APA,2019-01-11,30.65,31.22,30.35,31.1,30.646,4909903,0.0,1.0,51.44
74,APA,2019-01-10,30.26,30.99,30.12,30.96,30.508,3929942,0.0,1.0,52.42
75,APA,2019-01-09,29.76,30.93,29.45,30.86,30.4095,6869149,0.0,1.0,52.19
76,APA,2019-01-08,29.24,29.6,28.75,29.36,28.9314,4131008,0.0,1.0,49.58
77,APA,2019-01-07,28.37,29.15,27.92,28.93,28.5077,3924411,0.0,1.0,48.27
78,APA,2019-01-04,27.78,28.43,27.47,28.32,27.9066,4215658,0.0,1.0,47.76
79,APA,2019-01-03,27.12,27.8,26.61,27.18,26.7832,5351459,0.0,1.0,46.92
80,APA,2019-01-02,25.61,27.58,25.5894,27.11,26.7142,4629500,0.0,1.0,46.31
81,APA,2018-12-28,27.01,27.15,26.255,26.34,25.9555,4855126,0.0,1.0,45.15
82,APA,2018-12-27,26.5,26.74,25.607,26.74,26.3496,5420515,0.0,1.0,44.48
83,APA,2018-12-26,25.65,27.06,24.56,27.04,26.6453,7648356,0.0,1.0,46.04
84,APA,2018-12-21,26.86,27.5,26.31,26.55,26.1624,9967583,0.0,1.0,45.38
85,APA,2018-12-20,28.3,29.05,26.84,27.0,26.6058,6196919,0.0,1.0,45.64
86,APA,2018-12-19,29.46,30.1838,28.54,28.75,28.3303,5916535,0.0,1.0,47.96
87,APA,2018-12-18,30.16,30.31,29.05,29.24,28.8131,8197033,0.0,1.0,46.12
88,APA,2018-12-17,30.05,30.87,29.95,30.17,29.7296,6620111,0.0,1.0,49.8
89,APA,2018-12-14,30.92,31.48,30.08,30.24,29.7985,6897442,0.0,1.0,51.26
90,APA,2018-12-13,31.14,31.54,30.3,31.3,30.8431,5957208,0.0,1.0,52.69
91,APA,2018-12-12,31.08,32.25,31.0,31.33,30.8726,6013907,0.0,1.0,51.04
92,APA,2018-12-11,31.7,31.99,29.88,30.57,30.1237,6854334,0.0,1.0,51.65
93,APA,2018-12-10,32.57,32.92,30.54,31.26,30.8037,6758302,0.0,1.0,51.07
94,APA,2018-12-07,34.89,35.315,32.96,33.01,32.5281,5157140,0.0,1.0,52.76
95,APA,2018-12-06,34.17,34.23,32.9716,33.9,33.4051,5646127,0.0,1.0,51.54
96,APA,2018-12-04,36.4,36.57,34.94,35.04,34.5285,3611953,0.0,1.0,53.21
97,APA,2018-12-03,36.4,37.09,36.03,36.49,35.9573,3678849,0.0,1.0,52.98
98,APA,2018-11-30,35.02,35.195,34.24,35.13,34.6172,5394913,0.0,1.0,50.78
99,APA,2018-11-29,35.45,36.13,35.21,35.54,35.0212,3084235,0.0,1.0,51.46
100,APA,2018-11-28,35.06,35.6,34.5768,35.26,34.7453,4005815,0.0,1.0,50.06
101,APA,2018-11-27,35.22,35.54,34.7283,35.08,34.5679,4032430,0.0,1.0,51.31
102,APA,2018-11-26,35.36,35.9,34.96,35.37,34.8537,4751763,0.0,1.0,51.46
103,APA,2018-11-21,35.0,36.79,34.99,36.03,35.504,3388584,0.0,1.0,54.41
104,APA,2018-11-20,35.62,35.93,34.28,34.67,34.1639,5721298,0.0,1.0,53.39
105,APA,2018-11-19,36.89,37.41,36.37,36.53,35.9967,3346539,0.0,1.0,57.16
