,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,APC,2019-04-29,72.52,73.62,72.33,72.93,72.93,11353399,0.0,1.0,63.39
1,APC,2019-04-26,71.9,73.3,71.4,72.8,72.8,20385810,0.0,1.0,63.29
2,APC,2019-04-25,71.34,72.52,71.15,71.77,71.77,17396174,0.0,1.0,65.23
3,APC,2019-04-24,70.85,72.0,70.77,71.4,71.4,40641430,0.0,1.0,65.96
4,APC,2019-04-23,64.15,64.59,63.925,63.99,63.99,11914365,0.0,1.0,66.24
5,APC,2019-04-22,64.63,64.75,63.585,64.06,64.06,12552150,0.0,1.0,65.66
6,APC,2019-04-18,64.05,64.66,63.555,64.18,64.18,10900494,0.0,1.0,64.02
7,APC,2019-04-17,63.53,64.51,63.42,64.03,64.03,20551868,0.0,1.0,63.74
8,APC,2019-04-16,62.25,63.84,62.25,63.6,63.6,18841922,0.0,1.0,64.01
9,APC,2019-04-15,61.88,63.17,61.64,62.26,62.26,32046690,0.0,1.0,63.43
10,APC,2019-04-12,63.07,63.23,61.43,61.78,61.78,102318702,0.0,1.0,63.86
11,APC,2019-04-11,46.69,47.19,46.15,46.8,46.8,3136341,0.0,1.0,63.61
12,APC,2019-04-10,46.41,47.08,46.3,46.8,46.8,4084865,0.0,1.0,64.62
13,APC,2019-04-09,46.99,47.07,45.97,46.17,46.17,4364503,0.0,1.0,64.05
14,APC,2019-04-08,47.0,47.66,46.89,47.19,47.19,5812591,0.0,1.0,64.37
15,APC,2019-04-05,45.35,47.2,45.2,47.01,47.01,7524274,0.0,1.0,63.1
16,APC,2019-04-04,44.6,45.22,44.12,45.06,45.06,4499363,0.0,1.0,62.12
17,APC,2019-04-03,45.46,45.51,44.03,44.47,44.47,6103122,0.0,1.0,62.46
18,APC,2019-04-02,46.23,46.4,45.105,45.24,45.24,3794307,0.0,1.0,62.53
19,APC,2019-04-01,46.12,46.4,45.7,45.99,45.99,5017698,0.0,1.0,61.59
20,APC,2019-03-29,45.84,46.27,45.04,45.48,45.48,4403882,0.0,1.0,60.19
21,APC,2019-03-28,44.06,45.18,44.06,45.07,45.07,3964145,0.0,1.0,59.29
22,APC,2019-03-27,44.06,45.14,43.76,44.5,44.5,4385232,0.0,1.0,59.39
23,APC,2019-03-26,44.25,45.68,44.15,44.94,44.94,6309090,0.0,1.0,59.87
24,APC,2019-03-25,42.99,43.67,42.76,43.6,43.6,4292683,0.0,1.0,58.71
25,APC,2019-03-22,44.77,44.95,42.725,43.23,43.23,6410534,0.0,1.0,58.87
26,APC,2019-03-21,45.3,45.51,44.63,45.27,45.27,4222399,0.0,1.0,59.98
27,APC,2019-03-20,44.38,45.973,43.92,45.4,45.4,5840070,0.0,1.0,60.12
28,APC,2019-03-19,45.15,45.23,44.26,44.46,44.46,4062671,0.0,1.0,59.12
29,APC,2019-03-18,44.61,45.37,44.23,45.09,45.09,3499927,0.0,1.0,59.09
30,APC,2019-03-15,43.86,44.6071,43.69,44.55,44.55,6337177,0.0,1.0,58.51
31,APC,2019-03-14,44.72,45.04,44.165,44.25,44.25,5215480,0.0,1.0,58.59
32,APC,2019-03-13,44.23,44.84,43.8645,44.67,44.67,4982965,0.0,1.0,58.27
33,APC,2019-03-12,43.51,44.35,43.38,43.81,43.81,4156727,0.3,1.0,56.89
34,APC,2019-03-11,42.6,43.52,42.35,43.45,43.1545,3462456,0.0,1.0,56.79
35,APC,2019-03-08,42.27,42.52,41.51,42.07,41.7839,4896892,0.0,1.0,55.77
36,APC,2019-03-07,43.45,43.72,42.81,43.24,42.9459,3934474,0.0,1.0,56.6
37,APC,2019-03-06,44.05,44.11,43.145,43.47,43.1744,4299734,0.0,1.0,56.22
38,APC,2019-03-05,44.91,44.97,43.74,44.13,43.8299,4123861,0.0,1.0,56.55
39,APC,2019-03-04,44.64,45.12,43.7,44.76,44.4556,4816701,0.0,1.0,56.6
40,APC,2019-03-01,43.77,44.43,43.57,44.4,44.098,6523642,0.0,1.0,55.76
41,APC,2019-02-28,44.77,44.79,43.33,43.5,43.2041,4993997,0.0,1.0,57.21
42,APC,2019-02-27,45.07,45.629,44.32,44.59,44.2867,4909749,0.0,1.0,56.92
43,APC,2019-02-26,44.44,45.51,44.38,44.77,44.4655,5826088,0.0,1.0,55.4
44,APC,2019-02-25,43.46,44.65,43.34,44.6,44.2967,6921270,0.0,1.0,55.32
45,APC,2019-02-22,44.43,44.45,43.295,43.69,43.3929,4987775,0.0,1.0,57.01
46,APC,2019-02-21,45.01,45.31,43.49,43.84,43.5418,7141851,0.0,1.0,56.95
47,APC,2019-02-20,45.4,45.9,45.07,45.16,44.8529,5968331,0.0,1.0,56.9
48,APC,2019-02-19,44.91,45.86,44.8,45.45,45.1409,6535180,0.0,1.0,56.12
49,APC,2019-02-15,44.46,45.26,44.38,45.23,44.9224,5391842,0.0,1.0,55.58
50,APC,2019-02-14,43.7,44.58,43.7,43.8,43.5021,4647761,0.0,1.0,54.4
51,APC,2019-02-13,43.03,44.555,43.03,44.04,43.7405,11197404,0.0,1.0,53.84
52,APC,2019-02-12,43.29,43.82,42.61,42.8,42.5089,8679754,0.0,1.0,53.14
53,APC,2019-02-11,41.41,42.95,41.21,42.56,42.2705,6942635,0.0,1.0,52.43
54,APC,2019-02-08,42.55,42.75,40.905,41.84,41.5554,10272176,0.0,1.0,52.75
55,APC,2019-02-07,44.98,45.44,42.35,42.6,42.3103,11224535,0.0,1.0,52.68
