,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,AR,2019-04-29,7.45,7.5,7.3,7.49,7.49,5514807,0.0,1.0,63.39
1,AR,2019-04-26,7.22,7.57,7.21,7.47,7.47,9640138,0.0,1.0,63.29
2,AR,2019-04-25,7.66,7.68,7.21,7.26,7.26,9951651,0.0,1.0,65.23
3,AR,2019-04-24,7.9,7.97,7.64,7.65,7.65,7485523,0.0,1.0,65.96
4,AR,2019-04-23,8.07,8.32,7.86,7.9,7.9,10933677,0.0,1.0,66.24
5,AR,2019-04-22,8.17,8.17,7.78,8.04,8.04,8751149,0.0,1.0,65.66
6,AR,2019-04-18,8.49,8.56,8.05,8.09,8.09,5736667,0.0,1.0,64.02
7,AR,2019-04-17,8.7,8.76,8.46,8.49,8.49,3584811,0.0,1.0,63.74
8,AR,2019-04-16,8.64,8.73,8.42,8.69,8.69,2837085,0.0,1.0,64.01
9,AR,2019-04-15,8.65,8.82,8.46,8.59,8.59,5128481,0.0,1.0,63.43
10,AR,2019-04-12,8.56,8.91,8.55,8.69,8.69,5336125,0.0,1.0,63.86
11,AR,2019-04-11,8.51,8.58,8.28,8.33,8.33,4385696,0.0,1.0,63.61
12,AR,2019-04-10,8.57,8.715,8.5,8.56,8.56,3740479,0.0,1.0,64.62
13,AR,2019-04-09,8.95,8.95,8.51,8.55,8.55,5429321,0.0,1.0,64.05
14,AR,2019-04-08,9.04,9.175,8.845,8.97,8.97,6162584,0.0,1.0,64.37
15,AR,2019-04-05,8.45,9.0,8.45,8.98,8.98,8048988,0.0,1.0,63.1
16,AR,2019-04-04,8.21,8.41,8.14,8.41,8.41,5832525,0.0,1.0,62.12
17,AR,2019-04-03,8.7,8.77,8.19,8.2,8.2,5734559,0.0,1.0,62.46
18,AR,2019-04-02,8.74,8.91,8.64,8.65,8.65,4798320,0.0,1.0,62.53
19,AR,2019-04-01,8.92,9.08,8.69,8.72,8.72,5721201,0.0,1.0,61.59
20,AR,2019-03-29,8.75,8.92,8.655,8.83,8.83,4604696,0.0,1.0,60.19
21,AR,2019-03-28,8.45,8.69,8.315,8.66,8.66,4119038,0.0,1.0,59.29
22,AR,2019-03-27,8.46,8.605,8.35,8.43,8.43,3322981,0.0,1.0,59.39
23,AR,2019-03-26,8.49,8.7,8.3673,8.51,8.51,4718233,0.0,1.0,59.87
24,AR,2019-03-25,8.39,8.495,8.17,8.39,8.39,5588493,0.0,1.0,58.71
25,AR,2019-03-22,8.65,8.66,8.3,8.39,8.39,5203584,0.0,1.0,58.87
26,AR,2019-03-21,8.83,8.91,8.67,8.74,8.74,5457599,0.0,1.0,59.98
