,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,CDEV,2019-04-29,10.72,10.76,10.495,10.56,10.56,1552642,0.0,1.0,63.39
1,CDEV,2019-04-26,10.59,10.85,10.47,10.7,10.7,2922026,0.0,1.0,63.29
2,CDEV,2019-04-25,10.77,10.9,10.48,10.71,10.71,2278833,0.0,1.0,65.23
3,CDEV,2019-04-24,10.57,10.94,10.48,10.73,10.73,2928575,0.0,1.0,65.96
4,CDEV,2019-04-23,10.73,10.87,10.5107,10.86,10.86,2833597,0.0,1.0,66.24
5,CDEV,2019-04-22,10.4,10.95,10.32,10.8,10.8,3570186,0.0,1.0,65.66
6,CDEV,2019-04-18,10.33,10.49,10.22,10.31,10.31,2413326,0.0,1.0,64.02
7,CDEV,2019-04-17,10.12,10.48,10.037,10.26,10.26,3069125,0.0,1.0,63.74
8,CDEV,2019-04-16,10.04,10.14,9.86,10.05,10.05,2666594,0.0,1.0,64.01
9,CDEV,2019-04-15,9.58,10.04,9.55,10.03,10.03,3697110,0.0,1.0,63.43
10,CDEV,2019-04-12,9.6,9.97,9.38,9.63,9.63,4542246,0.0,1.0,63.86
11,CDEV,2019-04-11,9.39,9.45,8.84,9.01,9.01,5114089,0.0,1.0,63.61
12,CDEV,2019-04-10,9.25,9.575,9.17,9.44,9.44,2497550,0.0,1.0,64.62
13,CDEV,2019-04-09,9.49,9.56,9.09,9.21,9.21,3214613,0.0,1.0,64.05
14,CDEV,2019-04-08,9.2,9.83,9.2,9.56,9.56,4720707,0.0,1.0,64.37
15,CDEV,2019-04-05,8.73,9.2,8.7,9.14,9.14,3357906,0.0,1.0,63.1
16,CDEV,2019-04-04,8.42,8.77,8.395,8.68,8.68,2865626,0.0,1.0,62.12
17,CDEV,2019-04-03,8.94,8.97,8.39,8.44,8.44,6234576,0.0,1.0,62.46
18,CDEV,2019-04-02,8.84,8.92,8.635,8.85,8.85,3061194,0.0,1.0,62.53
19,CDEV,2019-04-01,8.91,8.94,8.605,8.84,8.84,3127518,0.0,1.0,61.59
