,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,CEO,2019-04-29,187.29,187.29,183.38,185.6,185.6,75618,0.0,1.0,63.39
1,CEO,2019-04-26,183.63,184.05,180.77,181.95,181.95,106323,0.0,1.0,63.29
2,CEO,2019-04-25,186.6,186.6,184.26,184.6,184.6,130435,0.0,1.0,65.23
3,CEO,2019-04-24,188.82,188.9,185.52,186.15,186.15,71773,0.0,1.0,65.96
4,CEO,2019-04-23,190.92,191.98,190.14,191.41,191.41,99951,0.0,1.0,66.24
5,CEO,2019-04-22,188.88,193.66,188.47,193.13,193.13,128457,0.0,1.0,65.66
6,CEO,2019-04-18,188.24,188.66,187.61,188.47,188.47,35560,0.0,1.0,64.02
7,CEO,2019-04-17,189.54,189.54,187.61,188.03,188.03,29831,0.0,1.0,63.74
8,CEO,2019-04-16,188.87,189.5,188.2,188.92,188.92,68832,0.0,1.0,64.01
9,CEO,2019-04-15,188.6,188.92,186.76,186.88,186.88,48512,0.0,1.0,63.43
10,CEO,2019-04-12,189.91,190.52,188.48,189.52,189.52,73016,0.0,1.0,63.86
11,CEO,2019-04-11,187.0,187.16,185.37,185.75,185.75,98328,0.0,1.0,63.61
12,CEO,2019-04-10,190.76,191.45,190.37,190.52,190.52,53649,0.0,1.0,64.62
13,CEO,2019-04-09,191.34,191.34,189.85,190.02,190.02,48047,0.0,1.0,64.05
14,CEO,2019-04-08,188.74,190.73,188.63,190.54,190.54,70581,0.0,1.0,64.37
15,CEO,2019-04-05,184.99,186.6,184.61,186.47,186.47,38944,0.0,1.0,63.1
16,CEO,2019-04-04,184.36,184.65,183.03,183.94,183.94,79344,0.0,1.0,62.12
17,CEO,2019-04-03,186.4,186.78,184.03,184.95,184.95,95239,0.0,1.0,62.46
18,CEO,2019-04-02,186.88,187.0,185.01,186.31,186.31,107043,0.0,1.0,62.53
19,CEO,2019-04-01,189.34,190.79,188.71,190.75,190.75,101690,0.0,1.0,61.59
20,CEO,2019-03-29,186.71,187.22,184.795,185.76,185.76,104831,0.0,1.0,60.19
21,CEO,2019-03-28,181.01,182.88,181.01,182.18,182.18,78629,0.0,1.0,59.29
22,CEO,2019-03-27,181.43,182.35,179.87,180.94,180.94,97427,0.0,1.0,59.39
