,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,CHK,2019-04-29,2.98,3.01,2.93,2.95,2.95,19743164,0.0,1.0,63.39
1,CHK,2019-04-26,2.9,3.01,2.87,2.97,2.97,47835850,0.0,1.0,63.29
2,CHK,2019-04-25,3.07,3.075,2.94,2.94,2.94,31047851,0.0,1.0,65.23
3,CHK,2019-04-24,3.17,3.18,3.05,3.07,3.07,31806976,0.0,1.0,65.96
4,CHK,2019-04-23,3.12,3.2,3.09,3.17,3.17,34987313,0.0,1.0,66.24
5,CHK,2019-04-22,3.02,3.12,2.98,3.1,3.1,33234301,0.0,1.0,65.66
6,CHK,2019-04-18,3.08,3.08,2.9,2.91,2.91,42521531,0.0,1.0,64.02
7,CHK,2019-04-17,3.13,3.15,3.06,3.06,3.06,27986269,0.0,1.0,63.74
8,CHK,2019-04-16,3.09,3.12,3.05,3.09,3.09,29186967,0.0,1.0,64.01
9,CHK,2019-04-15,3.14,3.15,3.06,3.07,3.07,37482664,0.0,1.0,63.43
10,CHK,2019-04-12,3.38,3.395,3.15,3.17,3.17,74987673,0.0,1.0,63.86
11,CHK,2019-04-11,3.36,3.425,3.27,3.33,3.33,40177846,0.0,1.0,63.61
12,CHK,2019-04-10,3.36,3.44,3.33,3.4,3.4,36078369,0.0,1.0,64.62
13,CHK,2019-04-09,3.43,3.43,3.31,3.34,3.34,47275104,0.0,1.0,64.05
14,CHK,2019-04-08,3.46,3.57,3.38,3.44,3.44,52563090,0.0,1.0,64.37
15,CHK,2019-04-05,3.21,3.46,3.2,3.41,3.41,64682547,0.0,1.0,63.1
16,CHK,2019-04-04,3.14,3.21,3.12,3.21,3.21,29763013,0.0,1.0,62.12
17,CHK,2019-04-03,3.21,3.23,3.1,3.14,3.14,45774268,0.0,1.0,62.46
18,CHK,2019-04-02,3.16,3.23,3.15,3.2,3.2,42974373,0.0,1.0,62.53
19,CHK,2019-04-01,3.15,3.21,3.12,3.15,3.15,39268807,0.0,1.0,61.59
20,CHK,2019-03-29,3.19,3.21,3.09,3.1,3.1,40531935,0.0,1.0,60.19
21,CHK,2019-03-28,3.12,3.19,3.09,3.14,3.14,33186849,0.0,1.0,59.29
22,CHK,2019-03-27,3.19,3.24,3.07,3.19,3.19,36326400,0.0,1.0,59.39
23,CHK,2019-03-26,3.2,3.26,3.16,3.19,3.19,39421468,0.0,1.0,59.87
24,CHK,2019-03-25,3.1,3.14,2.99,3.1,3.1,35505558,0.0,1.0,58.71
25,CHK,2019-03-22,3.19,3.21,3.03,3.12,3.12,50533772,0.0,1.0,58.87
26,CHK,2019-03-21,3.25,3.32,3.2,3.25,3.25,44582015,0.0,1.0,59.98
27,CHK,2019-03-20,3.12,3.35,3.1,3.26,3.26,61831018,0.0,1.0,60.12
28,CHK,2019-03-19,3.23,3.38,3.13,3.16,3.16,58846294,0.0,1.0,59.12
29,CHK,2019-03-18,3.02,3.17,3.01,3.15,3.15,35845539,0.0,1.0,59.09
30,CHK,2019-03-15,3.07,3.095,2.96,2.97,2.97,47727875,0.0,1.0,58.51
31,CHK,2019-03-14,3.02,3.12,3.0199,3.1,3.1,40196433,0.0,1.0,58.59
32,CHK,2019-03-13,2.94,3.03,2.92,3.02,3.02,33252271,0.0,1.0,58.27
33,CHK,2019-03-12,2.78,2.93,2.77,2.88,2.88,35649026,0.0,1.0,56.89
34,CHK,2019-03-11,2.75,2.79,2.67,2.75,2.75,39492820,0.0,1.0,56.79
35,CHK,2019-03-08,2.88,2.88,2.71,2.73,2.73,54199200,0.0,1.0,55.77
36,CHK,2019-03-07,3.0,3.04,2.91,2.97,2.97,48944464,0.0,1.0,56.6
37,CHK,2019-03-06,3.08,3.095,2.97,2.98,2.98,47466001,0.0,1.0,56.22
38,CHK,2019-03-05,3.21,3.22,3.09,3.14,3.14,44347795,0.0,1.0,56.55
39,CHK,2019-03-04,3.22,3.32,3.05,3.19,3.19,76008642,0.0,1.0,56.6
40,CHK,2019-03-01,3.01,3.22,3.0,3.13,3.13,81237374,0.0,1.0,55.76
41,CHK,2019-02-28,2.95,2.97,2.83,2.96,2.96,57474648,0.0,1.0,57.21
42,CHK,2019-02-27,2.87,2.99,2.73,2.9,2.9,121020958,0.0,1.0,56.92
43,CHK,2019-02-26,2.64,2.67,2.56,2.63,2.63,42569702,0.0,1.0,55.4
44,CHK,2019-02-25,2.58,2.64,2.55,2.64,2.64,38611706,0.0,1.0,55.32
45,CHK,2019-02-22,2.63,2.69,2.57,2.6,2.6,33612546,0.0,1.0,57.01
46,CHK,2019-02-21,2.73,2.75,2.58,2.6,2.6,50411620,0.0,1.0,56.95
47,CHK,2019-02-20,2.66,2.75,2.65,2.75,2.75,35203649,0.0,1.0,56.9
48,CHK,2019-02-19,2.64,2.69,2.62,2.68,2.68,30270338,0.0,1.0,56.12
49,CHK,2019-02-15,2.55,2.62,2.54,2.62,2.62,27288260,0.0,1.0,55.58
50,CHK,2019-02-14,2.49,2.56,2.44,2.51,2.51,36724615,0.0,1.0,54.4
51,CHK,2019-02-13,2.44,2.52,2.42,2.49,2.49,40531615,0.0,1.0,53.84
52,CHK,2019-02-12,2.49,2.52,2.41,2.41,2.41,52898006,0.0,1.0,53.14
53,CHK,2019-02-11,2.41,2.47,2.345,2.4,2.4,41724712,0.0,1.0,52.43
54,CHK,2019-02-08,2.48,2.52,2.29,2.39,2.39,53309886,0.0,1.0,52.75
55,CHK,2019-02-07,2.55,2.57,2.4,2.47,2.47,58508491,0.0,1.0,52.68
56,CHK,2019-02-06,2.7,2.73,2.58,2.6,2.6,45281849,0.0,1.0,53.94
57,CHK,2019-02-05,2.78,2.81,2.7,2.7,2.7,59839248,0.0,1.0,53.69
58,CHK,2019-02-04,2.79,2.82,2.74,2.79,2.79,43488204,0.0,1.0,54.57
59,CHK,2019-02-01,2.85,2.87,2.74,2.84,2.84,61593340,0.0,1.0,55.29
60,CHK,2019-01-31,2.92,2.96,2.77,2.85,2.85,69300620,0.0,1.0,53.84
61,CHK,2019-01-30,2.85,2.95,2.81,2.9,2.9,35563098,0.0,1.0,54.18
62,CHK,2019-01-29,2.83,2.88,2.79,2.8,2.8,27296734,0.0,1.0,53.07
63,CHK,2019-01-28,2.72,2.83,2.63,2.82,2.82,41110923,0.0,1.0,51.79
64,CHK,2019-01-25,2.78,2.9,2.72,2.78,2.78,47346406,0.0,1.0,53.53
65,CHK,2019-01-24,2.68,2.76,2.62,2.75,2.75,31748580,0.0,1.0,52.94
66,CHK,2019-01-23,2.79,2.83,2.65,2.69,2.69,39686032,0.0,1.0,52.44
67,CHK,2019-01-22,2.9,2.9,2.71,2.74,2.74,53042891,0.0,1.0,52.59
68,CHK,2019-01-18,2.96,3.0,2.87,2.97,2.97,44370502,0.0,1.0,53.6
69,CHK,2019-01-17,2.83,2.91,2.73,2.89,2.89,37322419,0.0,1.0,51.83
70,CHK,2019-01-16,2.86,2.96,2.82,2.85,2.85,35279515,0.0,1.0,52.08
71,CHK,2019-01-15,2.77,2.87,2.76,2.85,2.85,34309807,0.0,1.0,51.8
72,CHK,2019-01-14,2.68,2.81,2.67,2.73,2.73,39237426,0.0,1.0,50.31
73,CHK,2019-01-11,2.69,2.77,2.66,2.72,2.72,40348534,0.0,1.0,51.44
74,CHK,2019-01-10,2.7,2.785,2.56,2.73,2.73,49321763,0.0,1.0,52.42
75,CHK,2019-01-09,2.62,2.87,2.57,2.76,2.76,94204774,0.0,1.0,52.19
76,CHK,2019-01-08,2.45,2.54,2.37,2.45,2.45,43385718,0.0,1.0,49.58
77,CHK,2019-01-07,2.31,2.44,2.25,2.37,2.37,37903321,0.0,1.0,48.27
78,CHK,2019-01-04,2.21,2.34,2.19,2.25,2.25,49379555,0.0,1.0,47.76
79,CHK,2019-01-03,2.17,2.19,2.06,2.13,2.13,39862331,0.0,1.0,46.92
80,CHK,2019-01-02,2.0,2.24,2.0,2.19,2.19,37618794,0.0,1.0,46.31
81,CHK,2018-12-28,2.22,2.29,2.09,2.15,2.15,41818473,0.0,1.0,45.15
82,CHK,2018-12-27,2.12,2.21,2.06,2.21,2.21,55462718,0.0,1.0,44.48
83,CHK,2018-12-26,1.95,2.19,1.85,2.19,2.19,80610322,0.0,1.0,46.04
