,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,CLR,2019-04-29,48.05,48.3,47.51,48.05,48.05,1588945,0.0,1.0,63.39
1,CLR,2019-04-26,48.35,48.568,47.135,47.79,47.79,2101175,0.0,1.0,63.29
2,CLR,2019-04-25,50.14,50.36,48.84,48.9,48.9,1955400,0.0,1.0,65.23
3,CLR,2019-04-24,51.55,51.91,49.6,50.0,50.0,2301668,0.0,1.0,65.96
4,CLR,2019-04-23,51.81,52.035,51.15,51.4,51.4,1897571,0.0,1.0,66.24
5,CLR,2019-04-22,50.82,51.88,50.37,51.82,51.82,1879515,0.0,1.0,65.66
6,CLR,2019-04-18,49.77,50.18,49.3,49.85,49.85,1389670,0.0,1.0,64.02
7,CLR,2019-04-17,49.34,49.65,48.62,49.38,49.38,2137913,0.0,1.0,63.74
8,CLR,2019-04-16,49.05,49.11,48.19,48.89,48.89,2039057,0.0,1.0,64.01
9,CLR,2019-04-15,48.96,49.66,48.37,48.88,48.88,1718052,0.0,1.0,63.43
10,CLR,2019-04-12,48.85,49.145,47.68,49.08,49.08,3350888,0.0,1.0,63.86
11,CLR,2019-04-11,46.5,47.45,46.25,46.97,46.97,1209777,0.0,1.0,63.61
12,CLR,2019-04-10,46.79,47.23,46.17,46.88,46.88,1923499,0.0,1.0,64.62
13,CLR,2019-04-09,46.78,47.38,46.32,46.57,46.57,2109357,0.0,1.0,64.05
14,CLR,2019-04-08,47.46,47.63,46.63,47.0,47.0,3395460,0.0,1.0,64.37
15,CLR,2019-04-05,45.39,47.275,45.39,47.22,47.22,3006042,0.0,1.0,63.1
16,CLR,2019-04-04,44.96,45.605,44.36,45.23,45.23,2155519,0.0,1.0,62.12
17,CLR,2019-04-03,46.28,46.67,44.76,44.96,44.96,2060954,0.0,1.0,62.46
18,CLR,2019-04-02,46.71,47.17,46.01,46.09,46.09,2202237,0.0,1.0,62.53
19,CLR,2019-04-01,45.58,46.8,45.22,46.65,46.65,2985161,0.0,1.0,61.59
20,CLR,2019-03-29,45.47,45.6299,44.68,44.77,44.77,1854314,0.0,1.0,60.19
21,CLR,2019-03-28,43.22,44.91,43.22,44.79,44.79,2435411,0.0,1.0,59.29
22,CLR,2019-03-27,44.0,44.385,43.29,43.74,43.74,3318131,0.0,1.0,59.39
23,CLR,2019-03-26,43.58,44.28,43.12,43.17,43.17,1898199,0.0,1.0,59.87
24,CLR,2019-03-25,42.14,43.04,41.755,42.82,42.82,2268095,0.0,1.0,58.71
25,CLR,2019-03-22,43.65,43.73,42.275,42.38,42.38,2790756,0.0,1.0,58.87
26,CLR,2019-03-21,43.92,44.46,43.45,44.23,44.23,1505273,0.0,1.0,59.98
27,CLR,2019-03-20,41.55,44.355,41.53,43.93,43.93,2319278,0.0,1.0,60.12
28,CLR,2019-03-19,42.97,42.97,41.62,41.82,41.82,1657466,0.0,1.0,59.12
29,CLR,2019-03-18,42.31,42.85,41.9,42.46,42.46,1527433,0.0,1.0,59.09
30,CLR,2019-03-15,42.0,42.38,41.68,42.04,42.04,2080000,0.0,1.0,58.51
