,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,CNQ,2019-04-29,30.06,30.4,30.01,30.27,30.27,1119028,0.0,1.0,63.39
1,CNQ,2019-04-26,30.02,30.1,29.285,30.08,30.08,2344263,0.0,1.0,63.29
2,CNQ,2019-04-25,30.56,30.63,30.15,30.16,30.16,2245511,0.0,1.0,65.23
3,CNQ,2019-04-24,31.32,31.38,30.35,30.57,30.57,1983557,0.0,1.0,65.96
4,CNQ,2019-04-23,31.05,31.68,30.84,31.41,31.41,3648546,0.0,1.0,66.24
5,CNQ,2019-04-22,31.65,31.77,31.06,31.08,31.08,2452031,0.0,1.0,65.66
6,CNQ,2019-04-18,31.32,31.39,31.0,31.32,31.32,2242655,0.0,1.0,64.02
7,CNQ,2019-04-17,30.61,31.35,30.31,31.32,31.32,4481207,0.0,1.0,63.74
8,CNQ,2019-04-16,29.67,30.37,29.54,30.3,30.3,1966816,0.0,1.0,64.01
9,CNQ,2019-04-15,29.81,29.98,29.48,29.62,29.62,1545103,0.0,1.0,63.43
10,CNQ,2019-04-12,30.2,30.46,29.78,29.82,29.82,2286651,0.0,1.0,63.86
11,CNQ,2019-04-11,29.36,29.98,29.21,29.63,29.63,6202036,0.0,1.0,63.61
12,CNQ,2019-04-10,29.33,29.745,29.26,29.63,29.63,3018341,0.0,1.0,64.62
13,CNQ,2019-04-09,29.24,29.41,28.9,29.34,29.34,3452228,0.0,1.0,64.05
14,CNQ,2019-04-08,28.79,29.395,28.78,29.24,29.24,2040543,0.0,1.0,64.37
15,CNQ,2019-04-05,27.76,28.7,27.7,28.67,28.67,2484984,0.0,1.0,63.1
16,CNQ,2019-04-04,27.68,27.88,27.08,27.71,27.71,2273828,0.0,1.0,62.12
17,CNQ,2019-04-03,28.07,28.4,27.565,27.72,27.72,4265911,0.0,1.0,62.46
18,CNQ,2019-04-02,28.04,28.09,27.59,27.81,27.81,2068286,0.0,1.0,62.53
19,CNQ,2019-04-01,27.8,28.055,27.675,27.94,27.94,3520463,0.0,1.0,61.59
20,CNQ,2019-03-29,27.86,28.01,27.35,27.5,27.5,2718824,0.0,1.0,60.19
21,CNQ,2019-03-28,27.02,27.54,26.96,27.46,27.46,1786941,0.0,1.0,59.29
22,CNQ,2019-03-27,27.7,27.88,27.04,27.16,27.16,3204169,0.0,1.0,59.39
23,CNQ,2019-03-26,27.13,28.09,27.06,27.77,27.77,2946497,0.0,1.0,59.87
24,CNQ,2019-03-25,27.35,27.61,26.96,27.03,27.03,3350130,0.0,1.0,58.71
25,CNQ,2019-03-22,28.04,28.16,27.42,27.56,27.56,1850811,0.0,1.0,58.87
26,CNQ,2019-03-21,28.0,28.57,27.98,28.45,28.45,2504890,0.282,1.0,59.98
