,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,COG,2019-04-29,26.8,26.91,25.85,25.96,25.96,10235569,0.0,1.0,63.39
1,COG,2019-04-26,26.8,27.08,26.26,26.66,26.66,12312499,0.0,1.0,63.29
2,COG,2019-04-25,26.21,26.32,25.86,26.01,26.01,8137044,0.0,1.0,65.23
3,COG,2019-04-24,26.4,26.49,26.01,26.11,26.11,5729885,0.0,1.0,65.96
4,COG,2019-04-23,26.36,26.6465,26.135,26.19,26.19,7743290,0.0,1.0,66.24
5,COG,2019-04-22,26.34,26.38,25.94,26.17,26.17,8052536,0.0,1.0,65.66
6,COG,2019-04-18,27.01,27.01,26.08,26.13,26.13,5955880,0.0,1.0,64.02
7,COG,2019-04-17,27.57,27.57,26.94,27.04,27.04,4460851,0.0,1.0,63.74
8,COG,2019-04-16,27.5,27.54,27.17,27.43,27.43,4240941,0.0,1.0,64.01
9,COG,2019-04-15,27.17,27.645,27.17,27.36,27.36,3474938,0.0,1.0,63.43
10,COG,2019-04-12,27.5,27.62,27.19,27.3,27.3,4463718,0.0,1.0,63.86
11,COG,2019-04-11,27.06,27.18,26.72,27.07,27.07,5245936,0.0,1.0,63.61
12,COG,2019-04-10,27.26,27.325,27.0,27.15,27.15,4437108,0.0,1.0,64.62
13,COG,2019-04-09,27.02,27.57,26.82,27.14,27.14,9108554,0.0,1.0,64.05
14,COG,2019-04-08,26.25,26.86,26.24,26.82,26.82,5093661,0.0,1.0,64.37
15,COG,2019-04-05,25.87,26.17,25.635,26.17,26.17,4753710,0.0,1.0,63.1
16,COG,2019-04-04,25.57,25.89,25.52,25.82,25.82,3222020,0.0,1.0,62.12
17,COG,2019-04-03,26.01,26.01,25.44,25.49,25.49,4531072,0.0,1.0,62.46
18,COG,2019-04-02,26.02,26.15,25.65,25.9,25.9,4053096,0.0,1.0,62.53
19,COG,2019-04-01,26.32,26.43,25.835,25.87,25.87,3845942,0.0,1.0,61.59
20,COG,2019-03-29,26.54,26.56,26.0073,26.1,26.1,4464900,0.0,1.0,60.19
21,COG,2019-03-28,26.19,26.47,26.19,26.36,26.36,4978224,0.0,1.0,59.29
22,COG,2019-03-27,26.17,26.43,26.07,26.3,26.3,4047584,0.0,1.0,59.39
23,COG,2019-03-26,26.75,26.76,26.265,26.39,26.39,3249883,0.0,1.0,59.87
24,COG,2019-03-25,25.9,26.53,25.78,26.39,26.39,4993907,0.0,1.0,58.71
25,COG,2019-03-22,26.32,26.4893,25.925,25.96,25.96,4599183,0.0,1.0,58.87
26,COG,2019-03-21,26.46,26.685,26.38,26.59,26.59,3637728,0.0,1.0,59.98
27,COG,2019-03-20,25.95,26.665,25.85,26.41,26.41,7069140,0.0,1.0,60.12
28,COG,2019-03-19,26.21,26.34,25.89,25.96,25.96,6767025,0.0,1.0,59.12
29,COG,2019-03-18,26.03,26.29,25.86,25.95,25.95,5171568,0.0,1.0,59.09
30,COG,2019-03-15,25.89,26.07,25.7,25.93,25.93,7521967,0.0,1.0,58.51
31,COG,2019-03-14,26.04,26.39,25.95,26.05,26.05,4075184,0.0,1.0,58.59
32,COG,2019-03-13,25.7,26.04,25.43,25.98,25.98,6158711,0.0,1.0,58.27
33,COG,2019-03-12,25.03,25.52,24.94,25.52,25.52,4337460,0.0,1.0,56.89
34,COG,2019-03-11,24.77,24.995,24.69,24.9,24.9,4046741,0.0,1.0,56.79
35,COG,2019-03-08,24.99,25.01,24.53,24.67,24.67,6636887,0.0,1.0,55.77
36,COG,2019-03-07,25.54,25.54,25.05,25.12,25.12,4697866,0.0,1.0,56.6
37,COG,2019-03-06,25.61,25.72,25.32,25.41,25.41,4445537,0.0,1.0,56.22
38,COG,2019-03-05,25.35,25.77,25.2,25.75,25.75,5063191,0.0,1.0,56.55
39,COG,2019-03-04,25.24,25.44,25.06,25.34,25.34,7772446,0.0,1.0,56.6
40,COG,2019-03-01,24.84,25.24,24.84,25.24,25.24,5883258,0.0,1.0,55.76
41,COG,2019-02-28,24.83,24.89,24.55,24.62,24.62,7091809,0.0,1.0,57.21
42,COG,2019-02-27,25.08,25.26,24.75,24.76,24.76,6166454,0.0,1.0,56.92
43,COG,2019-02-26,25.0,25.45,24.94,25.11,25.11,8652579,0.0,1.0,55.4
44,COG,2019-02-25,24.28,25.255,24.2,24.89,24.89,10463094,0.0,1.0,55.32
45,COG,2019-02-22,24.34,25.19,23.78,24.26,24.26,8461852,0.0,1.0,57.01
46,COG,2019-02-21,24.86,25.11,24.28,24.54,24.54,10725503,0.0,1.0,56.95
47,COG,2019-02-20,25.18,25.25,24.79,24.95,24.95,6962593,0.0,1.0,56.9
48,COG,2019-02-19,25.19,25.46,25.1,25.18,25.18,4527527,0.0,1.0,56.12
49,COG,2019-02-15,24.92,25.25,24.7401,25.23,25.23,7552293,0.0,1.0,55.58
50,COG,2019-02-14,24.52,24.905,24.43,24.72,24.72,4998102,0.0,1.0,54.4
51,COG,2019-02-13,24.69,24.83,24.4,24.59,24.59,6414070,0.0,1.0,53.84
52,COG,2019-02-12,24.51,24.9,24.43,24.71,24.71,5832013,0.0,1.0,53.14
53,COG,2019-02-11,23.86,24.49,23.64,24.41,24.41,4297782,0.0,1.0,52.43
54,COG,2019-02-08,23.69,23.95,23.47,23.95,23.95,3943607,0.0,1.0,52.75
55,COG,2019-02-07,24.04,24.15,23.59,23.72,23.72,5018379,0.0,1.0,52.68
56,COG,2019-02-06,24.63,24.65,24.09,24.14,24.14,5559778,0.0,1.0,53.94
57,COG,2019-02-05,24.8,25.075,24.71,24.76,24.76,4015263,0.0,1.0,53.69
58,COG,2019-02-04,24.88,24.976,24.68,24.89,24.89,3129043,0.0,1.0,54.57
59,COG,2019-02-01,25.02,25.24,24.77,25.07,25.07,3524024,0.0,1.0,55.29
60,COG,2019-01-31,25.32,25.49,24.84,24.95,24.95,5556341,0.0,1.0,53.84
61,COG,2019-01-30,25.63,25.87,25.26,25.35,25.35,5694396,0.0,1.0,54.18
62,COG,2019-01-29,25.73,25.8,25.52,25.62,25.62,3851914,0.0,1.0,53.07
63,COG,2019-01-28,25.64,25.72,25.345,25.51,25.51,5564922,0.0,1.0,51.79
64,COG,2019-01-25,25.48,26.12,25.37,25.91,25.91,7969513,0.0,1.0,53.53
65,COG,2019-01-24,24.92,25.515,24.75,25.48,25.48,9736568,0.0,1.0,52.94
66,COG,2019-01-23,25.3,25.62,24.82,24.96,24.96,4458764,0.07,1.0,52.44
67,COG,2019-01-22,25.36,25.5,25.09,25.21,25.1395,6114949,0.0,1.0,52.59
