,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,COP,2019-04-29,62.77,63.12,62.36,62.65,62.65,6769254,0.0,1.0,63.39
1,COP,2019-04-26,63.58,63.6521,62.08,62.78,62.78,9216774,0.0,1.0,63.29
2,COP,2019-04-25,64.63,64.65,63.93,63.97,63.97,7305292,0.0,1.0,65.23
3,COP,2019-04-24,67.0,67.0,64.69,64.7,64.7,7624581,0.0,1.0,65.96
4,COP,2019-04-23,66.99,67.42,66.43,66.45,66.45,7845500,0.0,1.0,66.24
5,COP,2019-04-22,66.7,67.2985,66.3315,66.96,66.96,9061632,0.0,1.0,65.66
6,COP,2019-04-18,65.94,66.385,65.52,65.9,65.9,6033432,0.0,1.0,64.02
7,COP,2019-04-17,66.49,67.0,65.78,65.78,65.78,7907054,0.0,1.0,63.74
8,COP,2019-04-16,66.76,66.91,65.84,65.84,65.84,7790792,0.0,1.0,64.01
9,COP,2019-04-15,67.06,67.23,66.205,66.34,66.34,7284770,0.0,1.0,63.43
10,COP,2019-04-12,67.56,68.22,67.245,67.37,67.37,9913268,0.0,1.0,63.86
11,COP,2019-04-11,66.64,67.6,65.72,66.37,66.37,9486975,0.0,1.0,63.61
12,COP,2019-04-10,66.08,67.18,66.03,66.97,66.97,6629009,0.0,1.0,64.62
13,COP,2019-04-09,66.21,66.275,65.45,65.7,65.7,4707319,0.0,1.0,64.05
14,COP,2019-04-08,66.51,67.515,66.19,66.55,66.55,5705245,0.0,1.0,64.37
15,COP,2019-04-05,65.51,66.19,65.26,66.12,66.12,8337964,0.0,1.0,63.1
16,COP,2019-04-04,65.57,65.77,64.97,65.16,65.16,6397875,0.0,1.0,62.12
17,COP,2019-04-03,66.81,66.96,65.17,65.51,65.51,5490760,0.0,1.0,62.46
18,COP,2019-04-02,67.59,67.83,66.09,66.35,66.35,5832979,0.0,1.0,62.53
19,COP,2019-04-01,67.49,68.12,67.31,67.69,67.69,5308962,0.0,1.0,61.59
20,COP,2019-03-29,68.28,68.54,66.58,66.74,66.74,6811030,0.0,1.0,60.19
21,COP,2019-03-28,67.4,67.61,66.76,67.38,67.38,5122134,0.0,1.0,59.29
22,COP,2019-03-27,68.3,69.08,67.575,67.91,67.91,5015563,0.0,1.0,59.39
23,COP,2019-03-26,67.97,69.598,67.91,68.56,68.56,7245205,0.0,1.0,59.87
24,COP,2019-03-25,66.04,67.49,65.52,67.07,67.07,8069976,0.0,1.0,58.71
25,COP,2019-03-22,67.46,67.75,65.39,66.07,66.07,5182120,0.0,1.0,58.87
26,COP,2019-03-21,67.73,68.28,67.26,68.14,68.14,5580902,0.0,1.0,59.98
27,COP,2019-03-20,67.39,68.16,66.67,67.54,67.54,7117466,0.0,1.0,60.12
28,COP,2019-03-19,68.14,68.495,67.1,67.35,67.35,6456361,0.0,1.0,59.12
29,COP,2019-03-18,67.88,68.3,67.302,67.61,67.61,7712200,0.0,1.0,59.09
30,COP,2019-03-15,66.56,67.93,66.53,67.59,67.59,16733199,0.0,1.0,58.51
31,COP,2019-03-14,67.28,67.86,66.97,67.02,67.02,7315456,0.0,1.0,58.59
32,COP,2019-03-13,66.09,67.36,66.03,67.35,67.35,8324794,0.0,1.0,58.27
33,COP,2019-03-12,66.17,66.42,65.15,65.63,65.63,11790151,0.0,1.0,56.89
34,COP,2019-03-11,66.2,66.34,65.34,65.87,65.87,8703529,0.0,1.0,56.79
35,COP,2019-03-08,66.7,66.7,64.91,65.43,65.43,8068914,0.0,1.0,55.77
36,COP,2019-03-07,68.36,68.4,67.55,67.95,67.95,6964286,0.0,1.0,56.6
37,COP,2019-03-06,68.61,68.64,67.94,68.29,68.29,7296328,0.0,1.0,56.22
38,COP,2019-03-05,70.0,70.06,68.52,69.01,69.01,7635534,0.0,1.0,56.55
39,COP,2019-03-04,69.6,70.06,68.73,69.9,69.9,6625838,0.0,1.0,56.6
40,COP,2019-03-01,68.09,69.11,68.09,68.93,68.93,7372593,0.0,1.0,55.76
41,COP,2019-02-28,69.15,69.19,67.66,67.85,67.85,8154252,0.0,1.0,57.21
42,COP,2019-02-27,69.29,70.34,68.755,69.22,69.22,5355746,0.0,1.0,56.92
43,COP,2019-02-26,69.1,69.53,68.74,68.92,68.92,4689898,0.0,1.0,55.4
44,COP,2019-02-25,69.66,70.01,69.23,69.25,69.25,5160896,0.0,1.0,55.32
45,COP,2019-02-22,70.85,71.01,69.87,69.97,69.97,5225615,0.0,1.0,57.01
46,COP,2019-02-21,70.24,70.84,69.93,70.24,70.24,5984411,0.0,1.0,56.95
47,COP,2019-02-20,69.46,70.75,69.45,70.65,70.65,5837308,0.0,1.0,56.9
48,COP,2019-02-19,69.52,70.01,69.18,69.49,69.49,5189816,0.0,1.0,56.12
49,COP,2019-02-15,69.94,70.32,69.48,70.18,70.18,5173527,0.0,1.0,55.58
50,COP,2019-02-14,67.5,69.69,67.495,69.1,69.1,5442804,0.0,1.0,54.4
51,COP,2019-02-13,67.71,68.83,67.64,67.78,67.78,5839875,0.0,1.0,53.84
52,COP,2019-02-12,68.01,68.3,67.24,67.45,67.45,3958076,0.0,1.0,53.14
53,COP,2019-02-11,65.58,67.07,65.58,66.74,66.74,5200416,0.0,1.0,52.43
54,COP,2019-02-08,66.8,67.08,65.255,66.26,66.26,6554968,0.305,1.0,52.75
55,COP,2019-02-07,68.37,68.83,67.25,67.48,67.1708,6230309,0.0,1.0,52.68
56,COP,2019-02-06,68.66,69.55,68.51,69.11,68.7933,4071264,0.0,1.0,53.94
57,COP,2019-02-05,69.65,69.96,69.11,69.26,68.9427,4483883,0.0,1.0,53.69
58,COP,2019-02-04,68.19,70.01,68.19,69.93,69.6096,5593140,0.0,1.0,54.57
59,COP,2019-02-01,68.34,69.45,68.1,68.68,68.3653,7486475,0.0,1.0,55.29
60,COP,2019-01-31,66.54,68.31,65.9,67.69,67.3798,9927664,0.0,1.0,53.84
61,COP,2019-01-30,65.8,66.1,65.11,65.69,65.389,8087765,0.0,1.0,54.18
62,COP,2019-01-29,66.21,66.29,65.25,65.3,65.0008,5308752,0.0,1.0,53.07
63,COP,2019-01-28,65.87,65.8739,64.88,65.35,65.0506,5942754,0.0,1.0,51.79
64,COP,2019-01-25,66.65,67.61,66.5201,66.99,66.6831,4517319,0.0,1.0,53.53
65,COP,2019-01-24,65.97,66.73,65.45,66.12,65.817,5789948,0.0,1.0,52.94
66,COP,2019-01-23,66.22,66.46,65.15,65.86,65.5582,5938747,0.0,1.0,52.44
67,COP,2019-01-22,67.0,67.24,65.5834,65.75,65.4487,6915504,0.0,1.0,52.59
68,COP,2019-01-18,67.64,68.31,67.17,67.9,67.5889,6073857,0.0,1.0,53.6
69,COP,2019-01-17,65.06,67.17,65.01,67.06,66.7527,5997444,0.0,1.0,51.83
70,COP,2019-01-16,65.74,66.27,65.49,65.66,65.3591,5402261,0.0,1.0,52.08
71,COP,2019-01-15,66.04,66.78,65.76,66.03,65.7275,4504145,0.0,1.0,51.8
72,COP,2019-01-14,65.62,66.32,65.33,65.61,65.3094,4972030,0.0,1.0,50.31
73,COP,2019-01-11,67.28,67.34,65.79,66.39,66.0858,6018564,0.0,1.0,51.44
74,COP,2019-01-10,65.87,68.01,65.43,67.94,67.6287,8811084,0.0,1.0,52.42
75,COP,2019-01-09,65.07,66.75,64.6,66.45,66.1455,8350326,0.0,1.0,52.19
76,COP,2019-01-08,64.21,64.58,63.46,64.32,64.0253,5774856,0.0,1.0,49.58
77,COP,2019-01-07,63.91,64.27,62.69,63.47,63.1792,6272190,0.0,1.0,48.27
78,COP,2019-01-04,63.08,63.91,62.66,63.75,63.4579,7700138,0.0,1.0,47.76
79,COP,2019-01-03,63.54,63.71,61.66,62.18,61.8951,4727318,0.0,1.0,46.92
80,COP,2019-01-02,60.69,63.85,60.43,63.38,63.0896,5735438,0.0,1.0,46.31
81,COP,2018-12-28,62.75,62.87,61.15,61.67,61.3874,5053694,0.0,1.0,45.15
82,COP,2018-12-27,60.63,62.24,59.4503,62.23,61.9449,6130982,0.0,1.0,44.48
83,COP,2018-12-26,57.68,61.53,56.75,61.5,61.2182,7263897,0.0,1.0,46.04
84,COP,2018-12-21,59.21,60.97,58.81,59.8,59.526,15043576,0.0,1.0,45.38
85,COP,2018-12-20,60.27,61.72,59.67,60.0,59.7251,8372851,0.0,1.0,45.64
86,COP,2018-12-19,62.56,63.76,60.82,61.28,60.9992,7699786,0.0,1.0,47.96
87,COP,2018-12-18,63.03,63.62,61.47,61.91,61.6263,6806158,0.0,1.0,46.12
88,COP,2018-12-17,64.57,64.84,62.6934,63.12,62.8308,7018338,0.0,1.0,49.8
89,COP,2018-12-14,66.12,66.29,64.31,64.55,64.2542,6445868,0.0,1.0,51.26
90,COP,2018-12-13,65.12,67.08,64.89,66.13,65.827,6417183,0.0,1.0,52.69
91,COP,2018-12-12,66.05,67.06,65.22,65.27,64.9709,5544926,0.0,1.0,51.04
92,COP,2018-12-11,66.14,66.75,64.73,65.44,65.1402,5569158,0.0,1.0,51.65
93,COP,2018-12-10,65.09,65.79,63.3,65.2,64.9013,8750939,0.0,1.0,51.07
94,COP,2018-12-07,68.24,69.12,65.81,65.91,65.608,8095500,0.0,1.0,52.76
95,COP,2018-12-06,64.92,66.61,64.31,66.61,66.3048,8412030,0.0,1.0,51.54
96,COP,2018-12-04,69.43,69.72,66.79,66.92,66.6134,7532189,0.0,1.0,53.21
97,COP,2018-12-03,68.1,69.26,67.56,69.11,68.7933,7497148,0.0,1.0,52.98
98,COP,2018-11-30,66.03,66.94,65.43,66.18,65.8768,7175385,0.0,1.0,50.78
99,COP,2018-11-29,66.46,67.51,66.21,66.87,66.5636,4606115,0.0,1.0,51.46
100,COP,2018-11-28,65.11,66.63,65.09,66.35,66.046,5602118,0.0,1.0,50.06
101,COP,2018-11-27,64.73,65.6,64.15,65.28,64.9809,6116387,0.0,1.0,51.31
102,COP,2018-11-26,64.7,65.6,64.53,64.7,64.4035,6355146,0.0,1.0,51.46
103,COP,2018-11-21,64.41,66.15,64.22,65.48,65.18,6392646,0.0,1.0,54.41
104,COP,2018-11-20,65.56,65.56,63.2201,63.99,63.6968,7454260,0.0,1.0,53.39
105,COP,2018-11-19,65.37,66.73,65.03,66.44,66.1356,7793905,0.0,1.0,57.16
106,COP,2018-11-16,65.59,66.44,65.38,66.12,65.817,7993579,0.0,1.0,56.49
107,COP,2018-11-15,63.58,65.2862,63.25,65.21,64.9112,7782826,0.0,1.0,56.45
108,COP,2018-11-14,64.82,66.01,63.52,64.12,63.8262,9708496,0.0,1.0,56.16
109,COP,2018-11-13,64.78,65.58,62.6,63.72,63.428,11213930,0.0,1.0,55.63
110,COP,2018-11-12,67.59,68.07,65.14,65.14,64.8415,6767020,0.0,1.0,59.85
111,COP,2018-11-09,65.73,67.21,64.79,66.73,66.4242,9190686,0.0,1.0,60.19
112,COP,2018-11-08,69.76,70.31,66.67,66.91,66.6034,9826884,0.0,1.0,60.71
113,COP,2018-11-07,70.74,71.26,69.25,70.03,69.7091,6585496,0.0,1.0,61.69
114,COP,2018-11-06,69.35,69.57,68.25,69.5,69.1816,6150231,0.0,1.0,62.16
115,COP,2018-11-05,68.69,69.5,68.25,69.03,68.7137,4955514,0.0,1.0,63.12
116,COP,2018-11-02,69.69,70.25,67.3789,67.84,67.5292,5725215,0.0,1.0,63.12
117,COP,2018-11-01,70.2,70.9547,68.49,69.58,69.2612,7826514,0.0,1.0,63.67
