,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,CPE,2019-04-29,7.48,7.53,7.34,7.49,7.49,4357557,0.0,1.0,63.39
1,CPE,2019-04-26,7.72,7.78,7.36,7.49,7.49,6708416,0.0,1.0,63.29
2,CPE,2019-04-25,8.12,8.18,7.835,7.85,7.85,7386102,0.0,1.0,65.23
3,CPE,2019-04-24,8.4,8.42,8.105,8.12,8.12,4560091,0.0,1.0,65.96
4,CPE,2019-04-23,8.43,8.52,8.255,8.33,8.33,5164645,0.0,1.0,66.24
5,CPE,2019-04-22,8.32,8.46,8.225,8.41,8.41,4374227,0.0,1.0,65.66
6,CPE,2019-04-18,8.23,8.26,8.035,8.11,8.11,4278360,0.0,1.0,64.02
7,CPE,2019-04-17,8.13,8.35,8.06,8.2,8.2,4932511,0.0,1.0,63.74
8,CPE,2019-04-16,8.1,8.12,7.91,8.02,8.02,3781811,0.0,1.0,64.01
9,CPE,2019-04-15,8.15,8.37,7.98,8.03,8.03,5769036,0.0,1.0,63.43
10,CPE,2019-04-12,7.93,8.47,7.93,8.21,8.21,9661832,0.0,1.0,63.86
11,CPE,2019-04-11,7.96,8.04,7.515,7.6,7.6,7981126,0.0,1.0,63.61
12,CPE,2019-04-10,7.88,8.09,7.73,8.0,8.0,8267444,0.0,1.0,64.62
13,CPE,2019-04-09,7.9,8.0,7.695,7.82,7.82,9723712,0.0,1.0,64.05
14,CPE,2019-04-08,7.74,7.99,7.74,7.79,7.79,5543209,0.0,1.0,64.37
15,CPE,2019-04-05,7.33,7.74,7.33,7.73,7.73,5529767,0.0,1.0,63.1
16,CPE,2019-04-04,7.13,7.32,7.085,7.29,7.29,5722852,0.0,1.0,62.12
17,CPE,2019-04-03,7.57,7.58,7.11,7.12,7.12,5576280,0.0,1.0,62.46
18,CPE,2019-04-02,7.68,7.72,7.49,7.51,7.51,3968246,0.0,1.0,62.53
19,CPE,2019-04-01,7.65,7.75,7.58,7.66,7.66,3558092,0.0,1.0,61.59
20,CPE,2019-03-29,7.78,7.9,7.49,7.55,7.55,6532117,0.0,1.0,60.19
21,CPE,2019-03-28,7.57,7.78,7.57,7.65,7.65,4352108,0.0,1.0,59.29
22,CPE,2019-03-27,7.64,7.75,7.54,7.65,7.65,3378444,0.0,1.0,59.39
23,CPE,2019-03-26,7.49,7.72,7.47,7.65,7.65,4082035,0.0,1.0,59.87
24,CPE,2019-03-25,7.43,7.45,7.16,7.34,7.34,3097926,0.0,1.0,58.71
25,CPE,2019-03-22,7.84,7.845,7.445,7.46,7.46,5799533,0.0,1.0,58.87
26,CPE,2019-03-21,7.67,7.95,7.63,7.93,7.93,4904698,0.0,1.0,59.98
27,CPE,2019-03-20,7.42,7.81,7.3,7.71,7.71,5062883,0.0,1.0,60.12
28,CPE,2019-03-19,7.73,7.83,7.45,7.5,7.5,4012067,0.0,1.0,59.12
29,CPE,2019-03-18,7.37,7.69,7.33,7.65,7.65,4347282,0.0,1.0,59.09
30,CPE,2019-03-15,7.33,7.45,7.275,7.36,7.36,6389865,0.0,1.0,58.51
31,CPE,2019-03-14,7.42,7.495,7.37,7.41,7.41,2210788,0.0,1.0,58.59
32,CPE,2019-03-13,7.34,7.44,7.22,7.4,7.4,4121054,0.0,1.0,58.27
33,CPE,2019-03-12,7.05,7.24,6.99,7.23,7.23,4627930,0.0,1.0,56.89
34,CPE,2019-03-11,6.91,7.07,6.83,7.01,7.01,3242537,0.0,1.0,56.79
35,CPE,2019-03-08,6.99,7.0,6.675,6.85,6.85,6881530,0.0,1.0,55.77
36,CPE,2019-03-07,7.35,7.4,7.16,7.18,7.18,4716242,0.0,1.0,56.6
37,CPE,2019-03-06,7.49,7.54,7.32,7.33,7.33,7206753,0.0,1.0,56.22
38,CPE,2019-03-05,7.67,7.75,7.4,7.53,7.53,5233141,0.0,1.0,56.55
39,CPE,2019-03-04,7.79,7.86,7.48,7.65,7.65,4438034,0.0,1.0,56.6
40,CPE,2019-03-01,7.74,7.945,7.545,7.74,7.74,5317508,0.0,1.0,55.76
41,CPE,2019-02-28,7.75,7.77,7.335,7.65,7.65,8060506,0.0,1.0,57.21
42,CPE,2019-02-27,7.38,7.915,7.37,7.72,7.72,17257606,0.0,1.0,56.92
43,CPE,2019-02-26,7.2,7.36,6.98,6.99,6.99,7013597,0.0,1.0,55.4
44,CPE,2019-02-25,7.07,7.26,7.07,7.22,7.22,5260985,0.0,1.0,55.32
45,CPE,2019-02-22,7.21,7.345,7.08,7.18,7.18,5721185,0.0,1.0,57.01
46,CPE,2019-02-21,7.46,7.485,7.095,7.14,7.14,5427404,0.0,1.0,56.95
47,CPE,2019-02-20,7.58,7.66,7.37,7.5,7.5,8300025,0.0,1.0,56.9
48,CPE,2019-02-19,7.82,7.84,7.62,7.62,7.62,6903275,0.0,1.0,56.12
49,CPE,2019-02-15,7.92,8.04,7.78,7.89,7.89,5126270,0.0,1.0,55.58
50,CPE,2019-02-14,7.54,7.87,7.51,7.8,7.8,7457453,0.0,1.0,54.4
51,CPE,2019-02-13,7.43,7.755,7.24,7.61,7.61,8557513,0.0,1.0,53.84
52,CPE,2019-02-12,7.84,7.9,7.12,7.39,7.39,21000910,0.0,1.0,53.14
53,CPE,2019-02-11,7.89,8.11,7.74,8.08,8.08,6613755,0.0,1.0,52.43
54,CPE,2019-02-08,8.07,8.15,7.83,7.99,7.99,5576892,0.0,1.0,52.75
55,CPE,2019-02-07,8.37,8.39,7.92,8.11,8.11,7552986,0.0,1.0,52.68
56,CPE,2019-02-06,8.25,8.545,8.197,8.47,8.47,4308990,0.0,1.0,53.94
57,CPE,2019-02-05,8.37,8.55,8.25,8.32,8.32,4374006,0.0,1.0,53.69
58,CPE,2019-02-04,8.24,8.42,8.08,8.41,8.41,3411764,0.0,1.0,54.57
59,CPE,2019-02-01,8.19,8.49,8.17,8.38,8.38,3315793,0.0,1.0,55.29
60,CPE,2019-01-31,8.31,8.5,8.08,8.14,8.14,2774089,0.0,1.0,53.84
61,CPE,2019-01-30,7.98,8.29,7.98,8.29,8.29,3061611,0.0,1.0,54.18
62,CPE,2019-01-29,8.07,8.07,7.845,7.91,7.91,4090565,0.0,1.0,53.07
63,CPE,2019-01-28,7.96,7.98,7.78,7.96,7.96,4584283,0.0,1.0,51.79
64,CPE,2019-01-25,8.17,8.29,8.05,8.21,8.21,3879754,0.0,1.0,53.53
65,CPE,2019-01-24,7.86,8.165,7.8034,8.12,8.12,7190918,0.0,1.0,52.94
66,CPE,2019-01-23,8.22,8.32,7.83,7.88,7.88,4317856,0.0,1.0,52.44
67,CPE,2019-01-22,8.1,8.18,7.88,8.06,8.06,6393209,0.0,1.0,52.59
68,CPE,2019-01-18,8.31,8.445,8.15,8.26,8.26,5315742,0.0,1.0,53.6
69,CPE,2019-01-17,8.24,8.295,8.05,8.22,8.22,5951539,0.0,1.0,51.83
70,CPE,2019-01-16,8.25,8.47,8.17,8.33,8.33,6197082,0.0,1.0,52.08
71,CPE,2019-01-15,8.44,8.52,8.28,8.36,8.36,5315632,0.0,1.0,51.8
72,CPE,2019-01-14,8.35,8.53,8.27,8.3,8.3,5176905,0.0,1.0,50.31
73,CPE,2019-01-11,8.42,8.62,8.21,8.49,8.49,9731608,0.0,1.0,51.44
74,CPE,2019-01-10,8.4,8.68,8.34,8.58,8.58,6240498,0.0,1.0,52.42
75,CPE,2019-01-09,8.34,8.655,8.25,8.55,8.55,7363935,0.0,1.0,52.19
76,CPE,2019-01-08,8.04,8.33,7.89,8.21,8.21,11936674,0.0,1.0,49.58
77,CPE,2019-01-07,7.35,7.89,7.25,7.89,7.89,11325422,0.0,1.0,48.27
78,CPE,2019-01-04,6.94,7.36,6.81,7.32,7.32,7144353,0.0,1.0,47.76
79,CPE,2019-01-03,6.57,6.8,6.33,6.73,6.73,4952889,0.0,1.0,46.92
80,CPE,2019-01-02,6.32,6.68,6.185,6.55,6.55,4949914,0.0,1.0,46.31
81,CPE,2018-12-28,6.69,6.72,6.38,6.42,6.42,3924174,0.0,1.0,45.15
82,CPE,2018-12-27,6.33,6.67,6.26,6.66,6.66,5812387,0.0,1.0,44.48
83,CPE,2018-12-26,5.8,6.505,5.57,6.48,6.48,7057289,0.0,1.0,46.04
84,CPE,2018-12-21,6.33,6.45,6.02,6.13,6.13,12124329,0.0,1.0,45.38
85,CPE,2018-12-20,6.42,6.585,6.23,6.38,6.38,7826866,0.0,1.0,45.64
86,CPE,2018-12-19,6.88,6.94,6.46,6.59,6.59,8059715,0.0,1.0,47.96
87,CPE,2018-12-18,7.0,7.01,6.775,6.84,6.84,4664712,0.0,1.0,46.12
88,CPE,2018-12-17,6.9,7.3,6.75,6.98,6.98,5546473,0.0,1.0,49.8
89,CPE,2018-12-14,7.54,7.58,7.0,7.02,7.02,5949636,0.0,1.0,51.26
90,CPE,2018-12-13,7.68,7.82,7.49,7.7,7.7,4619616,0.0,1.0,52.69
91,CPE,2018-12-12,7.65,8.0,7.58,7.71,7.71,4216818,0.0,1.0,51.04
92,CPE,2018-12-11,7.93,8.02,7.45,7.53,7.53,4159971,0.0,1.0,51.65
93,CPE,2018-12-10,8.07,8.12,7.55,7.79,7.79,5290104,0.0,1.0,51.07
