,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,CXO,2019-04-29,117.21,117.96,115.675,115.97,115.97,1527675,0.0,1.0,63.39
1,CXO,2019-04-26,119.61,119.965,116.04,118.11,118.11,2894633,0.0,1.0,63.29
2,CXO,2019-04-25,120.94,123.02,120.05,121.01,121.01,2216452,0.0,1.0,65.23
3,CXO,2019-04-24,124.08,124.53,120.83,121.18,121.18,3611176,0.0,1.0,65.96
4,CXO,2019-04-23,120.25,123.3,119.09,122.55,122.55,2937583,0.0,1.0,66.24
5,CXO,2019-04-22,118.57,120.46,116.816,120.24,120.24,2598688,0.0,1.0,65.66
6,CXO,2019-04-18,114.3,117.1,113.73,116.96,116.96,1891947,0.0,1.0,64.02
7,CXO,2019-04-17,116.76,117.42,113.84,114.55,114.55,1715672,0.0,1.0,63.74
8,CXO,2019-04-16,115.52,116.93,114.36,115.89,115.89,1383552,0.0,1.0,64.01
9,CXO,2019-04-15,113.33,117.54,112.96,115.44,115.44,2418356,0.0,1.0,63.43
10,CXO,2019-04-12,114.03,117.31,112.69,113.89,113.89,4189762,0.0,1.0,63.86
11,CXO,2019-04-11,107.19,107.37,101.6,104.73,104.73,3948945,0.0,1.0,63.61
12,CXO,2019-04-10,108.4,109.12,107.4,107.74,107.74,1621681,0.0,1.0,64.62
13,CXO,2019-04-09,111.53,111.53,107.51,108.09,108.09,1651755,0.0,1.0,64.05
14,CXO,2019-04-08,110.77,113.1,110.52,112.0,112.0,2561756,0.0,1.0,64.37
15,CXO,2019-04-05,109.55,110.27,108.26,109.83,109.83,4722408,0.0,1.0,63.1
16,CXO,2019-04-04,108.85,109.25,106.32,109.21,109.21,1704014,0.0,1.0,62.12
17,CXO,2019-04-03,112.23,112.37,107.4,108.87,108.87,2218451,0.0,1.0,62.46
18,CXO,2019-04-02,112.32,113.41,111.115,111.59,111.59,967040,0.0,1.0,62.53
19,CXO,2019-04-01,112.07,113.85,110.8,112.11,112.11,1497667,0.0,1.0,61.59
20,CXO,2019-03-29,113.08,113.76,110.57,110.96,110.96,1363747,0.0,1.0,60.19
21,CXO,2019-03-28,106.35,111.72,106.35,111.31,111.31,1439825,0.0,1.0,59.29
22,CXO,2019-03-27,107.59,109.62,106.935,108.95,108.95,1168270,0.0,1.0,59.39
23,CXO,2019-03-26,106.76,109.92,106.5,108.42,108.42,1303776,0.0,1.0,59.87
24,CXO,2019-03-25,104.11,105.57,103.0,105.15,105.15,1105778,0.0,1.0,58.71
25,CXO,2019-03-22,108.34,108.465,103.9,104.51,104.51,1480880,0.0,1.0,58.87
26,CXO,2019-03-21,109.11,110.78,107.66,109.91,109.91,925736,0.0,1.0,59.98
27,CXO,2019-03-20,105.92,110.95,105.92,109.63,109.63,1700820,0.0,1.0,60.12
28,CXO,2019-03-19,108.12,108.47,106.02,106.5,106.5,1081498,0.0,1.0,59.12
29,CXO,2019-03-18,104.04,107.53,103.54,107.23,107.23,1645121,0.0,1.0,59.09
30,CXO,2019-03-15,103.31,103.92,102.7952,103.55,103.55,2116634,0.0,1.0,58.51
31,CXO,2019-03-14,102.14,104.015,102.14,103.72,103.72,1281372,0.0,1.0,58.59
32,CXO,2019-03-13,103.37,103.74,100.97,102.1,102.1,2061419,0.0,1.0,58.27
33,CXO,2019-03-12,100.86,102.52,100.19,102.16,102.16,1574685,0.0,1.0,56.89
34,CXO,2019-03-11,101.29,101.88,99.04,99.85,99.85,2212259,0.0,1.0,56.79
35,CXO,2019-03-08,100.0,101.045,98.11,100.28,100.28,1485857,0.0,1.0,55.77
36,CXO,2019-03-07,105.81,106.0034,102.36,102.47,102.47,2059708,0.0,1.0,56.6
37,CXO,2019-03-06,107.95,107.95,104.7,105.34,105.34,1908627,0.0,1.0,56.22
38,CXO,2019-03-05,111.86,111.86,108.68,108.75,108.75,1866093,0.0,1.0,56.55
39,CXO,2019-03-04,111.67,112.47,108.82,111.04,111.04,1504704,0.0,1.0,56.6
40,CXO,2019-03-01,110.58,111.8,109.66,111.02,111.02,1693528,0.0,1.0,55.76
41,CXO,2019-02-28,111.34,111.48,108.21,110.0,110.0,2047356,0.125,1.0,57.21
42,CXO,2019-02-27,108.79,113.07,108.64,111.37,111.2436,1780806,0.0,1.0,56.92
43,CXO,2019-02-26,108.64,109.54,107.3,108.47,108.3469,1639857,0.0,1.0,55.4
44,CXO,2019-02-25,105.5,109.07,105.36,108.82,108.6965,2960099,0.0,1.0,55.32
45,CXO,2019-02-22,104.53,107.38,104.53,106.04,105.9196,3573395,0.0,1.0,57.01
46,CXO,2019-02-21,112.11,112.7,103.32,103.7,103.5823,5864039,0.0,1.0,56.95
47,CXO,2019-02-20,115.99,116.19,112.15,112.45,112.3224,6778398,0.0,1.0,56.9
48,CXO,2019-02-19,121.81,122.58,119.48,121.0,120.8627,2961115,0.0,1.0,56.12
49,CXO,2019-02-15,120.93,123.4,120.89,122.97,122.8304,2428953,0.0,1.0,55.58
50,CXO,2019-02-14,118.66,120.33,118.01,119.37,119.2345,1400539,0.0,1.0,54.4
51,CXO,2019-02-13,117.0,120.42,117.0,119.51,119.3743,1781302,0.0,1.0,53.84
52,CXO,2019-02-12,117.94,120.14,116.0,116.5,116.3678,2093818,0.0,1.0,53.14
53,CXO,2019-02-11,111.52,116.62,111.41,116.41,116.2779,1937134,0.0,1.0,52.43
54,CXO,2019-02-08,112.75,113.74,109.76,112.65,112.5221,2055139,0.0,1.0,52.75
55,CXO,2019-02-07,115.87,116.044,111.13,112.75,112.622,1469287,0.0,1.0,52.68
56,CXO,2019-02-06,116.89,118.67,116.31,117.27,117.1369,811610,0.0,1.0,53.94
57,CXO,2019-02-05,119.81,119.98,117.43,118.03,117.896,1924810,0.0,1.0,53.69
58,CXO,2019-02-04,118.68,120.15,117.37,119.98,119.8438,1038274,0.0,1.0,54.57
59,CXO,2019-02-01,120.63,121.82,119.56,120.19,120.0536,1182487,0.0,1.0,55.29
60,CXO,2019-01-31,121.49,122.46,119.09,119.84,119.704,1552324,0.0,1.0,53.84
61,CXO,2019-01-30,118.1,121.19,117.66,121.02,120.8826,1637728,0.0,1.0,54.18
62,CXO,2019-01-29,118.27,118.67,116.965,117.26,117.1269,1029355,0.0,1.0,53.07
63,CXO,2019-01-28,116.46,116.9543,115.1,115.99,115.8583,1288837,0.0,1.0,51.79
64,CXO,2019-01-25,117.18,120.03,116.46,118.55,118.4154,1297115,0.0,1.0,53.53
65,CXO,2019-01-24,114.76,117.55,114.27,116.08,115.9482,1272243,0.0,1.0,52.94
66,CXO,2019-01-23,119.02,119.635,113.49,115.23,115.0992,2578143,0.0,1.0,52.44
67,CXO,2019-01-22,122.97,122.97,117.98,118.31,118.1757,2293099,0.0,1.0,52.59
68,CXO,2019-01-18,126.47,126.54,123.0,124.87,124.7283,2902198,0.0,1.0,53.6
69,CXO,2019-01-17,122.22,126.31,121.84,125.22,125.0779,1832768,0.0,1.0,51.83
70,CXO,2019-01-16,122.87,124.97,122.25,123.63,123.4897,2089492,0.0,1.0,52.08
71,CXO,2019-01-15,122.76,123.94,121.86,122.43,122.291,1405339,0.0,1.0,51.8
72,CXO,2019-01-14,118.85,121.98,118.51,121.54,121.402,1239059,0.0,1.0,50.31
73,CXO,2019-01-11,120.66,121.78,119.35,120.45,120.3133,1369295,0.0,1.0,51.44
74,CXO,2019-01-10,121.84,123.25,120.39,122.33,122.1911,1617026,0.0,1.0,52.42
75,CXO,2019-01-09,121.96,124.88,120.44,122.94,122.8005,2256373,0.0,1.0,52.19
76,CXO,2019-01-08,116.68,120.1,116.675,119.45,119.3144,2664825,0.0,1.0,49.58
77,CXO,2019-01-07,112.3,116.01,111.63,115.02,114.8894,1951959,0.0,1.0,48.27
78,CXO,2019-01-04,108.96,112.19,107.37,112.1,111.9728,2053448,0.0,1.0,47.76
79,CXO,2019-01-03,107.12,108.98,105.26,106.86,106.7387,1564283,0.0,1.0,46.92
80,CXO,2019-01-02,100.42,106.98,100.14,106.69,106.5689,1640711,0.0,1.0,46.31
81,CXO,2018-12-28,103.54,104.08,100.24,101.81,101.6944,1231362,0.0,1.0,45.15
82,CXO,2018-12-27,99.88,102.85,98.06,102.85,102.7333,1501760,0.0,1.0,44.48
83,CXO,2018-12-26,96.1,102.63,93.31,102.57,102.4536,2189642,0.0,1.0,46.04
84,CXO,2018-12-21,100.89,102.23,98.35,99.85,99.7367,3696491,0.0,1.0,45.38
85,CXO,2018-12-20,103.05,106.83,101.18,101.57,101.4547,3927108,0.0,1.0,45.64
86,CXO,2018-12-19,105.84,107.63,103.06,104.78,104.6611,3005779,0.0,1.0,47.96
87,CXO,2018-12-18,110.28,110.28,104.36,104.9,104.7809,3011358,0.0,1.0,46.12
88,CXO,2018-12-17,114.13,114.76,109.18,109.78,109.6554,2309781,0.0,1.0,49.8
89,CXO,2018-12-14,119.69,120.02,114.395,115.02,114.8894,1574313,0.0,1.0,51.26
90,CXO,2018-12-13,121.42,121.8199,118.83,120.67,120.533,1741494,0.0,1.0,52.69
91,CXO,2018-12-12,123.38,125.34,122.09,122.21,122.0713,2452229,0.0,1.0,51.04
92,CXO,2018-12-11,122.69,123.215,120.14,121.85,121.7117,1640531,0.0,1.0,51.65
93,CXO,2018-12-10,121.17,126.0,118.34,120.45,120.3133,1845106,0.0,1.0,51.07
94,CXO,2018-12-07,123.61,126.78,121.995,122.41,122.2711,2357906,0.0,1.0,52.76
95,CXO,2018-12-06,125.25,125.26,117.735,120.82,120.6829,3128574,0.0,1.0,51.54
96,CXO,2018-12-04,134.82,135.31,127.985,128.41,128.2642,1638790,0.0,1.0,53.21
97,CXO,2018-12-03,134.71,135.72,133.46,134.74,134.5871,1648912,0.0,1.0,52.98
98,CXO,2018-11-30,130.45,131.04,128.385,130.34,130.1921,2372075,0.0,1.0,50.78
99,CXO,2018-11-29,128.3,133.07,128.3,131.5,131.3507,1455968,0.0,1.0,51.46
100,CXO,2018-11-28,126.42,128.628,125.46,127.59,127.4452,1533577,0.0,1.0,50.06
101,CXO,2018-11-27,128.1,130.39,126.57,126.9,126.756,1977862,0.0,1.0,51.31
102,CXO,2018-11-26,128.62,130.14,127.6,128.78,128.6338,1605121,0.0,1.0,51.46
103,CXO,2018-11-21,135.58,138.01,134.39,135.51,135.3562,1332040,0.0,1.0,54.41
104,CXO,2018-11-20,136.6,137.97,133.54,133.87,133.718,2013666,0.0,1.0,53.39
105,CXO,2018-11-19,136.14,139.99,135.0,139.03,138.8722,2123462,0.0,1.0,57.16
106,CXO,2018-11-16,135.05,139.07,135.05,138.39,138.2329,2413658,0.0,1.0,56.49
107,CXO,2018-11-15,127.97,134.68,127.14,134.59,134.4372,2389930,0.0,1.0,56.45
108,CXO,2018-11-14,130.15,131.09,127.58,128.79,128.6438,2329863,0.0,1.0,56.16
109,CXO,2018-11-13,129.07,130.8299,126.9075,127.5,127.3553,2836034,0.0,1.0,55.63
110,CXO,2018-11-12,138.16,138.23,129.62,129.84,129.6926,1710917,0.0,1.0,59.85
111,CXO,2018-11-09,133.7,137.555,132.39,136.52,136.365,1399589,0.0,1.0,60.19
112,CXO,2018-11-08,142.25,142.57,135.515,136.25,136.0953,1687007,0.0,1.0,60.71
113,CXO,2018-11-07,144.0,144.8799,141.17,142.92,142.7578,1547164,0.0,1.0,61.69
114,CXO,2018-11-06,142.18,142.63,138.37,141.37,141.2095,1191793,0.0,1.0,62.16
115,CXO,2018-11-05,142.99,144.34,139.535,141.96,141.7989,1464748,0.0,1.0,63.12
116,CXO,2018-11-02,144.95,145.85,140.61,141.05,140.8899,1949382,0.0,1.0,63.12
117,CXO,2018-11-01,141.04,145.1,139.005,143.65,143.4869,2434182,0.0,1.0,63.67
118,CXO,2018-10-31,140.38,145.43,138.62,139.09,138.9321,3752052,0.0,1.0,65.31
119,CXO,2018-10-30,130.16,136.94,130.15,135.75,135.5959,2580778,0.0,1.0,66.18
120,CXO,2018-10-29,135.25,136.07,129.06,130.93,130.7814,1777924,0.0,1.0,67.0
121,CXO,2018-10-26,134.11,137.0,131.15,135.18,135.0266,2143616,0.0,1.0,67.58
122,CXO,2018-10-25,136.12,137.58,134.49,136.34,136.1852,1746012,0.0,1.0,67.25
123,CXO,2018-10-24,143.2,143.2,134.41,134.61,134.4572,1737109,0.0,1.0,66.56
124,CXO,2018-10-23,144.0,144.0,139.08,141.78,141.6191,1452905,0.0,1.0,66.49
125,CXO,2018-10-22,147.68,147.68,145.41,146.84,146.6733,1128919,0.0,1.0,69.25
126,CXO,2018-10-19,148.19,150.45,146.95,147.54,147.3725,1635643,0.0,1.0,69.16
127,CXO,2018-10-18,148.52,149.58,146.67,147.95,147.7821,1293029,0.0,1.0,68.63
128,CXO,2018-10-17,152.75,152.75,149.37,150.45,150.2792,882437,0.0,1.0,69.63
129,CXO,2018-10-16,151.89,153.38,150.1,152.98,152.8064,1460055,0.0,1.0,71.93
130,CXO,2018-10-15,150.6,152.35,149.3,151.08,150.9085,1038575,0.0,1.0,71.84
131,CXO,2018-10-12,152.93,153.36,147.63,150.43,150.2593,1772047,0.0,1.0,71.41
132,CXO,2018-10-11,151.65,153.4618,148.6725,150.56,150.3891,2786846,0.0,1.0,70.97
133,CXO,2018-10-10,160.03,160.03,153.1,153.16,152.9862,1848172,0.0,1.0,73.18
134,CXO,2018-10-09,157.15,160.81,157.09,159.96,159.7784,1365601,0.0,1.0,74.95
135,CXO,2018-10-08,157.02,157.36,155.19,156.39,156.2125,1314921,0.0,1.0,74.27
136,CXO,2018-10-05,156.45,158.33,155.795,158.23,158.0504,1836993,0.0,1.0,74.26
137,CXO,2018-10-04,156.38,156.55,154.5,155.64,155.4633,1927341,0.0,1.0,74.44
138,CXO,2018-10-03,153.95,157.41,152.86,157.13,156.9516,2005865,0.0,1.0,76.4
139,CXO,2018-10-02,153.77,154.18,152.03,153.75,153.5755,1562681,0.0,1.0,75.16
140,CXO,2018-10-01,152.88,154.85,152.08,153.84,153.6654,1317419,0.0,1.0,75.37
141,CXO,2018-09-28,150.5,154.07,150.5,152.75,152.5766,2028827,0.0,1.0,73.16
142,CXO,2018-09-27,151.5,151.7,149.82,151.44,151.2681,1495990,0.0,1.0,72.18
143,CXO,2018-09-26,150.05,151.54,149.3,150.52,150.3491,1580507,0.0,1.0,72.22
144,CXO,2018-09-25,148.76,151.05,148.76,150.95,150.7787,2649511,0.0,1.0,73.4
145,CXO,2018-09-24,145.11,148.15,144.77,147.07,146.9031,2701923,0.0,1.0,73.23
146,CXO,2018-09-21,144.19,145.03,142.27,142.88,142.7178,4494081,0.0,1.0,70.8
147,CXO,2018-09-20,145.36,146.0,141.35,142.93,142.7678,1580489,0.0,1.0,70.77
148,CXO,2018-09-19,143.55,146.43,143.4116,145.07,144.9053,1415664,0.0,1.0,71.08
149,CXO,2018-09-18,143.05,144.24,142.01,143.55,143.3871,1450114,0.0,1.0,69.87
150,CXO,2018-09-17,142.35,144.09,141.14,141.63,141.4692,1421783,0.0,1.0,68.86
151,CXO,2018-09-14,141.09,143.0499,140.68,141.11,140.9498,1599206,0.0,1.0,68.98
