,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,DVN,2019-04-29,32.53,33.16,32.47,32.72,32.72,4900171,0.0,1.0,63.39
1,DVN,2019-04-26,33.16,33.33,32.26,32.69,32.69,4967914,0.0,1.0,63.29
2,DVN,2019-04-25,34.32,34.49,33.51,33.54,33.54,6210049,0.0,1.0,65.23
3,DVN,2019-04-24,34.89,35.17,34.33,34.49,34.49,7331915,0.0,1.0,65.96
4,DVN,2019-04-23,35.27,35.39,34.435,34.6,34.6,6277966,0.0,1.0,66.24
5,DVN,2019-04-22,34.1,35.22,33.5,35.16,35.16,10513057,0.0,1.0,65.66
6,DVN,2019-04-18,33.27,33.815,33.14,33.55,33.55,7864627,0.0,1.0,64.02
7,DVN,2019-04-17,33.1,33.385,32.93,33.21,33.21,5092021,0.0,1.0,63.74
8,DVN,2019-04-16,32.75,32.93,32.165,32.83,32.83,5129236,0.0,1.0,64.01
9,DVN,2019-04-15,33.23,33.5,32.54,32.57,32.57,6383939,0.0,1.0,63.43
10,DVN,2019-04-12,32.99,33.81,32.6,33.48,33.48,13576016,0.0,1.0,63.86
11,DVN,2019-04-11,31.19,31.75,30.835,31.18,31.18,3416468,0.0,1.0,63.61
12,DVN,2019-04-10,31.26,31.6,31.11,31.4,31.4,4927945,0.0,1.0,64.62
13,DVN,2019-04-09,31.84,31.93,30.97,31.06,31.06,4981554,0.0,1.0,64.05
14,DVN,2019-04-08,32.39,32.49,31.64,32.03,32.03,5413737,0.0,1.0,64.37
15,DVN,2019-04-05,31.16,32.21,31.14,32.2,32.2,7171426,0.0,1.0,63.1
16,DVN,2019-04-04,30.8,31.12,30.41,31.01,31.01,5131526,0.0,1.0,62.12
17,DVN,2019-04-03,31.38,31.45,30.49,30.71,30.71,4312592,0.0,1.0,62.46
18,DVN,2019-04-02,31.6,31.83,31.16,31.21,31.21,4385288,0.0,1.0,62.53
19,DVN,2019-04-01,31.92,32.08,31.275,31.54,31.54,5252133,0.0,1.0,61.59
