,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,ECA,2019-04-29,7.07,7.22,7.045,7.1,7.1,31805343,0.0,1.0,63.39
1,ECA,2019-04-26,7.29,7.29,7.05,7.14,7.14,23072604,0.0,1.0,63.29
2,ECA,2019-04-25,7.5,7.64,7.33,7.36,7.36,26058903,0.0,1.0,65.23
3,ECA,2019-04-24,7.7,7.7,7.43,7.53,7.53,31299217,0.0,1.0,65.96
4,ECA,2019-04-23,7.47,7.7,7.47,7.62,7.62,26768719,0.0,1.0,66.24
5,ECA,2019-04-22,7.35,7.515,7.27,7.49,7.49,20183360,0.0,1.0,65.66
6,ECA,2019-04-18,7.26,7.315,7.17,7.23,7.23,15320527,0.0,1.0,64.02
7,ECA,2019-04-17,7.35,7.41,7.19,7.27,7.27,17817419,0.0,1.0,63.74
8,ECA,2019-04-16,7.39,7.42,7.23,7.27,7.27,17517827,0.0,1.0,64.01
9,ECA,2019-04-15,7.54,7.6558,7.295,7.35,7.35,29983762,0.0,1.0,63.43
10,ECA,2019-04-12,7.39,7.6,7.34,7.57,7.57,41423402,0.0,1.0,63.86
11,ECA,2019-04-11,7.14,7.34,7.06,7.15,7.15,27175560,0.0,1.0,63.61
12,ECA,2019-04-10,6.98,7.26,6.965,7.23,7.23,25771116,0.0,1.0,64.62
13,ECA,2019-04-09,7.24,7.26,6.93,6.94,6.94,29595297,0.0,1.0,64.05
14,ECA,2019-04-08,7.22,7.34,7.19,7.27,7.27,24561571,0.0,1.0,64.37
15,ECA,2019-04-05,6.97,7.2052,6.935,7.16,7.16,27468856,0.0,1.0,63.1
16,ECA,2019-04-04,6.88,6.985,6.735,6.94,6.94,38381541,0.0,1.0,62.12
17,ECA,2019-04-03,7.26,7.29,6.8,6.85,6.85,58448660,0.0,1.0,62.46
18,ECA,2019-04-02,7.44,7.445,7.15,7.2,7.2,20483392,0.0,1.0,62.53
19,ECA,2019-04-01,7.39,7.46,7.335,7.4,7.4,18978230,0.0,1.0,61.59
20,ECA,2019-03-29,7.23,7.375,7.21,7.24,7.24,18684790,0.0,1.0,60.19
21,ECA,2019-03-28,7.07,7.175,7.06,7.13,7.13,18524411,0.0,1.0,59.29
22,ECA,2019-03-27,7.18,7.27,7.1,7.15,7.15,15253813,0.0,1.0,59.39
23,ECA,2019-03-26,7.04,7.21,7.02,7.21,7.21,24156351,0.0,1.0,59.87
24,ECA,2019-03-25,6.98,7.06,6.86,6.92,6.92,26160763,0.0,1.0,58.71
25,ECA,2019-03-22,7.31,7.31,6.91,7.02,7.02,30645093,0.0,1.0,58.87
26,ECA,2019-03-21,7.47,7.53,7.36,7.38,7.38,29985531,0.0,1.0,59.98
27,ECA,2019-03-20,7.32,7.58,7.29,7.51,7.51,35761117,0.0,1.0,60.12
28,ECA,2019-03-19,7.64,7.65,7.33,7.35,7.35,22314730,0.0,1.0,59.12
29,ECA,2019-03-18,7.29,7.53,7.28,7.48,7.48,20802749,0.0,1.0,59.09
30,ECA,2019-03-15,7.27,7.32,7.15,7.26,7.26,20361513,0.0,1.0,58.51
31,ECA,2019-03-14,7.25,7.4,7.2,7.24,7.24,20961554,0.0187,1.0,58.59
32,ECA,2019-03-13,7.22,7.3299,7.15,7.29,7.2712,26043981,0.0,1.0,58.27
33,ECA,2019-03-12,6.91,7.16,6.89,7.11,7.0916,34170164,0.0,1.0,56.89
34,ECA,2019-03-11,6.76,6.99,6.73,6.84,6.8223,29346905,0.0,1.0,56.79
35,ECA,2019-03-08,6.69,6.75,6.43,6.66,6.6428,26197155,0.0,1.0,55.77
36,ECA,2019-03-07,6.99,7.01,6.79,6.81,6.7924,24364772,0.0,1.0,56.6
37,ECA,2019-03-06,7.2,7.25,6.935,6.98,6.962,33593952,0.0,1.0,56.22
38,ECA,2019-03-05,7.3,7.38,7.185,7.29,7.2712,30702675,0.0,1.0,56.55
