,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,EGN,2018-11-29,70.5,73.51,70.5,72.12,72.12,3438082,0.0,1.0,51.46
1,EGN,2018-11-28,70.4,72.09,69.69,70.63,70.63,2866468,0.0,1.0,50.06
2,EGN,2018-11-27,71.96,73.5,70.18,70.72,70.72,2353219,0.0,1.0,51.31
3,EGN,2018-11-26,68.49,70.57,68.47,70.21,70.21,805686,0.0,1.0,51.46
4,EGN,2018-11-21,70.82,71.68,70.26,70.34,70.34,498291,0.0,1.0,54.41
5,EGN,2018-11-20,71.96,72.01,69.55,70.01,70.01,798771,0.0,1.0,53.39
6,EGN,2018-11-19,72.31,73.71,71.34,73.28,73.28,1154664,0.0,1.0,57.16
7,EGN,2018-11-16,72.3,73.8,71.93,73.5,73.5,744866,0.0,1.0,56.49
8,EGN,2018-11-15,69.52,72.35,69.0,72.07,72.07,982055,0.0,1.0,56.45
9,EGN,2018-11-14,70.9,71.75,69.36,69.9,69.9,1134211,0.0,1.0,56.16
10,EGN,2018-11-13,70.57,70.88,68.36,69.14,69.14,1557678,0.0,1.0,55.63
11,EGN,2018-11-12,74.0,74.29,70.51,70.65,70.65,951397,0.0,1.0,59.85
12,EGN,2018-11-09,69.45,73.65,68.16,73.04,73.04,1030179,0.0,1.0,60.19
13,EGN,2018-11-08,73.63,74.37,70.31,70.94,70.94,1029051,0.0,1.0,60.71
14,EGN,2018-11-07,74.13,76.64,70.7,74.24,74.24,1657801,0.0,1.0,61.69
15,EGN,2018-11-06,74.32,74.8,72.26,72.41,72.41,1408514,0.0,1.0,62.16
16,EGN,2018-11-05,74.88,76.04,73.7,74.4,74.4,677561,0.0,1.0,63.12
17,EGN,2018-11-02,74.32,74.55,72.53,73.47,73.47,587684,0.0,1.0,63.12
18,EGN,2018-11-01,72.36,74.51,72.13,74.0,74.0,889950,0.0,1.0,63.67
19,EGN,2018-10-31,71.44,74.41,71.17,71.97,71.97,1403941,0.0,1.0,65.31
20,EGN,2018-10-30,68.9,70.81,67.99,70.61,70.61,1075572,0.0,1.0,66.18
21,EGN,2018-10-29,73.15,73.29,68.2112,69.33,69.33,786646,0.0,1.0,67.0
22,EGN,2018-10-26,72.26,73.98,70.54,73.15,73.15,747179,0.0,1.0,67.58
23,EGN,2018-10-25,73.53,74.13,71.79,73.32,73.32,969744,0.0,1.0,67.25
24,EGN,2018-10-24,77.3,77.7,72.42,72.47,72.47,1179130,0.0,1.0,66.56
25,EGN,2018-10-23,78.29,78.29,75.21,76.36,76.36,1086152,0.0,1.0,66.49
26,EGN,2018-10-22,81.44,81.52,79.57,80.0,80.0,926388,0.0,1.0,69.25
27,EGN,2018-10-19,81.89,82.85,80.97,81.38,81.38,1266800,0.0,1.0,69.16
28,EGN,2018-10-18,81.71,81.95,80.24,81.21,81.21,1380067,0.0,1.0,68.63
29,EGN,2018-10-17,83.28,83.92,82.15,82.82,82.82,1106644,0.0,1.0,69.63
30,EGN,2018-10-16,82.49,83.98,81.65,83.71,83.71,1021965,0.0,1.0,71.93
31,EGN,2018-10-15,81.19,82.36,80.7501,81.97,81.97,988496,0.0,1.0,71.84
32,EGN,2018-10-12,80.88,81.47,78.0677,80.73,80.73,809040,0.0,1.0,71.41
33,EGN,2018-10-11,81.91,82.9,79.63,79.63,79.63,986649,0.0,1.0,70.97
34,EGN,2018-10-10,86.3,86.44,82.38,82.6,82.6,1501241,0.0,1.0,73.18
35,EGN,2018-10-09,85.39,87.23,84.92,86.34,86.34,523233,0.0,1.0,74.95
36,EGN,2018-10-08,86.33,86.74,84.44,85.03,85.03,1212360,0.0,1.0,74.27
37,EGN,2018-10-05,86.61,87.39,85.66,86.97,86.97,888652,0.0,1.0,74.26
38,EGN,2018-10-04,88.86,88.92,86.46,86.55,86.55,869482,0.0,1.0,74.44
39,EGN,2018-10-03,87.78,89.83,87.02,89.19,89.19,1872758,0.0,1.0,76.4
40,EGN,2018-10-02,87.46,87.74,86.22,87.36,87.36,1197137,0.0,1.0,75.16
41,EGN,2018-10-01,86.48,88.26,86.17,87.29,87.29,1157470,0.0,1.0,75.37
42,EGN,2018-09-28,85.0,87.881,85.0,86.17,86.17,1499389,0.0,1.0,73.16
43,EGN,2018-09-27,83.96,85.61,83.91,85.38,85.38,1250741,0.0,1.0,72.18
44,EGN,2018-09-26,85.2,85.72,83.4,83.5,83.5,2613920,0.0,1.0,72.22
45,EGN,2018-09-25,85.0,86.81,84.65,85.68,85.68,1962458,0.0,1.0,73.4
46,EGN,2018-09-24,83.37,85.06,82.9,84.68,84.68,1264866,0.0,1.0,73.23
47,EGN,2018-09-21,80.84,82.73,80.66,81.73,81.73,4556025,0.0,1.0,70.8
48,EGN,2018-09-20,82.29,82.29,80.48,80.62,80.62,1465029,0.0,1.0,70.77
49,EGN,2018-09-19,79.07,82.23,78.95,81.86,81.86,1391909,0.0,1.0,71.08
50,EGN,2018-09-18,78.15,80.3538,78.03,79.36,79.36,1742889,0.0,1.0,69.87
51,EGN,2018-09-17,77.73,79.2,77.01,78.08,78.08,1206826,0.0,1.0,68.86
52,EGN,2018-09-14,75.64,78.64,75.5,77.48,77.48,2670205,0.0,1.0,68.98
53,EGN,2018-09-13,76.4,76.57,74.74,75.55,75.55,2154100,0.0,1.0,68.6
54,EGN,2018-09-12,75.09,76.86,75.01,76.55,76.55,1795414,0.0,1.0,70.37
55,EGN,2018-09-11,70.57,74.54,70.31,74.11,74.11,1934309,0.0,1.0,69.29
56,EGN,2018-09-10,71.6,72.14,71.05,71.18,71.18,1500959,0.0,1.0,67.55
57,EGN,2018-09-07,72.44,73.02,70.84,71.57,71.57,2153108,0.0,1.0,67.73
58,EGN,2018-09-06,74.85,75.33,72.59,73.43,73.43,2001669,0.0,1.0,67.81
59,EGN,2018-09-05,76.4,76.87,74.53,75.12,75.12,1614992,0.0,1.0,68.69
60,EGN,2018-09-04,77.95,78.47,76.5,76.83,76.83,1000578,0.0,1.0,69.82
61,EGN,2018-08-31,77.05,77.57,76.11,77.55,77.55,2218926,0.0,1.0,69.84
62,EGN,2018-08-30,77.44,78.03,76.85,77.25,77.25,1161796,0.0,1.0,70.25
63,EGN,2018-08-29,77.4,77.71,76.65,77.63,77.63,1630917,0.0,1.0,69.68
64,EGN,2018-08-28,78.09,78.28,76.68,77.07,77.07,1066347,0.0,1.0,68.54
65,EGN,2018-08-27,77.64,78.57,77.53,78.03,78.03,2124121,0.0,1.0,69.97
66,EGN,2018-08-24,78.14,78.52,77.25,77.39,77.39,2025597,0.0,1.0,69.71
67,EGN,2018-08-23,78.73,78.96,77.13,77.39,77.39,971109,0.0,1.0,69.13
68,EGN,2018-08-22,78.48,79.73,78.48,78.97,78.97,1314986,0.0,1.0,67.85
69,EGN,2018-08-21,77.3,79.1,77.3,77.94,77.94,1984005,0.0,1.0,67.32
70,EGN,2018-08-20,76.54,77.56,76.125,77.01,77.01,1537776,0.0,1.0,66.5
71,EGN,2018-08-17,76.72,78.48,75.92,76.72,76.72,2191741,0.0,1.0,65.93
72,EGN,2018-08-16,75.69,76.905,75.18,76.62,76.62,5784429,0.0,1.0,65.44
73,EGN,2018-08-15,77.8,77.94,73.37,75.2,75.2,12444978,0.0,1.0,65.07
74,EGN,2018-08-14,72.54,73.32,72.2,73.14,73.14,2657260,0.0,1.0,67.04
75,EGN,2018-08-13,72.14,72.79,70.56,71.36,71.36,1228909,0.0,1.0,67.25
76,EGN,2018-08-10,72.38,72.93,72.05,72.23,72.23,705724,0.0,1.0,67.61
77,EGN,2018-08-09,71.99,72.875,71.54,72.21,72.21,1027812,0.0,1.0,66.81
78,EGN,2018-08-08,72.94,72.94,70.625,71.99,71.99,2758371,0.0,1.0,66.92
79,EGN,2018-08-07,74.98,76.2,73.01,73.84,73.84,1556977,0.0,1.0,69.17
80,EGN,2018-08-06,74.5,74.83,73.47,74.09,74.09,1699062,0.0,1.0,69.01
81,EGN,2018-08-03,74.29,74.39,73.09,74.28,74.28,1070200,0.0,1.0,68.49
82,EGN,2018-08-02,74.14,75.21,73.565,74.15,74.15,724114,0.0,1.0,68.95
83,EGN,2018-08-01,73.45,74.7,72.2,74.64,74.64,842428,0.0,1.0,68.8
84,EGN,2018-07-31,74.57,74.76,73.13,74.18,74.18,1105127,0.0,1.0,69.88
85,EGN,2018-07-30,74.61,74.93,73.97,74.32,74.32,693098,0.0,1.0,71.19
86,EGN,2018-07-27,74.38,74.74,73.55,73.85,73.85,456135,0.0,1.0,68.66
87,EGN,2018-07-26,75.06,75.44,74.25,74.52,74.52,784973,0.0,1.0,71.59
88,EGN,2018-07-25,74.23,75.02,73.52,75.0,75.0,563666,0.0,1.0,71.13
89,EGN,2018-07-24,73.7,75.11,73.553,74.19,74.19,486936,0.0,1.0,70.77
90,EGN,2018-07-23,74.56,74.7,73.53,73.79,73.79,580234,0.0,1.0,67.9
91,EGN,2018-07-20,74.75,74.91,73.54,74.47,74.47,569501,0.0,1.0,70.31
92,EGN,2018-07-19,74.28,74.98,73.84,74.87,74.87,643422,0.0,1.0,69.42
93,EGN,2018-07-18,73.16,74.62,72.185,74.29,74.29,697574,0.0,1.0,68.78
94,EGN,2018-07-17,73.46,73.8493,72.6,73.42,73.42,571410,0.0,1.0,68.03
95,EGN,2018-07-16,73.49,74.49,72.88,73.83,73.83,760118,0.0,1.0,68.22
96,EGN,2018-07-13,74.21,75.31,74.09,74.46,74.46,689844,0.0,1.0,71.03
97,EGN,2018-07-12,75.29,75.32,73.92,74.63,74.63,713742,0.0,1.0,70.28
98,EGN,2018-07-11,76.53,77.14,74.69,75.31,75.31,852577,0.0,1.0,70.47
99,EGN,2018-07-10,77.5,78.3,76.96,77.55,77.55,1037625,0.0,1.0,74.11
100,EGN,2018-07-09,75.61,76.65,74.63,76.64,76.64,850910,0.0,1.0,73.93
101,EGN,2018-07-06,73.27,75.525,73.04,75.1,75.1,829968,0.0,1.0,73.78
102,EGN,2018-07-05,73.25,73.92,72.185,73.75,73.75,865362,0.0,1.0,73.05
103,EGN,2018-07-03,72.85,73.81,71.97,72.52,72.52,588396,0.0,1.0,74.19
104,EGN,2018-07-02,72.21,72.84,71.03,71.77,71.77,778739,0.0,1.0,73.89
105,EGN,2018-06-29,72.21,74.065,72.1,72.82,72.82,1588868,0.0,1.0,74.13
106,EGN,2018-06-28,71.61,72.47,70.14,71.73,71.73,1488766,0.0,1.0,73.45
107,EGN,2018-06-27,69.66,72.16,69.66,71.46,71.46,2188774,0.0,1.0,77.41
108,EGN,2018-06-26,66.55,68.85,65.92,68.76,68.76,1781729,0.0,1.0,75.23
109,EGN,2018-06-25,67.19,67.97,65.17,65.54,65.54,667770,0.0,1.0,69.91
110,EGN,2018-06-22,65.7,67.89,65.7,67.25,67.25,1848591,0.0,1.0,69.02
111,EGN,2018-06-21,64.39,64.6877,63.35,63.84,63.84,1155750,0.0,1.0,65.68
112,EGN,2018-06-20,65.0,65.11,62.87,64.84,64.84,1293925,0.0,1.0,65.92
113,EGN,2018-06-19,62.79,64.77,62.4642,64.47,64.47,911186,0.0,1.0,65.09
114,EGN,2018-06-18,62.63,64.55,62.63,63.73,63.73,771547,0.0,1.0,65.91
115,EGN,2018-06-15,63.94,64.13,62.15,62.84,62.84,1512732,0.0,1.0,65.01
116,EGN,2018-06-14,65.26,65.445,63.6,63.78,63.78,1112925,0.0,1.0,66.91
117,EGN,2018-06-13,63.85,64.99,63.85,64.75,64.75,1542470,0.0,1.0,66.63
118,EGN,2018-06-12,63.08,64.44,62.8,64.21,64.21,973345,0.0,1.0,66.38
119,EGN,2018-06-11,63.18,64.13,62.22,62.98,62.98,958077,0.0,1.0,66.1
120,EGN,2018-06-08,63.91,64.63,62.67,63.27,63.27,1319818,0.0,1.0,65.77
121,EGN,2018-06-07,62.59,64.61,62.59,64.09,64.09,1625148,0.0,1.0,65.96
122,EGN,2018-06-06,61.92,63.15,61.181,62.22,62.22,1714161,0.0,1.0,64.75
123,EGN,2018-06-05,61.68,62.2,60.34,61.46,61.46,1953995,0.0,1.0,65.51
124,EGN,2018-06-04,63.75,64.03,61.78,61.89,61.89,2045953,0.0,1.0,64.76
125,EGN,2018-06-01,68.01,68.125,63.9,64.11,64.11,1842611,0.0,1.0,65.81
126,EGN,2018-05-31,67.78,69.11,67.74,67.84,67.84,1198718,0.0,1.0,66.98
127,EGN,2018-05-30,67.27,68.78,67.02,68.24,68.24,1043588,0.0,1.0,68.24
128,EGN,2018-05-29,65.49,66.849,65.12,66.64,66.64,1029065,0.0,1.0,66.8
129,EGN,2018-05-25,65.47,66.38,65.06,66.2,66.2,1873165,0.0,1.0,67.92
130,EGN,2018-05-24,67.83,68.0382,66.5698,67.34,67.34,1191475,0.0,1.0,70.77
131,EGN,2018-05-23,68.65,69.477,68.03,68.73,68.73,1273268,0.0,1.0,71.85
132,EGN,2018-05-22,71.5,71.97,68.73,69.21,69.21,2075586,0.0,1.0,72.09
133,EGN,2018-05-21,68.07,71.83,67.98,71.72,71.72,3600624,0.0,1.0,72.26
134,EGN,2018-05-18,68.32,68.84,67.34,67.37,67.37,917472,0.0,1.0,71.23
135,EGN,2018-05-17,66.89,69.1,66.62,68.37,68.37,1684368,0.0,1.0,71.47
136,EGN,2018-05-16,66.64,67.22,65.3,66.32,66.32,1264478,0.0,1.0,71.43
137,EGN,2018-05-15,66.2,66.9,65.12,66.66,66.66,1087769,0.0,1.0,71.34
138,EGN,2018-05-14,67.73,68.0,66.06,66.24,66.24,859271,0.0,1.0,71.01
139,EGN,2018-05-11,68.81,68.9,66.88,67.18,67.18,936392,0.0,1.0,70.69
140,EGN,2018-05-10,68.34,69.99,68.14,68.73,68.73,1607010,0.0,1.0,71.36
141,EGN,2018-05-09,67.6,70.27,67.6,67.71,67.71,2837163,0.0,1.0,71.16
142,EGN,2018-05-08,63.59,65.98,61.07,65.98,65.98,5440578,0.0,1.0,68.83
143,EGN,2018-05-07,64.05,64.78,63.45,63.68,63.68,1857605,0.0,1.0,70.74
144,EGN,2018-05-04,63.22,64.11,62.59,63.58,63.58,1057530,0.0,1.0,69.71
145,EGN,2018-05-03,64.33,64.45,62.41,63.17,63.17,1151389,0.0,1.0,68.45
146,EGN,2018-05-02,65.01,66.0,64.7,64.88,64.88,1295324,0.0,1.0,67.91
147,EGN,2018-05-01,64.78,65.49,64.225,65.0,65.0,909026,0.0,1.0,67.28
148,EGN,2018-04-30,65.14,66.11,65.001,65.44,65.44,922366,0.0,1.0,68.56
149,EGN,2018-04-27,66.42,66.435,64.95,65.14,65.14,864505,0.0,1.0,68.11
150,EGN,2018-04-26,66.98,67.25,66.12,66.86,66.86,1394512,0.0,1.0,68.18
151,EGN,2018-04-25,66.29,67.27,65.671,66.92,66.92,695276,0.0,1.0,68.0
152,EGN,2018-04-24,68.39,68.39,65.71,66.29,66.29,1444499,0.0,1.0,67.66
153,EGN,2018-04-23,67.61,68.38,66.75,68.31,68.31,892251,0.0,1.0,67.61
154,EGN,2018-04-20,68.7,68.7,66.9,67.72,67.72,1323847,0.0,1.0,68.26
155,EGN,2018-04-19,68.08,68.89,67.11,68.08,68.08,1269589,0.0,1.0,68.3
156,EGN,2018-04-18,66.16,69.24,66.16,68.17,68.17,1454707,0.0,1.0,68.44
157,EGN,2018-04-17,65.48,66.12,64.73,65.62,65.62,1832498,0.0,1.0,66.5
158,EGN,2018-04-16,65.44,65.72,64.7,65.2,65.2,864447,0.0,1.0,66.23
159,EGN,2018-04-13,64.33,66.01,64.275,65.21,65.21,2178367,0.0,1.0,67.35
160,EGN,2018-04-12,62.74,64.13,62.081,63.84,63.84,1343751,0.0,1.0,67.07
161,EGN,2018-04-11,62.02,64.2,62.02,62.7,62.7,1104652,0.0,1.0,66.81
162,EGN,2018-04-10,61.6,62.99,61.46,62.27,62.27,1169883,0.0,1.0,65.48
163,EGN,2018-04-09,61.86,62.0584,60.43,60.52,60.52,927208,0.0,1.0,63.4
164,EGN,2018-04-06,62.42,62.98,60.22,61.19,61.19,785730,0.0,1.0,62.03
165,EGN,2018-04-05,61.75,63.81,61.43,62.89,62.89,887315,0.0,1.0,63.53
166,EGN,2018-04-04,60.83,61.57,60.0,61.48,61.48,794018,0.0,1.0,63.35
167,EGN,2018-04-03,62.06,62.29,60.97,61.81,61.81,662759,0.0,1.0,63.41
168,EGN,2018-04-02,62.59,62.6,60.405,61.48,61.48,741782,0.0,1.0,63.05
169,EGN,2018-03-29,61.05,63.29,61.05,62.86,62.86,1841385,0.0,1.0,64.87
170,EGN,2018-03-28,60.5,61.96,59.63,60.78,60.78,4279453,0.0,1.0,64.3
171,EGN,2018-03-27,59.92,59.92,58.03,58.3,58.3,635344,0.0,1.0,65.21
172,EGN,2018-03-26,58.43,59.48,57.55,59.42,59.42,683841,0.0,1.0,65.49
173,EGN,2018-03-23,57.15,58.75,56.67,57.61,57.61,836781,0.0,1.0,65.8
174,EGN,2018-03-22,56.79,57.74,56.76,56.9,56.9,941553,0.0,1.0,64.25
