,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,EOG,2019-04-29,98.0,98.4609,96.7,97.0,97.0,3511955,0.0,1.0,63.39
1,EOG,2019-04-26,101.47,102.14,97.08,97.88,97.88,4380457,0.0,1.0,63.29
2,EOG,2019-04-25,103.98,104.1299,102.02,102.08,102.08,4090787,0.0,1.0,65.23
3,EOG,2019-04-24,107.5,107.58,103.83,103.94,103.94,3599169,0.0,1.0,65.96
4,EOG,2019-04-23,106.97,107.89,105.37,106.6,106.6,4242229,0.0,1.0,66.24
5,EOG,2019-04-22,105.25,107.3,104.64,107.07,107.07,3886031,0.0,1.0,65.66
6,EOG,2019-04-18,101.95,104.29,101.52,103.87,103.87,3306991,0.0,1.0,64.02
7,EOG,2019-04-17,103.19,104.45,101.43,101.84,101.84,2445525,0.0,1.0,63.74
8,EOG,2019-04-16,101.86,102.82,100.9762,102.35,102.35,2990071,0.0,1.0,64.01
9,EOG,2019-04-15,104.43,104.72,101.44,102.12,102.12,6091032,0.22,1.0,63.43
10,EOG,2019-04-12,102.09,106.48,101.85,105.31,105.0836,7145056,0.0,1.0,63.86
11,EOG,2019-04-11,98.38,99.76,97.66,98.73,98.5178,2640871,0.0,1.0,63.61
12,EOG,2019-04-10,99.34,100.045,98.4,98.73,98.5178,3066246,0.0,1.0,64.62
13,EOG,2019-04-09,98.79,99.59,97.39,98.57,98.3581,4005677,0.0,1.0,64.05
14,EOG,2019-04-08,99.12,100.99,98.97,99.48,99.2661,4985940,0.0,1.0,64.37
15,EOG,2019-04-05,94.45,98.76,93.94,98.63,98.418,4505548,0.0,1.0,63.1
16,EOG,2019-04-04,94.06,94.4999,92.92,93.67,93.4686,5782721,0.0,1.0,62.12
17,EOG,2019-04-03,96.65,96.65,93.78,93.93,93.7281,4351543,0.0,1.0,62.46
18,EOG,2019-04-02,97.08,97.77,96.01,96.05,95.8435,2260131,0.0,1.0,62.53
19,EOG,2019-04-01,96.19,97.15,95.575,96.94,96.7316,2634084,0.0,1.0,61.59
20,EOG,2019-03-29,96.38,96.58,94.85,95.18,94.9754,2785559,0.0,1.0,60.19
21,EOG,2019-03-28,93.81,95.47,93.72,95.24,95.0353,2768039,0.0,1.0,59.29
22,EOG,2019-03-27,94.32,95.45,93.64,94.59,94.3867,2761665,0.0,1.0,59.39
23,EOG,2019-03-26,94.45,95.99,94.27,94.77,94.5663,2394069,0.0,1.0,59.87
24,EOG,2019-03-25,93.55,94.13,91.98,92.78,92.5806,2940537,0.0,1.0,58.71
25,EOG,2019-03-22,95.75,95.95,92.78,93.68,93.4786,7873033,0.0,1.0,58.87
26,EOG,2019-03-21,95.82,97.23,94.39,96.87,96.6618,5389145,0.0,1.0,59.98
27,EOG,2019-03-20,93.05,96.61,92.82,95.89,95.6839,7928507,0.0,1.0,60.12
28,EOG,2019-03-19,92.82,93.125,92.34,92.88,92.6803,7035357,0.0,1.0,59.12
29,EOG,2019-03-18,89.02,92.19,88.815,91.92,91.7224,4197035,0.0,1.0,59.09
30,EOG,2019-03-15,89.11,90.36,88.0,88.85,88.659,8939907,0.0,1.0,58.51
31,EOG,2019-03-14,88.62,90.05,88.34,89.69,89.4972,4338879,0.0,1.0,58.59
32,EOG,2019-03-13,88.0,88.67,86.77,88.57,88.3796,6656037,0.0,1.0,58.27
33,EOG,2019-03-12,86.93,87.64,86.47,86.98,86.793,8308871,0.0,1.0,56.89
34,EOG,2019-03-11,86.77,87.87,86.14,86.26,86.0746,7699136,0.0,1.0,56.79
35,EOG,2019-03-08,89.32,89.7,86.19,86.44,86.2542,6760961,0.0,1.0,55.77
36,EOG,2019-03-07,92.07,92.1229,90.58,91.35,91.1536,3731346,0.0,1.0,56.6
37,EOG,2019-03-06,94.92,94.98,91.56,91.94,91.7424,5079169,0.0,1.0,56.22
38,EOG,2019-03-05,97.04,97.3,95.27,95.5,95.2947,3336968,0.0,1.0,56.55
39,EOG,2019-03-04,96.71,97.63,95.12,96.81,96.6019,3729106,0.0,1.0,56.6
40,EOG,2019-03-01,94.64,97.01,94.39,96.42,96.2127,5033919,0.0,1.0,55.76
41,EOG,2019-02-28,95.37,96.23,92.973,94.0,93.7979,5204722,0.0,1.0,57.21
42,EOG,2019-02-27,95.54,98.4,93.99,95.04,94.8357,6452228,0.0,1.0,56.92
43,EOG,2019-02-26,94.99,95.17,92.97,93.91,93.7081,5777555,0.0,1.0,55.4
44,EOG,2019-02-25,95.13,95.71,94.17,94.75,94.5463,6090760,0.0,1.0,55.32
45,EOG,2019-02-22,96.43,97.12,95.12,95.53,95.3246,4163755,0.0,1.0,57.01
46,EOG,2019-02-21,98.34,98.665,94.57,95.35,95.145,3836798,0.0,1.0,56.95
47,EOG,2019-02-20,99.58,99.8054,98.415,98.78,98.5677,3456312,0.0,1.0,56.9
48,EOG,2019-02-19,99.0,100.28,98.405,99.71,99.4957,2791516,0.0,1.0,56.12
49,EOG,2019-02-15,98.22,100.26,97.91,100.25,100.0345,3038628,0.0,1.0,55.58
50,EOG,2019-02-14,96.33,97.83,96.245,96.96,96.7516,2654728,0.0,1.0,54.4
51,EOG,2019-02-13,96.15,97.79,95.74,96.75,96.542,3469175,0.0,1.0,53.84
52,EOG,2019-02-12,95.78,97.12,95.2,95.63,95.4244,3072416,0.0,1.0,53.14
53,EOG,2019-02-11,91.63,94.35,91.61,94.21,94.0075,2625650,0.0,1.0,52.43
54,EOG,2019-02-08,92.67,93.27,89.94,92.5,92.3012,3072991,0.0,1.0,52.75
55,EOG,2019-02-07,95.46,95.7699,91.73,92.99,92.7901,3458969,0.0,1.0,52.68
56,EOG,2019-02-06,97.49,97.614,96.06,96.18,95.9732,2723700,0.0,1.0,53.94
57,EOG,2019-02-05,99.23,99.65,97.87,98.35,98.1386,1978101,0.0,1.0,53.69
58,EOG,2019-02-04,97.75,99.4,96.71,99.38,99.1664,1788359,0.0,1.0,54.57
59,EOG,2019-02-01,99.87,100.49,98.55,98.85,98.6375,2614650,0.0,1.0,55.29
