,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,EQT,2019-04-29,21.0,21.205,20.71,21.07,21.07,3900407,0.0,1.0,63.39
1,EQT,2019-04-26,20.4,21.38,20.14,20.99,20.99,6193809,0.0,1.0,63.29
2,EQT,2019-04-25,20.57,20.66,20.03,20.16,20.16,5075874,0.0,1.0,65.23
3,EQT,2019-04-24,21.1,21.19,20.69,20.75,20.75,4583710,0.0,1.0,65.96
4,EQT,2019-04-23,21.15,21.41,20.86,21.01,21.01,3534730,0.0,1.0,66.24
5,EQT,2019-04-22,20.59,21.08,20.32,21.05,21.05,3880413,0.0,1.0,65.66
6,EQT,2019-04-18,21.32,21.37,20.37,20.44,20.44,3926636,0.0,1.0,64.02
7,EQT,2019-04-17,21.8,21.82,20.89,21.26,21.26,3526682,0.0,1.0,63.74
8,EQT,2019-04-16,21.56,21.775,21.33,21.73,21.73,2779088,0.0,1.0,64.01
9,EQT,2019-04-15,21.17,21.75,20.93,21.58,21.58,2089503,0.0,1.0,63.43
10,EQT,2019-04-12,21.655,21.72,21.24,21.33,21.33,3125275,0.0,1.0,63.86
11,EQT,2019-04-11,21.01,21.165,20.74,20.96,20.96,2309188,0.0,1.0,63.61
12,EQT,2019-04-10,21.06,21.21,20.81,21.06,21.06,2428840,0.0,1.0,64.62
13,EQT,2019-04-09,21.45,21.595,20.83,20.93,20.93,4445757,0.0,1.0,64.05
14,EQT,2019-04-08,21.43,21.86,21.37,21.51,21.51,3530489,0.0,1.0,64.37
15,EQT,2019-04-05,20.86,21.625,20.74,21.61,21.61,2570117,0.0,1.0,63.1
16,EQT,2019-04-04,20.21,21.1985,20.0,20.89,20.89,4265280,0.0,1.0,62.12
17,EQT,2019-04-03,20.62,20.79,19.93,20.1,20.1,3224014,0.0,1.0,62.46
18,EQT,2019-04-02,20.99,21.12,20.58,20.62,20.62,3963851,0.0,1.0,62.53
19,EQT,2019-04-01,20.86,21.05,20.42,20.55,20.55,4084670,0.0,1.0,61.59
20,EQT,2019-03-29,20.82,20.9899,20.46,20.74,20.74,3980779,0.0,1.0,60.19
21,EQT,2019-03-28,20.48,20.68,20.15,20.65,20.65,3491427,0.0,1.0,59.29
22,EQT,2019-03-27,19.88,20.47,19.88,20.33,20.33,3285347,0.0,1.0,59.39
23,EQT,2019-03-26,20.09,20.49,19.91,20.13,20.13,4198883,0.0,1.0,59.87
24,EQT,2019-03-25,19.46,20.42,19.45,20.0,20.0,3909578,0.0,1.0,58.71
