,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,FANG,2019-04-29,107.49,107.8,106.13,106.9,106.9,1224808,0.0,1.0,63.39
1,FANG,2019-04-26,108.69,108.8,105.7185,107.21,107.21,1817377,0.0,1.0,63.29
2,FANG,2019-04-25,111.12,111.96,109.5,109.61,109.61,1261735,0.0,1.0,65.23
3,FANG,2019-04-24,112.36,112.97,110.23,111.04,111.04,2721763,0.0,1.0,65.96
4,FANG,2019-04-23,111.2,112.8,110.14,111.81,111.81,2130283,0.0,1.0,66.24
5,FANG,2019-04-22,108.82,111.47,108.28,111.2,111.2,2347749,0.0,1.0,65.66
6,FANG,2019-04-18,109.21,109.5,107.22,107.28,107.28,1480580,0.0,1.0,64.02
7,FANG,2019-04-17,107.87,109.47,107.13,108.24,108.24,1890514,0.0,1.0,63.74
8,FANG,2019-04-16,106.55,107.41,105.45,106.87,106.87,2224370,0.0,1.0,64.01
9,FANG,2019-04-15,106.7,108.13,105.3356,105.96,105.96,1716583,0.0,1.0,63.43
10,FANG,2019-04-12,105.0,108.09,104.5224,106.28,106.28,3828663,0.0,1.0,63.86
11,FANG,2019-04-11,103.31,103.37,99.84,99.92,99.92,3192713,0.0,1.0,63.61
12,FANG,2019-04-10,102.91,104.5,102.6,103.87,103.87,1208233,0.0,1.0,64.62
13,FANG,2019-04-09,103.79,104.08,102.22,102.84,102.84,1236694,0.0,1.0,64.05
14,FANG,2019-04-08,102.8,105.155,102.8,104.35,104.35,1577090,0.0,1.0,64.37
15,FANG,2019-04-05,100.57,102.85,100.06,102.45,102.45,1951783,0.0,1.0,63.1
16,FANG,2019-04-04,100.0,100.53,98.8,99.84,99.84,1751888,0.0,1.0,62.12
17,FANG,2019-04-03,102.99,103.45,99.52,99.96,99.96,1491956,0.0,1.0,62.46
18,FANG,2019-04-02,103.9,104.56,102.41,102.49,102.49,1209106,0.0,1.0,62.53
19,FANG,2019-04-01,102.9,104.2,102.345,103.69,103.69,1414020,0.0,1.0,61.59
20,FANG,2019-03-29,103.78,104.77,101.25,101.53,101.53,1508808,0.0,1.0,60.19
21,FANG,2019-03-28,101.52,102.8,101.0,102.54,102.54,2094603,0.0,1.0,59.29
22,FANG,2019-03-27,102.58,103.53,101.19,102.35,102.35,880399,0.0,1.0,59.39
23,FANG,2019-03-26,102.06,104.32,101.94,102.61,102.61,1352999,0.0,1.0,59.87
24,FANG,2019-03-25,101.08,101.305,99.22,100.98,100.98,1053243,0.0,1.0,58.71
25,FANG,2019-03-22,105.06,105.06,101.08,101.37,101.37,1412884,0.0,1.0,58.87
26,FANG,2019-03-21,105.04,106.36,104.36,105.91,105.91,1657657,0.0,1.0,59.98
27,FANG,2019-03-20,102.76,106.33,102.7,105.18,105.18,1531309,0.0,1.0,60.12
28,FANG,2019-03-19,104.93,105.2,102.62,103.18,103.18,1330935,0.0,1.0,59.12
29,FANG,2019-03-18,102.82,104.63,101.98,104.54,104.54,1396224,0.0,1.0,59.09
30,FANG,2019-03-15,103.27,104.0325,101.95,102.39,102.39,1755049,0.0,1.0,58.51
31,FANG,2019-03-14,103.24,106.12,103.24,104.21,104.21,2550907,0.0,1.0,58.59
32,FANG,2019-03-13,102.48,103.52,101.3362,103.42,103.42,2119162,0.0,1.0,58.27
33,FANG,2019-03-12,98.01,101.02,98.01,100.5,100.5,1920694,0.0,1.0,56.89
34,FANG,2019-03-11,96.57,97.77,96.0,97.58,97.58,1398792,0.0,1.0,56.79
35,FANG,2019-03-08,95.87,96.06,92.87,95.5,95.5,1873781,0.0,1.0,55.77
36,FANG,2019-03-07,100.27,100.66,97.7,97.76,97.76,1711091,0.0,1.0,56.6
37,FANG,2019-03-06,102.44,102.49,99.44,100.05,100.05,1680162,0.0,1.0,56.22
38,FANG,2019-03-05,105.12,105.12,102.25,102.62,102.62,1380877,0.0,1.0,56.55
39,FANG,2019-03-04,105.57,105.77,102.73,104.67,104.67,1459463,0.0,1.0,56.6
40,FANG,2019-03-01,103.21,105.94,103.21,104.79,104.79,1910642,0.0,1.0,55.76
41,FANG,2019-02-28,105.35,105.51,102.59,102.93,102.93,2404873,0.0,1.0,57.21
42,FANG,2019-02-27,106.1,108.24,105.33,105.49,105.49,1576557,0.0,1.0,56.92
43,FANG,2019-02-26,105.15,106.83,104.76,105.51,105.51,1854842,0.0,1.0,55.4
44,FANG,2019-02-25,103.39,105.38,102.85,105.29,105.29,1707600,0.0,1.0,55.32
45,FANG,2019-02-22,103.19,104.64,102.64,104.03,104.03,1874333,0.0,1.0,57.01
46,FANG,2019-02-21,105.06,106.44,101.07,102.14,102.14,2725045,0.0,1.0,56.95
47,FANG,2019-02-20,104.0,107.93,103.49,106.45,106.45,3395385,0.125,1.0,56.9
48,FANG,2019-02-19,104.51,105.8954,103.201,104.8,104.6771,2466596,0.0,1.0,56.12
49,FANG,2019-02-15,105.0,106.94,104.09,105.5,105.3763,2132395,0.0,1.0,55.58
50,FANG,2019-02-14,100.6,104.68,100.5,103.83,103.7082,1827885,0.0,1.0,54.4
51,FANG,2019-02-13,99.34,102.0,99.01,101.02,100.9015,1569215,0.0,1.0,53.84
52,FANG,2019-02-12,99.34,100.775,98.24,98.68,98.5643,1580227,0.0,1.0,53.14
53,FANG,2019-02-11,96.14,98.12,94.86,97.86,97.7452,1374165,0.0,1.0,52.43
54,FANG,2019-02-08,97.82,98.46,95.08,96.6,96.4867,1908880,0.0,1.0,52.75
55,FANG,2019-02-07,100.89,101.25,97.67,97.96,97.8451,1892682,0.0,1.0,52.68
56,FANG,2019-02-06,101.1,102.5503,99.84,101.65,101.5308,1346953,0.0,1.0,53.94
57,FANG,2019-02-05,103.93,104.16,101.66,101.88,101.7605,2340802,0.0,1.0,53.69
58,FANG,2019-02-04,102.27,104.75,100.35,104.55,104.4274,2025319,0.0,1.0,54.57
59,FANG,2019-02-01,103.4,104.42,102.32,102.89,102.7693,1274810,0.0,1.0,55.29
60,FANG,2019-01-31,102.6,104.61,101.83,103.12,102.9991,2240266,0.0,1.0,53.84
61,FANG,2019-01-30,102.24,102.54,100.08,102.26,102.1401,1287597,0.0,1.0,54.18
62,FANG,2019-01-29,101.19,101.82,99.68,100.16,100.0425,1505172,0.0,1.0,53.07
63,FANG,2019-01-28,100.79,101.278,99.24,100.3,100.1824,1631871,0.0,1.0,51.79
64,FANG,2019-01-25,102.11,103.22,101.43,102.21,102.0901,2364324,0.0,1.0,53.53
65,FANG,2019-01-24,101.4,102.98,100.99,101.56,101.4409,2267464,0.0,1.0,52.94
66,FANG,2019-01-23,102.69,103.19,100.01,101.33,101.2112,1464947,0.0,1.0,52.44
67,FANG,2019-01-22,105.58,105.92,101.21,101.46,101.341,2429787,0.0,1.0,52.59
68,FANG,2019-01-18,106.88,107.06,105.4,106.89,106.7646,1645744,0.0,1.0,53.6
69,FANG,2019-01-17,104.55,106.49,104.12,105.65,105.5261,1259736,0.0,1.0,51.83
