,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,GPOR,2019-04-29,6.64,6.74,6.59,6.67,6.67,2287700,0.0,1.0,63.39
1,GPOR,2019-04-26,6.63,6.8,6.54,6.67,6.67,3767245,0.0,1.0,63.29
2,GPOR,2019-04-25,6.94,7.0,6.7,6.7,6.7,3726857,0.0,1.0,65.23
3,GPOR,2019-04-24,7.13,7.18,6.83,6.87,6.87,2905733,0.0,1.0,65.96
4,GPOR,2019-04-23,7.02,7.285,6.94,7.14,7.14,3524181,0.0,1.0,66.24
5,GPOR,2019-04-22,6.71,7.12,6.66,7.09,7.09,3803748,0.0,1.0,65.66
6,GPOR,2019-04-18,7.04,7.145,6.66,6.69,6.69,7434868,0.0,1.0,64.02
7,GPOR,2019-04-17,7.45,7.49,7.16,7.19,7.19,3369428,0.0,1.0,63.74
8,GPOR,2019-04-16,7.46,7.53,7.31,7.43,7.43,3312365,0.0,1.0,64.01
9,GPOR,2019-04-15,7.69,7.855,7.49,7.5,7.5,3673936,0.0,1.0,63.43
10,GPOR,2019-04-12,7.86,7.945,7.69,7.74,7.74,3797938,0.0,1.0,63.86
11,GPOR,2019-04-11,7.75,7.78,7.54,7.59,7.59,4402055,0.0,1.0,63.61
12,GPOR,2019-04-10,7.87,7.92,7.7,7.79,7.79,3032593,0.0,1.0,64.62
13,GPOR,2019-04-09,7.91,7.97,7.585,7.82,7.82,3421950,0.0,1.0,64.05
14,GPOR,2019-04-08,7.95,8.12,7.805,7.95,7.95,2717297,0.0,1.0,64.37
15,GPOR,2019-04-05,7.7,7.91,7.64,7.86,7.86,3401695,0.0,1.0,63.1
16,GPOR,2019-04-04,7.6,7.77,7.47,7.75,7.75,5007121,0.0,1.0,62.12
17,GPOR,2019-04-03,8.08,8.09,7.4599,7.46,7.46,4684412,0.0,1.0,62.46
18,GPOR,2019-04-02,8.08,8.11,7.93,7.99,7.99,2418696,0.0,1.0,62.53
19,GPOR,2019-04-01,8.12,8.125,7.96,8.0,8.0,2285603,0.0,1.0,61.59
20,GPOR,2019-03-29,8.16,8.24,8.0,8.02,8.02,3175867,0.0,1.0,60.19
21,GPOR,2019-03-28,7.94,8.06,7.82,8.05,8.05,2372326,0.0,1.0,59.29
22,GPOR,2019-03-27,7.86,8.04,7.5701,7.99,7.99,3926054,0.0,1.0,59.39
23,GPOR,2019-03-26,7.93,8.15,7.85,7.88,7.88,4095319,0.0,1.0,59.87
24,GPOR,2019-03-25,7.57,7.97,7.49,7.83,7.83,4050353,0.0,1.0,58.71
25,GPOR,2019-03-22,7.81,7.86,7.385,7.63,7.63,5352156,0.0,1.0,58.87
26,GPOR,2019-03-21,7.7,7.97,7.7,7.9,7.9,3672511,0.0,1.0,59.98
27,GPOR,2019-03-20,7.45,7.89,7.42,7.7,7.7,2584857,0.0,1.0,60.12
28,GPOR,2019-03-19,7.72,7.72,7.47,7.49,7.49,2442304,0.0,1.0,59.12
29,GPOR,2019-03-18,7.38,7.64,7.37,7.63,7.63,2987500,0.0,1.0,59.09
