,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,JAG,2019-04-29,10.84,10.87,10.58,10.62,10.62,566893,0.0,1.0,63.39
1,JAG,2019-04-26,10.71,10.99,10.6,10.84,10.84,878349,0.0,1.0,63.29
2,JAG,2019-04-25,11.09,11.25,10.91,11.03,11.03,890900,0.0,1.0,65.23
3,JAG,2019-04-24,11.08,11.185,10.83,11.07,11.07,1243689,0.0,1.0,65.96
4,JAG,2019-04-23,11.25,11.3,11.03,11.06,11.06,702630,0.0,1.0,66.24
5,JAG,2019-04-22,11.05,11.23,10.92,11.21,11.21,1471798,0.0,1.0,65.66
6,JAG,2019-04-18,10.98,11.05,10.9,10.93,10.93,615771,0.0,1.0,64.02
7,JAG,2019-04-17,11.05,11.055,10.94,10.97,10.97,962310,0.0,1.0,63.74
8,JAG,2019-04-16,11.0,11.07,10.86,10.96,10.96,871513,0.0,1.0,64.01
9,JAG,2019-04-15,10.71,11.03,10.6,10.96,10.96,1332945,0.0,1.0,63.43
10,JAG,2019-04-12,10.87,11.25,10.87,10.98,10.98,1780057,0.0,1.0,63.86
11,JAG,2019-04-11,10.83,10.86,10.47,10.48,10.48,926370,0.0,1.0,63.61
12,JAG,2019-04-10,10.9,10.98,10.74,10.87,10.87,1721808,0.0,1.0,64.62
13,JAG,2019-04-09,11.12,11.16,10.795,10.81,10.81,878922,0.0,1.0,64.05
14,JAG,2019-04-08,11.1,11.325,11.03,11.18,11.18,1128602,0.0,1.0,64.37
15,JAG,2019-04-05,10.93,11.145,10.8,11.1,11.1,2152124,0.0,1.0,63.1
16,JAG,2019-04-04,10.44,10.86,10.37,10.86,10.86,1160658,0.0,1.0,62.12
17,JAG,2019-04-03,10.81,10.84,10.34,10.42,10.42,1091712,0.0,1.0,62.46
18,JAG,2019-04-02,10.8,10.93,10.67,10.79,10.79,1466619,0.0,1.0,62.53
19,JAG,2019-04-01,10.56,10.68,10.41,10.67,10.67,970416,0.0,1.0,61.59
