,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,LPI,2019-04-29,3.18,3.215,3.12,3.12,3.12,2424614,0.0,1.0,63.39
1,LPI,2019-04-26,3.26,3.2662,3.13,3.18,3.18,6997013,0.0,1.0,63.29
2,LPI,2019-04-25,3.29,3.37,3.25,3.3,3.3,5600803,0.0,1.0,65.23
3,LPI,2019-04-24,3.35,3.35,3.275,3.29,3.29,5007863,0.0,1.0,65.96
4,LPI,2019-04-23,3.34,3.43,3.315,3.35,3.35,4578970,0.0,1.0,66.24
5,LPI,2019-04-22,3.21,3.35,3.14,3.33,3.33,8760129,0.0,1.0,65.66
6,LPI,2019-04-18,3.14,3.25,3.13,3.14,3.14,4779541,0.0,1.0,64.02
7,LPI,2019-04-17,3.2,3.26,3.11,3.14,3.14,3252025,0.0,1.0,63.74
8,LPI,2019-04-16,3.21,3.22,3.14,3.17,3.17,3977290,0.0,1.0,64.01
9,LPI,2019-04-15,3.21,3.25,3.14,3.14,3.14,3673001,0.0,1.0,63.43
10,LPI,2019-04-12,3.21,3.31,3.1,3.2,3.2,7550223,0.0,1.0,63.86
11,LPI,2019-04-11,3.19,3.32,3.08,3.11,3.11,3880033,0.0,1.0,63.61
12,LPI,2019-04-10,3.2,3.26,3.13,3.24,3.24,4136751,0.0,1.0,64.62
13,LPI,2019-04-09,3.35,3.37,3.15,3.17,3.17,8871035,0.0,1.0,64.05
14,LPI,2019-04-08,2.96,3.38,2.96,3.26,3.26,13169991,0.0,1.0,64.37
15,LPI,2019-04-05,2.84,2.95,2.83,2.94,2.94,6703966,0.0,1.0,63.1
16,LPI,2019-04-04,2.83,2.91,2.8,2.83,2.83,7352633,0.0,1.0,62.12
17,LPI,2019-04-03,3.05,3.09,2.83,2.84,2.84,6062814,0.0,1.0,62.46
18,LPI,2019-04-02,3.16,3.19,3.02,3.04,3.04,4694912,0.0,1.0,62.53
19,LPI,2019-04-01,3.14,3.24,3.11,3.16,3.16,3947123,0.0,1.0,61.59
20,LPI,2019-03-29,3.15,3.16,3.07,3.09,3.09,4856950,0.0,1.0,60.19
21,LPI,2019-03-28,3.06,3.13,3.01,3.1,3.1,5292129,0.0,1.0,59.29
22,LPI,2019-03-27,3.09,3.15,3.05,3.1,3.1,5016479,0.0,1.0,59.39
23,LPI,2019-03-26,3.15,3.21,3.07,3.1,3.1,5237124,0.0,1.0,59.87
24,LPI,2019-03-25,3.09,3.16,2.99,3.11,3.11,5501733,0.0,1.0,58.71
25,LPI,2019-03-22,3.26,3.35,3.1,3.11,3.11,7105011,0.0,1.0,58.87
26,LPI,2019-03-21,3.3,3.3869,3.255,3.33,3.33,3973459,0.0,1.0,59.98
27,LPI,2019-03-20,3.07,3.34,3.045,3.28,3.28,6759837,0.0,1.0,60.12
28,LPI,2019-03-19,3.1,3.24,3.05,3.08,3.08,6910970,0.0,1.0,59.12
29,LPI,2019-03-18,2.84,3.09,2.82,3.05,3.05,8848396,0.0,1.0,59.09
30,LPI,2019-03-15,3.05,3.06,2.82,2.83,2.83,15887375,0.0,1.0,58.51
31,LPI,2019-03-14,3.09,3.125,3.03,3.07,3.07,5850405,0.0,1.0,58.59
32,LPI,2019-03-13,3.12,3.18,3.04,3.08,3.08,7486132,0.0,1.0,58.27
33,LPI,2019-03-12,3.0,3.215,2.99,3.08,3.08,6400488,0.0,1.0,56.89
34,LPI,2019-03-11,3.01,3.04,2.93,2.95,2.95,4482575,0.0,1.0,56.79
35,LPI,2019-03-08,3.05,3.06,2.8,2.96,2.96,6912971,0.0,1.0,55.77
36,LPI,2019-03-07,3.32,3.34,3.08,3.12,3.12,4090750,0.0,1.0,56.6
37,LPI,2019-03-06,3.32,3.35,3.23,3.28,3.28,4781312,0.0,1.0,56.22
38,LPI,2019-03-05,3.44,3.49,3.33,3.36,3.36,2979022,0.0,1.0,56.55
39,LPI,2019-03-04,3.46,3.52,3.32,3.43,3.43,4195846,0.0,1.0,56.6
40,LPI,2019-03-01,3.46,3.56,3.335,3.43,3.43,6394103,0.0,1.0,55.76
41,LPI,2019-02-28,3.5,3.5,3.38,3.43,3.43,4686821,0.0,1.0,57.21
42,LPI,2019-02-27,3.55,3.57,3.43,3.48,3.48,5571074,0.0,1.0,56.92
43,LPI,2019-02-26,3.58,3.61,3.31,3.5,3.5,6835868,0.0,1.0,55.4
44,LPI,2019-02-25,3.59,3.64,3.53,3.59,3.59,3475656,0.0,1.0,55.32
45,LPI,2019-02-22,3.65,3.75,3.58,3.62,3.62,3145689,0.0,1.0,57.01
46,LPI,2019-02-21,3.81,3.81,3.53,3.59,3.59,7330182,0.0,1.0,56.95
47,LPI,2019-02-20,3.79,3.88,3.78,3.82,3.82,5077778,0.0,1.0,56.9
48,LPI,2019-02-19,3.81,3.88,3.729,3.76,3.76,4325758,0.0,1.0,56.12
49,LPI,2019-02-15,3.82,3.88,3.73,3.86,3.86,4563290,0.0,1.0,55.58
50,LPI,2019-02-14,3.53,3.9,3.53,3.85,3.85,12124857,0.0,1.0,54.4
51,LPI,2019-02-13,3.69,3.86,3.6447,3.79,3.79,6928225,0.0,1.0,53.84
52,LPI,2019-02-12,3.75,3.94,3.58,3.63,3.63,5865823,0.0,1.0,53.14
53,LPI,2019-02-11,3.37,3.71,3.3,3.7,3.7,5313934,0.0,1.0,52.43
54,LPI,2019-02-08,3.43,3.47,3.2,3.44,3.44,5556941,0.0,1.0,52.75
55,LPI,2019-02-07,3.74,3.755,3.39,3.46,3.46,4139778,0.0,1.0,52.68
56,LPI,2019-02-06,3.82,3.96,3.76,3.77,3.77,3046520,0.0,1.0,53.94
57,LPI,2019-02-05,3.95,3.99,3.8,3.83,3.83,2106372,0.0,1.0,53.69
58,LPI,2019-02-04,3.86,3.95,3.78,3.95,3.95,2090896,0.0,1.0,54.57
59,LPI,2019-02-01,3.87,3.94,3.81,3.9,3.9,2328910,0.0,1.0,55.29
60,LPI,2019-01-31,3.86,3.92,3.76,3.8,3.8,2809607,0.0,1.0,53.84
61,LPI,2019-01-30,3.69,3.86,3.625,3.86,3.86,3088240,0.0,1.0,54.18
62,LPI,2019-01-29,3.63,3.7,3.55,3.65,3.65,2505599,0.0,1.0,53.07
63,LPI,2019-01-28,3.6,3.67,3.5,3.6,3.6,3571026,0.0,1.0,51.79
64,LPI,2019-01-25,3.68,3.74,3.585,3.69,3.69,4707689,0.0,1.0,53.53
65,LPI,2019-01-24,3.53,3.67,3.49,3.62,3.62,1973104,0.0,1.0,52.94
66,LPI,2019-01-23,3.64,3.68,3.495,3.53,3.53,4558660,0.0,1.0,52.44
67,LPI,2019-01-22,3.81,3.84,3.56,3.58,3.58,5748820,0.0,1.0,52.59
68,LPI,2019-01-18,3.78,3.93,3.68,3.9,3.9,6595862,0.0,1.0,53.6
69,LPI,2019-01-17,3.95,4.0,3.68,3.72,3.72,5876945,0.0,1.0,51.83
70,LPI,2019-01-16,3.98,4.1,3.93,3.98,3.98,4605723,0.0,1.0,52.08
71,LPI,2019-01-15,4.08,4.13,3.94,4.0,4.0,4984953,0.0,1.0,51.8
72,LPI,2019-01-14,3.94,4.11,3.935,4.03,4.03,2867321,0.0,1.0,50.31
73,LPI,2019-01-11,4.1,4.19,3.94,4.01,4.01,4801987,0.0,1.0,51.44
74,LPI,2019-01-10,4.14,4.19,4.04,4.18,4.18,3494410,0.0,1.0,52.42
75,LPI,2019-01-09,4.21,4.3,4.1,4.19,4.19,4177018,0.0,1.0,52.19
76,LPI,2019-01-08,4.17,4.22,4.0,4.17,4.17,5683021,0.0,1.0,49.58
77,LPI,2019-01-07,4.0,4.185,3.86,4.12,4.12,4998886,0.0,1.0,48.27
78,LPI,2019-01-04,3.76,4.04,3.73,3.99,3.99,4281164,0.0,1.0,47.76
79,LPI,2019-01-03,3.74,3.755,3.49,3.66,3.66,5041956,0.0,1.0,46.92
80,LPI,2019-01-02,3.32,3.74,3.3,3.74,3.74,4350679,0.0,1.0,46.31
81,LPI,2018-12-28,3.75,3.84,3.515,3.61,3.61,4025898,0.0,1.0,45.15
82,LPI,2018-12-27,3.55,3.74,3.51,3.72,3.72,4541273,0.0,1.0,44.48
83,LPI,2018-12-26,3.04,3.67,3.0,3.65,3.65,6732937,0.0,1.0,46.04
84,LPI,2018-12-21,3.41,3.535,3.24,3.31,3.31,12516057,0.0,1.0,45.38
85,LPI,2018-12-20,3.4,3.56,3.28,3.4,3.4,5474450,0.0,1.0,45.64
86,LPI,2018-12-19,3.71,3.77,3.4,3.44,3.44,6418376,0.0,1.0,47.96
87,LPI,2018-12-18,3.87,3.925,3.73,3.76,3.76,3995931,0.0,1.0,46.12
88,LPI,2018-12-17,3.93,4.0854,3.81,3.87,3.87,4438547,0.0,1.0,49.8
89,LPI,2018-12-14,4.18,4.21,3.865,3.95,3.95,4521733,0.0,1.0,51.26
90,LPI,2018-12-13,4.23,4.265,4.125,4.23,4.23,3439595,0.0,1.0,52.69
91,LPI,2018-12-12,4.28,4.467,4.24,4.25,4.25,2511318,0.0,1.0,51.04
92,LPI,2018-12-11,4.3,4.36,4.11,4.2,4.2,3034546,0.0,1.0,51.65
93,LPI,2018-12-10,4.47,4.5,4.17,4.21,4.21,3556477,0.0,1.0,51.07
94,LPI,2018-12-07,4.61,4.75,4.51,4.56,4.56,2228470,0.0,1.0,52.76
95,LPI,2018-12-06,4.61,4.62,4.24,4.43,4.43,4878135,0.0,1.0,51.54
96,LPI,2018-12-04,5.1,5.13,4.72,4.75,4.75,5714158,0.0,1.0,53.21
97,LPI,2018-12-03,4.55,5.13,4.54,5.13,5.13,8650768,0.0,1.0,52.98
98,LPI,2018-11-30,4.47,4.63,4.35,4.37,4.37,5158319,0.0,1.0,50.78
99,LPI,2018-11-29,4.73,4.745,4.49,4.52,4.52,6097276,0.0,1.0,51.46
100,LPI,2018-11-28,4.78,4.83,4.555,4.71,4.71,6725654,0.0,1.0,50.06
101,LPI,2018-11-27,5.05,5.08,4.745,4.78,4.78,5123974,0.0,1.0,51.31
102,LPI,2018-11-26,5.07,5.255,4.985,5.07,5.07,5514029,0.0,1.0,51.46
103,LPI,2018-11-21,5.03,5.32,5.02,5.09,5.09,4599838,0.0,1.0,54.41
104,LPI,2018-11-20,5.03,5.23,4.83,4.97,4.97,6266689,0.0,1.0,53.39
105,LPI,2018-11-19,5.16,5.27,5.115,5.16,5.16,4115012,0.0,1.0,57.16
106,LPI,2018-11-16,5.24,5.31,5.11,5.27,5.27,6035189,0.0,1.0,56.49
107,LPI,2018-11-15,5.24,5.33,5.1,5.24,5.24,8193979,0.0,1.0,56.45
108,LPI,2018-11-14,5.07,5.44,5.0351,5.29,5.29,9160020,0.0,1.0,56.16
109,LPI,2018-11-13,5.29,5.395,4.795,4.93,4.93,9593656,0.0,1.0,55.63
110,LPI,2018-11-12,5.69,5.83,5.29,5.3,5.3,5950123,0.0,1.0,59.85
111,LPI,2018-11-09,5.74,5.845,5.49,5.6,5.6,5585738,0.0,1.0,60.19
112,LPI,2018-11-08,5.77,5.98,5.74,5.85,5.85,4862061,0.0,1.0,60.71
113,LPI,2018-11-07,5.82,5.98,5.62,5.81,5.81,4744278,0.0,1.0,61.69
114,LPI,2018-11-06,5.3,5.98,5.23,5.69,5.69,10299454,0.0,1.0,62.16
115,LPI,2018-11-05,5.38,5.525,5.37,5.46,5.46,3737355,0.0,1.0,63.12
116,LPI,2018-11-02,5.61,5.65,5.2,5.29,5.29,5378416,0.0,1.0,63.12
117,LPI,2018-11-01,5.3,5.77,5.3,5.57,5.57,7011694,0.0,1.0,63.67
118,LPI,2018-10-31,5.4,5.45,5.23,5.24,5.24,5247279,0.0,1.0,65.31
119,LPI,2018-10-30,4.84,5.41,4.82,5.31,5.31,7939150,0.0,1.0,66.18
120,LPI,2018-10-29,5.14,5.25,4.84,4.92,4.92,5956306,0.0,1.0,67.0
121,LPI,2018-10-26,5.3,5.32,5.045,5.15,5.15,6539107,0.0,1.0,67.58
122,LPI,2018-10-25,5.48,5.59,5.255,5.37,5.37,10949005,0.0,1.0,67.25
123,LPI,2018-10-24,5.78,5.8,5.38,5.39,5.39,6127762,0.0,1.0,66.56
124,LPI,2018-10-23,5.87,6.0,5.74,5.76,5.76,7919129,0.0,1.0,66.49
125,LPI,2018-10-22,6.04,6.0901,5.875,6.03,6.03,3522222,0.0,1.0,69.25
126,LPI,2018-10-19,6.04,6.21,6.02,6.05,6.05,4751850,0.0,1.0,69.16
127,LPI,2018-10-18,6.21,6.21,5.975,6.05,6.05,6142350,0.0,1.0,68.63
128,LPI,2018-10-17,6.5,6.52,6.01,6.3,6.3,8201896,0.0,1.0,69.63
129,LPI,2018-10-16,6.59,6.62,6.39,6.53,6.53,5296617,0.0,1.0,71.93
130,LPI,2018-10-15,6.48,6.58,6.315,6.57,6.57,5760279,0.0,1.0,71.84
131,LPI,2018-10-12,6.7,6.74,6.36,6.48,6.48,6225032,0.0,1.0,71.41
132,LPI,2018-10-11,6.69,6.835,6.475,6.56,6.56,7126582,0.0,1.0,70.97
133,LPI,2018-10-10,7.15,7.15,6.79,6.79,6.79,7370925,0.0,1.0,73.18
134,LPI,2018-10-09,7.25,7.42,7.1,7.17,7.17,5962476,0.0,1.0,74.95
135,LPI,2018-10-08,7.13,7.19,6.985,7.18,7.18,6245783,0.0,1.0,74.27
136,LPI,2018-10-05,7.56,7.59,7.2,7.26,7.26,7052064,0.0,1.0,74.26
137,LPI,2018-10-04,7.78,8.02,7.53,7.57,7.57,5037656,0.0,1.0,74.44
