,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,MDU,2019-04-29,25.45,25.61,25.26,25.46,25.46,751645,0.0,1.0,63.39
1,MDU,2019-04-26,25.68,25.78,25.4401,25.58,25.58,1379983,0.0,1.0,63.29
2,MDU,2019-04-25,25.44,25.84,25.36,25.5,25.5,881797,0.0,1.0,65.23
3,MDU,2019-04-24,25.69,25.75,25.5,25.61,25.61,904044,0.0,1.0,65.96
4,MDU,2019-04-23,25.45,25.68,25.35,25.57,25.57,1437774,0.0,1.0,66.24
5,MDU,2019-04-22,25.56,25.64,25.25,25.41,25.41,1501658,0.0,1.0,65.66
6,MDU,2019-04-18,25.41,25.755,25.385,25.59,25.59,1235120,0.0,1.0,64.02
7,MDU,2019-04-17,25.58,25.64,25.32,25.36,25.36,1310995,0.0,1.0,63.74
8,MDU,2019-04-16,25.75,25.86,25.46,25.58,25.58,492733,0.0,1.0,64.01
9,MDU,2019-04-15,25.8,25.96,25.69,25.75,25.75,585046,0.0,1.0,63.43
10,MDU,2019-04-12,25.71,25.83,25.56,25.79,25.79,523912,0.0,1.0,63.86
11,MDU,2019-04-11,25.7,25.805,25.58,25.75,25.75,599262,0.0,1.0,63.61
12,MDU,2019-04-10,25.82,26.01,25.62,25.64,25.64,590891,0.0,1.0,64.62
13,MDU,2019-04-09,25.93,25.96,25.715,25.74,25.74,732669,0.0,1.0,64.05
14,MDU,2019-04-08,26.19,26.34,25.87,26.01,26.01,490577,0.0,1.0,64.37
15,MDU,2019-04-05,26.0,26.245,25.82,26.24,26.24,813388,0.0,1.0,63.1
16,MDU,2019-04-04,25.8,25.93,25.675,25.93,25.93,636326,0.0,1.0,62.12
17,MDU,2019-04-03,25.61,25.82,25.5809,25.68,25.68,727899,0.0,1.0,62.46
18,MDU,2019-04-02,26.06,26.07,25.63,25.68,25.68,979617,0.0,1.0,62.53
19,MDU,2019-04-01,25.85,26.04,25.7,26.0,26.0,659783,0.0,1.0,61.59
20,MDU,2019-03-29,25.67,25.89,25.55,25.83,25.83,837181,0.0,1.0,60.19
21,MDU,2019-03-28,25.69,25.82,25.505,25.58,25.58,1021675,0.0,1.0,59.29
22,MDU,2019-03-27,25.7,25.81,25.555,25.69,25.69,828716,0.0,1.0,59.39
23,MDU,2019-03-26,25.55,25.87,25.5301,25.75,25.75,1165106,0.0,1.0,59.87
24,MDU,2019-03-25,25.29,25.56,25.19,25.5,25.5,1724891,0.0,1.0,58.71
25,MDU,2019-03-22,25.55,25.62,25.295,25.35,25.35,876384,0.0,1.0,58.87
26,MDU,2019-03-21,25.12,25.56,25.04,25.45,25.45,701710,0.0,1.0,59.98
27,MDU,2019-03-20,25.47,25.5,25.14,25.19,25.19,951726,0.0,1.0,60.12
28,MDU,2019-03-19,25.81,25.81,25.4,25.41,25.41,993232,0.0,1.0,59.12
29,MDU,2019-03-18,25.75,25.85,25.67,25.79,25.79,1101170,0.0,1.0,59.09
30,MDU,2019-03-15,25.7,25.88,25.66,25.75,25.75,2290529,0.0,1.0,58.51
31,MDU,2019-03-14,25.75,25.9,25.57,25.69,25.69,844212,0.0,1.0,58.59
32,MDU,2019-03-13,26.21,26.235,25.28,25.74,25.74,1936983,0.2025,1.0,58.27
33,MDU,2019-03-12,26.44,26.5,26.31,26.47,26.2634,1211543,0.0,1.0,56.89
34,MDU,2019-03-11,26.06,26.425,25.99,26.41,26.2039,1381316,0.0,1.0,56.79
35,MDU,2019-03-08,26.41,26.41,25.91,26.0,25.7971,1127595,0.0,1.0,55.77
36,MDU,2019-03-07,26.34,26.54,26.2,26.34,26.1344,885330,0.0,1.0,56.6
37,MDU,2019-03-06,26.46,26.48,26.23,26.24,26.0352,1005807,0.0,1.0,56.22
38,MDU,2019-03-05,26.62,26.6752,26.38,26.41,26.2039,677760,0.0,1.0,56.55
