,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,MRO,2019-04-29,17.35,17.39,17.105,17.15,17.15,8335693,0.0,1.0,63.39
1,MRO,2019-04-26,17.75,17.76,17.13,17.38,17.38,10651664,0.0,1.0,63.29
2,MRO,2019-04-25,18.16,18.35,17.92,17.93,17.93,10285733,0.0,1.0,65.23
3,MRO,2019-04-24,18.87,18.89,18.11,18.15,18.15,12950174,0.0,1.0,65.96
4,MRO,2019-04-23,18.81,18.93,18.535,18.68,18.68,12840774,0.0,1.0,66.24
5,MRO,2019-04-22,17.93,18.83,17.89,18.78,18.78,19197174,0.0,1.0,65.66
6,MRO,2019-04-18,17.74,17.8,17.5005,17.62,17.62,9068989,0.0,1.0,64.02
7,MRO,2019-04-17,17.58,17.82,17.55,17.74,17.74,11885652,0.0,1.0,63.74
8,MRO,2019-04-16,17.57,17.585,17.245,17.47,17.47,11139270,0.0,1.0,64.01
9,MRO,2019-04-15,17.67,17.75,17.35,17.38,17.38,8834465,0.0,1.0,63.43
10,MRO,2019-04-12,17.81,17.94,17.61,17.76,17.76,11850756,0.0,1.0,63.86
11,MRO,2019-04-11,17.31,17.535,17.0648,17.19,17.19,9147835,0.0,1.0,63.61
12,MRO,2019-04-10,17.4,17.49,17.2,17.45,17.45,8858174,0.0,1.0,64.62
13,MRO,2019-04-09,17.49,17.51,17.185,17.26,17.26,8182579,0.0,1.0,64.05
14,MRO,2019-04-08,17.77,17.875,17.49,17.6,17.6,9828418,0.0,1.0,64.37
15,MRO,2019-04-05,17.17,17.72,17.17,17.7,17.7,9184797,0.0,1.0,63.1
16,MRO,2019-04-04,16.97,17.19,16.79,17.14,17.14,6670661,0.0,1.0,62.12
17,MRO,2019-04-03,17.26,17.42,16.83,16.93,16.93,11452255,0.0,1.0,62.46
18,MRO,2019-04-02,17.39,17.68,17.1,17.13,17.13,11499566,0.0,1.0,62.53
19,MRO,2019-04-01,16.9,17.4,16.82,17.39,17.39,14543366,0.0,1.0,61.59
20,MRO,2019-03-29,17.07,17.13,16.67,16.71,16.71,9442604,0.0,1.0,60.19
21,MRO,2019-03-28,16.88,16.97,16.645,16.82,16.82,14927697,0.0,1.0,59.29
22,MRO,2019-03-27,17.13,17.24,16.92,17.06,17.06,7851445,0.0,1.0,59.39
23,MRO,2019-03-26,16.92,17.33,16.92,17.11,17.11,14592981,0.0,1.0,59.87
24,MRO,2019-03-25,16.59,16.81,16.42,16.71,16.71,11803835,0.0,1.0,58.71
25,MRO,2019-03-22,17.52,17.58,16.56,16.68,16.68,16337484,0.0,1.0,58.87
26,MRO,2019-03-21,17.57,17.77,17.3,17.69,17.69,12806802,0.0,1.0,59.98
27,MRO,2019-03-20,17.078,17.79,17.02,17.6,17.6,13052110,0.0,1.0,60.12
28,MRO,2019-03-19,17.53,17.54,17.035,17.12,17.12,9457735,0.0,1.0,59.12
29,MRO,2019-03-18,17.38,17.52,17.26,17.39,17.39,10376151,0.0,1.0,59.09
30,MRO,2019-03-15,17.13,17.43,17.09,17.27,17.27,12215336,0.0,1.0,58.51
31,MRO,2019-03-14,17.32,17.415,17.245,17.26,17.26,9602659,0.0,1.0,58.59
32,MRO,2019-03-13,17.17,17.36,17.035,17.32,17.32,9722456,0.0,1.0,58.27
33,MRO,2019-03-12,16.65,16.93,16.63,16.9,16.9,8681382,0.0,1.0,56.89
34,MRO,2019-03-11,16.44,16.63,16.2,16.57,16.57,10014488,0.0,1.0,56.79
35,MRO,2019-03-08,16.44,16.44,16.03,16.27,16.27,13041621,0.0,1.0,55.77
36,MRO,2019-03-07,16.92,17.05,16.735,16.86,16.86,11165805,0.0,1.0,56.6
37,MRO,2019-03-06,17.16,17.19,16.75,16.86,16.86,10385885,0.0,1.0,56.22
38,MRO,2019-03-05,17.47,17.475,17.15,17.27,17.27,9931486,0.0,1.0,56.55
39,MRO,2019-03-04,17.17,17.39,17.0,17.28,17.28,11720472,0.0,1.0,56.6
40,MRO,2019-03-01,16.68,17.12,16.68,17.08,17.08,11559910,0.0,1.0,55.76
41,MRO,2019-02-28,16.85,16.85,16.46,16.6,16.6,13445073,0.0,1.0,57.21
42,MRO,2019-02-27,16.63,17.08,16.51,16.79,16.79,9759438,0.0,1.0,56.92
43,MRO,2019-02-26,16.63,16.83,16.5,16.52,16.52,10659681,0.0,1.0,55.4
44,MRO,2019-02-25,16.71,16.9,16.65,16.67,16.67,13679919,0.0,1.0,55.32
45,MRO,2019-02-22,16.85,17.03,16.58,16.89,16.89,12132340,0.0,1.0,57.01
46,MRO,2019-02-21,17.05,17.13,16.61,16.68,16.68,10405080,0.0,1.0,56.95
47,MRO,2019-02-20,17.02,17.33,16.9601,17.08,17.08,14394690,0.0,1.0,56.9
48,MRO,2019-02-19,16.89,17.18,16.845,17.03,17.03,11336295,0.05,1.0,56.12
49,MRO,2019-02-15,17.1,17.25,16.94,17.08,17.03,16683487,0.0,1.0,55.58
50,MRO,2019-02-14,15.8,17.29,15.65,16.91,16.8605,35969990,0.0,1.0,54.4
51,MRO,2019-02-13,15.57,15.88,15.39,15.55,15.5045,25621097,0.0,1.0,53.84
52,MRO,2019-02-12,15.63,15.77,15.395,15.45,15.4048,13141519,0.0,1.0,53.14
53,MRO,2019-02-11,14.94,15.36,14.9005,15.27,15.2253,11886028,0.0,1.0,52.43
54,MRO,2019-02-08,15.27,15.32,14.83,15.13,15.0857,11329940,0.0,1.0,52.75
55,MRO,2019-02-07,15.76,15.83,15.18,15.27,15.2253,13165628,0.0,1.0,52.68
56,MRO,2019-02-06,15.8,16.08,15.73,15.91,15.8634,9737308,0.0,1.0,53.94
57,MRO,2019-02-05,16.08,16.195,15.87,15.94,15.8933,7258778,0.0,1.0,53.69
58,MRO,2019-02-04,15.84,16.25,15.835,16.15,16.1027,13278864,0.0,1.0,54.57
59,MRO,2019-02-01,15.88,16.24,15.81,16.0,15.9532,12970321,0.0,1.0,55.29
60,MRO,2019-01-31,16.03,16.1,15.59,15.79,15.7438,12572488,0.0,1.0,53.84
61,MRO,2019-01-30,16.07,16.17,15.84,16.02,15.9731,9960579,0.0,1.0,54.18
62,MRO,2019-01-29,16.01,16.1,15.865,15.91,15.8634,8009899,0.0,1.0,53.07
63,MRO,2019-01-28,15.6,15.84,15.51,15.83,15.7837,7330965,0.0,1.0,51.79
64,MRO,2019-01-25,15.94,16.14,15.88,15.9,15.8535,9403828,0.0,1.0,53.53
