,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,MTDR,2019-04-29,19.62,19.93,19.345,19.78,19.78,1470747,0.0,1.0,63.39
1,MTDR,2019-04-26,20.4,20.45,19.45,19.72,19.72,2245561,0.0,1.0,63.29
2,MTDR,2019-04-25,21.2,21.37,20.72,20.73,20.73,1418447,0.0,1.0,65.23
3,MTDR,2019-04-24,22.0,22.01,21.19,21.2,21.2,1594620,0.0,1.0,65.96
4,MTDR,2019-04-23,21.78,22.25,21.39,21.8,21.8,1741047,0.0,1.0,66.24
5,MTDR,2019-04-22,21.2,21.925,20.93,21.89,21.89,2105053,0.0,1.0,65.66
6,MTDR,2019-04-18,20.85,21.07,20.7,20.82,20.82,1523114,0.0,1.0,64.02
7,MTDR,2019-04-17,21.25,21.3,20.755,20.93,20.93,1458213,0.0,1.0,63.74
8,MTDR,2019-04-16,20.95,21.2,20.59,21.05,21.05,1503003,0.0,1.0,64.01
9,MTDR,2019-04-15,20.78,21.055,20.4999,20.82,20.82,2207354,0.0,1.0,63.43
10,MTDR,2019-04-12,20.5,21.0,20.405,20.95,20.95,3636681,0.0,1.0,63.86
11,MTDR,2019-04-11,20.07,20.18,18.75,19.42,19.42,3460582,0.0,1.0,63.61
12,MTDR,2019-04-10,20.22,20.35,19.85,20.28,20.28,1947427,0.0,1.0,64.62
13,MTDR,2019-04-09,19.92,20.32,19.61,19.95,19.95,3005577,0.0,1.0,64.05
14,MTDR,2019-04-08,19.64,20.38,19.64,19.94,19.94,2536897,0.0,1.0,64.37
15,MTDR,2019-04-05,18.54,19.775,18.54,19.54,19.54,2690957,0.0,1.0,63.1
16,MTDR,2019-04-04,17.92,18.66,17.91,18.48,18.48,3069129,0.0,1.0,62.12
17,MTDR,2019-04-03,19.52,19.66,17.925,17.97,17.97,3014647,0.0,1.0,62.46
18,MTDR,2019-04-02,19.61,19.93,19.29,19.46,19.46,2247911,0.0,1.0,62.53
19,MTDR,2019-04-01,19.59,19.74,19.32,19.6,19.6,1413212,0.0,1.0,61.59
20,MTDR,2019-03-29,20.05,20.131,19.14,19.33,19.33,2271055,0.0,1.0,60.19
21,MTDR,2019-03-28,19.44,20.03,19.4,19.69,19.69,3751908,0.0,1.0,59.29
22,MTDR,2019-03-27,19.55,19.96,19.35,19.62,19.62,2107503,0.0,1.0,59.39
23,MTDR,2019-03-26,19.28,19.98,19.17,19.51,19.51,2142635,0.0,1.0,59.87
24,MTDR,2019-03-25,18.8,18.941,18.26,18.84,18.84,1872534,0.0,1.0,58.71
25,MTDR,2019-03-22,19.63,19.69,18.59,18.91,18.91,2727262,0.0,1.0,58.87
26,MTDR,2019-03-21,19.59,20.26,19.52,20.0,20.0,2815062,0.0,1.0,59.98
27,MTDR,2019-03-20,18.96,20.08,18.9,19.65,19.65,2775595,0.0,1.0,60.12
28,MTDR,2019-03-19,19.32,19.48,18.96,19.06,19.06,3023263,0.0,1.0,59.12
29,MTDR,2019-03-18,18.69,19.2,18.64,19.13,19.13,3175572,0.0,1.0,59.09
30,MTDR,2019-03-15,18.22,18.86,18.18,18.69,18.69,3377508,0.0,1.0,58.51
31,MTDR,2019-03-14,18.54,18.83,18.48,18.53,18.53,1879036,0.0,1.0,58.59
32,MTDR,2019-03-13,18.51,19.06,18.3,18.6,18.6,3540378,0.0,1.0,58.27
33,MTDR,2019-03-12,17.32,18.25,17.21,18.19,18.19,3134985,0.0,1.0,56.89
34,MTDR,2019-03-11,16.93,17.34,16.71,17.17,17.17,1623099,0.0,1.0,56.79
35,MTDR,2019-03-08,17.0,17.0,16.38,16.7,16.7,1804975,0.0,1.0,55.77
36,MTDR,2019-03-07,17.51,17.63,17.11,17.18,17.18,1525091,0.0,1.0,56.6
37,MTDR,2019-03-06,18.18,18.18,17.32,17.47,17.47,2802872,0.0,1.0,56.22
38,MTDR,2019-03-05,18.04,18.35,17.6,18.32,18.32,2244048,0.0,1.0,56.55
39,MTDR,2019-03-04,18.22,18.32,17.63,17.99,17.99,2658583,0.0,1.0,56.6
40,MTDR,2019-03-01,18.78,19.16,17.87,18.03,18.03,3544411,0.0,1.0,55.76
41,MTDR,2019-02-28,19.06,19.21,18.57,18.6,18.6,3536064,0.0,1.0,57.21
42,MTDR,2019-02-27,19.34,19.88,18.3,18.99,18.99,5300279,0.0,1.0,56.92
43,MTDR,2019-02-26,18.93,19.32,17.805,17.91,17.91,4242736,0.0,1.0,55.4
44,MTDR,2019-02-25,18.52,18.96,18.415,18.85,18.85,2277333,0.0,1.0,55.32
45,MTDR,2019-02-22,18.28,18.82,18.21,18.7,18.7,2014531,0.0,1.0,57.01
46,MTDR,2019-02-21,18.89,18.99,18.0,18.06,18.06,2098688,0.0,1.0,56.95
47,MTDR,2019-02-20,18.7,19.02,18.46,18.94,18.94,1868625,0.0,1.0,56.9
48,MTDR,2019-02-19,19.35,19.54,18.645,18.7,18.7,1733760,0.0,1.0,56.12
49,MTDR,2019-02-15,18.5,19.32,18.39,19.31,19.31,2972536,0.0,1.0,55.58
50,MTDR,2019-02-14,17.83,18.42,17.65,18.22,18.22,1484407,0.0,1.0,54.4
51,MTDR,2019-02-13,17.79,18.23,17.66,17.87,17.87,2321215,0.0,1.0,53.84
52,MTDR,2019-02-12,17.78,18.05,17.36,17.64,17.64,1761487,0.0,1.0,53.14
53,MTDR,2019-02-11,17.1,17.46,16.84,17.41,17.41,1507810,0.0,1.0,52.43
54,MTDR,2019-02-08,17.45,17.68,16.74,17.26,17.26,2808171,0.0,1.0,52.75
55,MTDR,2019-02-07,18.39,18.43,17.2,17.54,17.54,2794505,0.0,1.0,52.68
56,MTDR,2019-02-06,18.69,18.98,18.5,18.59,18.59,1553530,0.0,1.0,53.94
57,MTDR,2019-02-05,19.53,19.63,18.84,18.87,18.87,1731896,0.0,1.0,53.69
58,MTDR,2019-02-04,19.4,19.59,19.21,19.58,19.58,927102,0.0,1.0,54.57
59,MTDR,2019-02-01,19.57,19.82,19.35,19.66,19.66,1611447,0.0,1.0,55.29
60,MTDR,2019-01-31,20.07,20.18,19.28,19.5,19.5,2414559,0.0,1.0,53.84
61,MTDR,2019-01-30,19.31,19.9,19.02,19.86,19.86,1985070,0.0,1.0,54.18
62,MTDR,2019-01-29,19.08,19.41,18.73,19.24,19.24,2004132,0.0,1.0,53.07
63,MTDR,2019-01-28,19.04,19.04,18.41,18.89,18.89,1834886,0.0,1.0,51.79
64,MTDR,2019-01-25,18.83,19.55,18.8,19.29,19.29,1976574,0.0,1.0,53.53
65,MTDR,2019-01-24,18.46,18.8,18.32,18.72,18.72,1353004,0.0,1.0,52.94
66,MTDR,2019-01-23,19.03,19.13,18.32,18.52,18.52,1795019,0.0,1.0,52.44
67,MTDR,2019-01-22,19.6,19.6,18.73,18.81,18.81,2052264,0.0,1.0,52.59
68,MTDR,2019-01-18,19.7,19.94,19.3,19.92,19.92,1551981,0.0,1.0,53.6
69,MTDR,2019-01-17,19.27,19.47,18.92,19.41,19.41,1785937,0.0,1.0,51.83
70,MTDR,2019-01-16,19.22,19.82,19.22,19.51,19.51,1581097,0.0,1.0,52.08
71,MTDR,2019-01-15,19.17,19.62,18.98,19.43,19.43,1913906,0.0,1.0,51.8
72,MTDR,2019-01-14,18.95,19.28,18.47,18.95,18.95,1898981,0.0,1.0,50.31
73,MTDR,2019-01-11,19.39,19.48,18.98,19.34,19.34,2266138,0.0,1.0,51.44
74,MTDR,2019-01-10,19.41,20.03,19.2304,19.78,19.78,2355149,0.0,1.0,52.42
75,MTDR,2019-01-09,19.27,19.8,18.78,19.76,19.76,2722520,0.0,1.0,52.19
76,MTDR,2019-01-08,18.65,19.01,18.22,18.9,18.9,3145383,0.0,1.0,49.58
77,MTDR,2019-01-07,17.05,18.45,16.78,18.26,18.26,3888241,0.0,1.0,48.27
78,MTDR,2019-01-04,16.37,17.16,16.1,17.03,17.03,3369487,0.0,1.0,47.76
79,MTDR,2019-01-03,16.09,16.43,15.48,15.93,15.93,2089925,0.0,1.0,46.92
80,MTDR,2019-01-02,15.08,16.11,14.8,16.07,16.07,2266328,0.0,1.0,46.31
81,MTDR,2018-12-28,15.92,16.02,15.44,15.49,15.49,1809514,0.0,1.0,45.15
82,MTDR,2018-12-27,15.5,15.84,15.07,15.83,15.83,2380746,0.0,1.0,44.48
83,MTDR,2018-12-26,14.34,15.94,13.97,15.89,15.89,3433840,0.0,1.0,46.04
84,MTDR,2018-12-21,15.56,15.56,14.57,14.76,14.76,5661427,0.0,1.0,45.38
85,MTDR,2018-12-20,15.71,16.27,15.61,15.64,15.64,2391388,0.0,1.0,45.64
86,MTDR,2018-12-19,16.52,17.01,15.93,16.14,16.14,2146801,0.0,1.0,47.96
87,MTDR,2018-12-18,16.87,17.25,16.37,16.49,16.49,2793407,0.0,1.0,46.12
88,MTDR,2018-12-17,17.2,17.5093,16.665,16.78,16.78,2342586,0.0,1.0,49.8
89,MTDR,2018-12-14,18.31,18.43,17.22,17.37,17.37,3092744,0.0,1.0,51.26
90,MTDR,2018-12-13,18.94,19.28,18.34,18.57,18.57,2852594,0.0,1.0,52.69
91,MTDR,2018-12-12,19.37,19.9,18.975,19.09,19.09,3078435,0.0,1.0,51.04
92,MTDR,2018-12-11,19.76,20.15,18.98,19.08,19.08,3237918,0.0,1.0,51.65
93,MTDR,2018-12-10,20.88,21.41,19.43,19.69,19.69,2600915,0.0,1.0,51.07
94,MTDR,2018-12-07,22.2,22.4,21.245,21.29,21.29,2365478,0.0,1.0,52.76
95,MTDR,2018-12-06,22.8,22.8,21.34,21.74,21.74,2257872,0.0,1.0,51.54
96,MTDR,2018-12-04,24.36,24.43,23.34,23.37,23.37,2100623,0.0,1.0,53.21
97,MTDR,2018-12-03,23.93,24.66,23.76,24.36,24.36,2709352,0.0,1.0,52.98
98,MTDR,2018-11-30,22.97,23.2,22.3801,22.8,22.8,2318525,0.0,1.0,50.78
99,MTDR,2018-11-29,22.82,23.6,22.75,23.34,23.34,1959463,0.0,1.0,51.46
100,MTDR,2018-11-28,22.14,22.73,21.43,22.73,22.73,1846786,0.0,1.0,50.06
101,MTDR,2018-11-27,22.64,22.8,21.89,21.94,21.94,1653883,0.0,1.0,51.31
102,MTDR,2018-11-26,22.8,23.38,22.53,22.74,22.74,1646067,0.0,1.0,51.46
103,MTDR,2018-11-21,23.58,23.79,23.175,23.39,23.39,1063916,0.0,1.0,54.41
