,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,MUR,2019-04-29,27.6,27.7,27.19,27.39,27.39,1605897,0.0,1.0,63.39
1,MUR,2019-04-26,28.28,28.41,27.14,27.65,27.65,2046376,0.0,1.0,63.29
2,MUR,2019-04-25,28.53,29.115,28.28,28.47,28.47,1948262,0.0,1.0,65.23
3,MUR,2019-04-24,29.43,29.52,28.53,28.58,28.58,2341426,0.0,1.0,65.96
4,MUR,2019-04-23,29.12,29.7,28.6,29.16,29.16,4816984,0.0,1.0,66.24
5,MUR,2019-04-22,27.94,28.65,27.415,28.64,28.64,1567089,0.0,1.0,65.66
6,MUR,2019-04-18,28.05,28.0966,27.05,27.36,27.36,2398485,0.0,1.0,64.02
7,MUR,2019-04-17,28.34,28.65,27.79,27.87,27.87,1435828,0.0,1.0,63.74
8,MUR,2019-04-16,28.59,28.76,28.04,28.21,28.21,2302992,0.0,1.0,64.01
9,MUR,2019-04-15,29.3,29.47,28.52,28.56,28.56,1737183,0.0,1.0,63.43
10,MUR,2019-04-12,29.89,30.05,29.27,29.42,29.42,1825878,0.0,1.0,63.86
11,MUR,2019-04-11,28.51,28.84,28.245,28.59,28.59,1238863,0.0,1.0,63.61
12,MUR,2019-04-10,28.64,28.93,28.55,28.65,28.65,1302307,0.0,1.0,64.62
13,MUR,2019-04-09,28.82,28.99,28.39,28.5,28.5,1345752,0.0,1.0,64.05
14,MUR,2019-04-08,28.96,29.39,28.66,28.99,28.99,1722173,0.0,1.0,64.37
15,MUR,2019-04-05,28.19,29.08,28.19,28.89,28.89,1830806,0.0,1.0,63.1
16,MUR,2019-04-04,27.87,28.07,27.47,28.02,28.02,1648190,0.0,1.0,62.12
17,MUR,2019-04-03,29.06,29.2,27.81,27.84,27.84,2439161,0.0,1.0,62.46
18,MUR,2019-04-02,29.59,29.84,29.02,29.03,29.03,1569840,0.0,1.0,62.53
19,MUR,2019-04-01,29.59,29.71,29.03,29.63,29.63,2079030,0.0,1.0,61.59
20,MUR,2019-03-29,29.91,30.0,29.13,29.3,29.3,1408551,0.0,1.0,60.19
21,MUR,2019-03-28,28.9,29.57,28.89,29.5,29.5,1509678,0.0,1.0,59.29
22,MUR,2019-03-27,29.1,29.36,28.6262,29.19,29.19,2004407,0.0,1.0,59.39
23,MUR,2019-03-26,29.04,29.52,28.79,29.23,29.23,1802147,0.0,1.0,59.87
24,MUR,2019-03-25,28.23,28.47,27.52,28.32,28.32,1992300,0.0,1.0,58.71
25,MUR,2019-03-22,30.52,30.87,28.48,28.52,28.52,2805885,0.0,1.0,58.87
26,MUR,2019-03-21,30.57,31.13,30.04,30.97,30.97,3948347,0.0,1.0,59.98
27,MUR,2019-03-20,30.15,31.08,29.91,30.72,30.72,1364403,0.0,1.0,60.12
28,MUR,2019-03-19,30.6,30.72,30.005,30.15,30.15,1360256,0.0,1.0,59.12
29,MUR,2019-03-18,29.92,30.39,29.7,30.25,30.25,1474350,0.0,1.0,59.09
30,MUR,2019-03-15,29.97,30.28,29.72,29.75,29.75,3105986,0.0,1.0,58.51
31,MUR,2019-03-14,30.61,30.89,30.1,30.12,30.12,1873609,0.0,1.0,58.59
32,MUR,2019-03-13,30.68,30.86,30.37,30.64,30.64,1982776,0.0,1.0,58.27
33,MUR,2019-03-12,30.03,30.61,29.96,30.3,30.3,1632405,0.0,1.0,56.89
34,MUR,2019-03-11,29.25,30.03,29.08,29.83,29.83,1628333,0.0,1.0,56.79
35,MUR,2019-03-08,29.36,29.7,28.85,29.0,29.0,1392174,0.0,1.0,55.77
36,MUR,2019-03-07,29.99,30.25,29.52,30.0,30.0,1762680,0.0,1.0,56.6
37,MUR,2019-03-06,30.19,30.25,29.2,29.88,29.88,2307265,0.0,1.0,56.22
38,MUR,2019-03-05,30.16,30.67,30.01,30.44,30.44,1547929,0.0,1.0,56.55
39,MUR,2019-03-04,30.29,30.38,29.64,30.16,30.16,1629871,0.0,1.0,56.6
40,MUR,2019-03-01,29.02,30.11,29.02,30.03,30.03,1973503,0.0,1.0,55.76
41,MUR,2019-02-28,29.44,29.61,28.55,28.9,28.9,1990704,0.0,1.0,57.21
42,MUR,2019-02-27,29.33,29.85,29.09,29.36,29.36,2379599,0.0,1.0,56.92
43,MUR,2019-02-26,29.62,29.95,29.175,29.2,29.2,1262422,0.0,1.0,55.4
44,MUR,2019-02-25,29.34,29.82,29.1,29.61,29.61,1065481,0.0,1.0,55.32
45,MUR,2019-02-22,29.94,30.08,29.23,29.58,29.58,1314408,0.0,1.0,57.01
46,MUR,2019-02-21,29.75,30.13,29.41,29.54,29.54,1677928,0.0,1.0,56.95
47,MUR,2019-02-20,29.26,30.15,29.26,29.93,29.93,1866130,0.0,1.0,56.9
48,MUR,2019-02-19,29.11,29.63,29.04,29.38,29.38,1608633,0.0,1.0,56.12
49,MUR,2019-02-15,29.0,29.48,28.76,29.23,29.23,2239414,0.25,1.0,55.58
50,MUR,2019-02-14,28.24,29.05,28.0716,28.82,28.5756,2080768,0.0,1.0,54.4
51,MUR,2019-02-13,27.43,28.54,27.43,28.24,28.0005,2453806,0.0,1.0,53.84
52,MUR,2019-02-12,27.23,27.66,26.96,27.35,27.1181,1905280,0.0,1.0,53.14
53,MUR,2019-02-11,25.86,26.89,25.86,26.71,26.4835,1726515,0.0,1.0,52.43
54,MUR,2019-02-08,26.39,26.57,25.71,26.15,25.9282,1785730,0.0,1.0,52.75
55,MUR,2019-02-07,27.81,27.86,26.37,26.42,26.1959,2237652,0.0,1.0,52.68
56,MUR,2019-02-06,27.83,28.2,27.62,27.95,27.713,2414850,0.0,1.0,53.94
57,MUR,2019-02-05,27.92,28.5,27.82,27.87,27.6337,2615420,0.0,1.0,53.69
58,MUR,2019-02-04,27.31,28.09,27.22,27.96,27.7229,3252636,0.0,1.0,54.57
59,MUR,2019-02-01,27.46,28.5,27.28,27.98,27.7427,2477864,0.0,1.0,55.29
