,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,NBL,2019-04-29,27.08,27.67,27.08,27.42,27.2886,5910787,0.0,1.0,63.39
1,NBL,2019-04-26,26.9,27.56,26.78,27.08,26.9503,7858400,0.0,1.0,63.29
2,NBL,2019-04-25,27.54,27.66,26.68,27.25,27.1195,7937319,0.0,1.0,65.23
3,NBL,2019-04-24,28.01,28.4,27.58,27.58,27.4479,5886394,0.0,1.0,65.96
4,NBL,2019-04-23,27.95,28.3,27.53,27.86,27.7265,4577728,0.0,1.0,66.24
5,NBL,2019-04-22,27.55,28.055,27.2201,27.88,27.7464,4638712,0.0,1.0,65.66
6,NBL,2019-04-18,27.27,27.415,26.79,27.11,26.9801,5323711,0.0,1.0,64.02
7,NBL,2019-04-17,27.38,27.84,27.12,27.21,27.0797,7224876,0.0,1.0,63.74
8,NBL,2019-04-16,26.56,27.1,26.35,27.1,26.9702,5860160,0.0,1.0,64.01
9,NBL,2019-04-15,26.54,27.11,26.37,26.46,26.3332,6552914,0.0,1.0,63.43
10,NBL,2019-04-12,27.0,27.65,26.5801,26.87,26.7413,12459739,0.0,1.0,63.86
11,NBL,2019-04-11,25.04,25.53,24.81,25.13,25.0096,4067107,0.0,1.0,63.61
12,NBL,2019-04-10,24.74,25.32,24.605,25.23,25.1091,5371127,0.0,1.0,64.62
13,NBL,2019-04-09,25.31,25.42,24.43,24.5,24.3826,5879627,0.0,1.0,64.05
14,NBL,2019-04-08,25.76,26.01,25.32,25.47,25.348,5591462,0.0,1.0,64.37
15,NBL,2019-04-05,24.97,25.81,24.97,25.73,25.6067,5459972,0.0,1.0,63.1
16,NBL,2019-04-04,25.07,25.19,24.64,24.87,24.7509,4088328,0.0,1.0,62.12
17,NBL,2019-04-03,25.65,25.72,24.645,25.0,24.8802,4849202,0.0,1.0,62.46
18,NBL,2019-04-02,25.8,25.95,25.505,25.52,25.3977,5216122,0.0,1.0,62.53
19,NBL,2019-04-01,25.01,25.815,25.01,25.68,25.557,5644780,0.0,1.0,61.59
20,NBL,2019-03-29,25.23,25.55,24.67,24.73,24.6115,3849309,0.0,1.0,60.19
21,NBL,2019-03-28,24.38,25.0,24.26,24.89,24.7708,3111754,0.0,1.0,59.29
22,NBL,2019-03-27,24.99,25.2,24.47,24.65,24.5319,4503785,0.0,1.0,59.39
23,NBL,2019-03-26,24.87,25.34,24.85,25.08,24.9599,3963483,0.0,1.0,59.87
24,NBL,2019-03-25,23.92,24.48,23.63,24.44,24.3229,4802839,0.0,1.0,58.71
25,NBL,2019-03-22,24.66,24.755,23.51,23.97,23.8552,6234590,0.0,1.0,58.87
26,NBL,2019-03-21,24.72,25.045,24.47,24.94,24.8205,4102870,0.0,1.0,59.98
27,NBL,2019-03-20,23.98,25.17,23.8,24.87,24.7509,7169055,0.0,1.0,60.12
28,NBL,2019-03-19,24.54,24.6,23.85,24.0,23.885,6786174,0.0,1.0,59.12
29,NBL,2019-03-18,23.24,23.9,23.24,23.8,23.686,4334362,0.0,1.0,59.09
30,NBL,2019-03-15,22.46,23.23,22.45,23.1,22.9893,7739182,0.0,1.0,58.51
31,NBL,2019-03-14,22.48,22.81,22.32,22.69,22.5813,5174581,0.0,1.0,58.59
32,NBL,2019-03-13,22.57,22.755,21.9,22.47,22.3624,5168091,0.0,1.0,58.27
33,NBL,2019-03-12,22.2,22.585,21.95,22.44,22.3325,4379477,0.0,1.0,56.89
34,NBL,2019-03-11,21.53,22.08,21.41,22.04,21.9344,4750945,0.0,1.0,56.79
35,NBL,2019-03-08,22.12,22.16,21.32,21.42,21.3174,7056560,0.0,1.0,55.77
36,NBL,2019-03-07,22.95,22.985,22.41,22.64,22.5315,4816561,0.0,1.0,56.6
37,NBL,2019-03-06,23.37,23.62,22.93,23.0,22.8898,7621891,0.0,1.0,56.22
38,NBL,2019-03-05,23.77,23.85,23.3,23.58,23.467,5817142,0.0,1.0,56.55
39,NBL,2019-03-04,23.0,23.65,23.0,23.63,23.5168,8705529,0.0,1.0,56.6
40,NBL,2019-03-01,22.25,22.83,22.16,22.83,22.7206,7432872,0.0,1.0,55.76
41,NBL,2019-02-28,22.58,22.595,21.78,22.15,22.0439,7986690,0.0,1.0,57.21
42,NBL,2019-02-27,22.29,22.655,21.76,22.48,22.3723,8418645,0.0,1.0,56.92
43,NBL,2019-02-26,22.67,22.89,22.08,22.11,22.0041,7552810,0.0,1.0,55.4
44,NBL,2019-02-25,22.94,23.39,22.71,22.72,22.6112,5269682,0.0,1.0,55.32
45,NBL,2019-02-22,24.09,24.1,23.02,23.16,23.0491,7021161,0.0,1.0,57.01
46,NBL,2019-02-21,23.88,24.23,23.68,23.86,23.7457,8385354,0.0,1.0,56.95
47,NBL,2019-02-20,23.43,24.2,23.21,24.05,23.9348,9402435,0.0,1.0,56.9
48,NBL,2019-02-19,22.25,24.11,21.75,23.7,23.5865,15742640,0.0,1.0,56.12
49,NBL,2019-02-15,22.26,22.87,22.16,22.64,22.5315,11177034,0.0,1.0,55.58
50,NBL,2019-02-14,21.71,22.135,21.6,22.01,21.9046,4803818,0.0,1.0,54.4
51,NBL,2019-02-13,21.33,21.95,21.33,21.89,21.7851,4227961,0.0,1.0,53.84
52,NBL,2019-02-12,21.47,21.755,21.13,21.21,21.1084,6236942,0.0,1.0,53.14
53,NBL,2019-02-11,20.38,21.01,20.13,21.0,20.8994,5516896,0.0,1.0,52.43
54,NBL,2019-02-08,20.89,20.99,19.91,20.64,20.5411,5913891,0.11,1.0,52.75
55,NBL,2019-02-07,22.21,22.2194,20.98,21.06,20.848,4952181,0.0,1.0,52.68
56,NBL,2019-02-06,22.67,22.7,22.265,22.37,22.1448,3943489,0.0,1.0,53.94
57,NBL,2019-02-05,22.96,23.225,22.7553,22.86,22.6299,4878103,0.0,1.0,53.69
58,NBL,2019-02-04,22.17,22.96,22.13,22.91,22.6794,4480219,0.0,1.0,54.57
59,NBL,2019-02-01,22.44,22.74,22.16,22.39,22.1646,4456571,0.0,1.0,55.29
60,NBL,2019-01-31,23.11,23.2,22.17,22.34,22.1151,4004362,0.0,1.0,53.84
