,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,NFX,2019-02-14,17.07,17.07,17.07,17.07,17.07,0,0.0,1.0,54.4
1,NFX,2019-02-13,16.58,17.13,16.4,17.07,17.07,6826700,0.0,1.0,53.84
2,NFX,2019-02-12,16.66,17.2,16.195,16.35,16.35,54057175,0.0,1.0,53.14
3,NFX,2019-02-11,16.12,16.62,15.89,16.2,16.2,15493620,0.0,1.0,52.43
4,NFX,2019-02-08,16.64,16.86,16.01,16.3,16.3,10574612,0.0,1.0,52.75
5,NFX,2019-02-07,17.75,17.86,16.695,16.78,16.78,6211055,0.0,1.0,52.68
6,NFX,2019-02-06,17.98,18.32,17.83,17.98,17.98,4862663,0.0,1.0,53.94
7,NFX,2019-02-05,18.7,18.755,18.12,18.15,18.15,3417801,0.0,1.0,53.69
8,NFX,2019-02-04,18.07,18.72,17.9387,18.72,18.72,4511944,0.0,1.0,54.57
9,NFX,2019-02-01,18.38,18.66,18.115,18.28,18.28,6038605,0.0,1.0,55.29
10,NFX,2019-01-31,18.64,18.855,18.125,18.28,18.28,6665678,0.0,1.0,53.84
11,NFX,2019-01-30,18.41,18.59,18.165,18.57,18.57,6171399,0.0,1.0,54.18
12,NFX,2019-01-29,18.4,18.6635,18.16,18.18,18.18,6727366,0.0,1.0,53.07
13,NFX,2019-01-28,18.12,18.4,17.8081,18.32,18.32,5540171,0.0,1.0,51.79
14,NFX,2019-01-25,18.46,18.81,18.42,18.48,18.48,7948880,0.0,1.0,53.53
15,NFX,2019-01-24,17.85,18.38,17.77,18.31,18.31,4596190,0.0,1.0,52.94
16,NFX,2019-01-23,18.05,18.12,17.64,17.85,17.85,3895219,0.0,1.0,52.44
17,NFX,2019-01-22,18.24,18.32,17.81,17.88,17.88,5856890,0.0,1.0,52.59
18,NFX,2019-01-18,18.59,18.74,18.24,18.57,18.57,6821148,0.0,1.0,53.6
19,NFX,2019-01-17,17.93,18.53,17.745,18.3,18.3,9863797,0.0,1.0,51.83
20,NFX,2019-01-16,18.04,18.29,17.85,18.15,18.15,8068051,0.0,1.0,52.08
21,NFX,2019-01-15,18.0,18.275,17.83,18.06,18.06,6619397,0.0,1.0,51.8
22,NFX,2019-01-14,17.35,18.04,17.3,17.8,17.8,8842069,0.0,1.0,50.31
23,NFX,2019-01-11,17.17,17.915,16.9739,17.55,17.55,15527964,0.0,1.0,51.44
24,NFX,2019-01-10,16.71,17.47,16.53,17.33,17.33,12312978,0.0,1.0,52.42
25,NFX,2019-01-09,16.96,17.11,15.97,16.97,16.97,8720686,0.0,1.0,52.19
26,NFX,2019-01-08,16.5,16.995,16.3,16.7,16.7,6896835,0.0,1.0,49.58
27,NFX,2019-01-07,16.11,16.59,15.85,16.12,16.12,9529796,0.0,1.0,48.27
28,NFX,2019-01-04,15.65,16.2199,15.6,15.96,15.96,7597390,0.0,1.0,47.76
29,NFX,2019-01-03,15.25,15.5,14.825,15.28,15.28,5852316,0.0,1.0,46.92
30,NFX,2019-01-02,14.24,15.29,14.02,15.15,15.15,5577035,0.0,1.0,46.31
31,NFX,2018-12-28,14.58,14.92,14.07,14.33,14.33,4973294,0.0,1.0,45.15
32,NFX,2018-12-27,14.3,14.54,13.84,14.5,14.5,5314131,0.0,1.0,44.48
33,NFX,2018-12-26,12.97,14.655,12.45,14.54,14.54,7776082,0.0,1.0,46.04
34,NFX,2018-12-21,13.79,14.2,13.455,13.56,13.56,10581816,0.0,1.0,45.38
35,NFX,2018-12-20,14.09,14.9,13.88,13.9,13.9,6035907,0.0,1.0,45.64
36,NFX,2018-12-19,14.07,15.04,14.04,14.47,14.47,9191033,0.0,1.0,47.96
37,NFX,2018-12-18,14.61,14.69,14.0,14.06,14.06,6704957,0.0,1.0,46.12
