,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,OAS,2019-04-29,6.11,6.24,6.03,6.15,6.15,11599373,0.0,1.0,63.39
1,OAS,2019-04-26,6.3,6.31,5.995,6.16,6.16,11622216,0.0,1.0,63.29
2,OAS,2019-04-25,6.5,6.595,6.38,6.39,6.39,7198437,0.0,1.0,65.23
3,OAS,2019-04-24,6.97,6.98,6.5,6.51,6.51,12146177,0.0,1.0,65.96
4,OAS,2019-04-23,7.03,7.15,6.82,6.93,6.93,12234294,0.0,1.0,66.24
5,OAS,2019-04-22,6.71,7.05,6.69,7.03,7.03,13200474,0.0,1.0,65.66
6,OAS,2019-04-18,6.59,6.69,6.55,6.6,6.6,10128330,0.0,1.0,64.02
7,OAS,2019-04-17,6.67,6.73,6.545,6.56,6.56,12660312,0.0,1.0,63.74
8,OAS,2019-04-16,6.55,6.65,6.455,6.62,6.62,6375410,0.0,1.0,64.01
9,OAS,2019-04-15,6.6,6.74,6.53,6.53,6.53,6379582,0.0,1.0,63.43
10,OAS,2019-04-12,6.8,6.91,6.59,6.62,6.62,13932529,0.0,1.0,63.86
11,OAS,2019-04-11,6.62,6.74,6.51,6.58,6.58,7176942,0.0,1.0,63.61
12,OAS,2019-04-10,6.61,6.73,6.5716,6.69,6.69,9124441,0.0,1.0,64.62
13,OAS,2019-04-09,6.45,6.675,6.33,6.54,6.54,20623749,0.0,1.0,64.05
14,OAS,2019-04-08,6.46,6.56,6.4,6.5,6.5,10584368,0.0,1.0,64.37
15,OAS,2019-04-05,6.17,6.4,6.16,6.4,6.4,12195728,0.0,1.0,63.1
16,OAS,2019-04-04,5.9,6.16,5.87,6.15,6.15,9306504,0.0,1.0,62.12
17,OAS,2019-04-03,6.05,6.18,5.84,5.91,5.91,10089582,0.0,1.0,62.46
18,OAS,2019-04-02,6.22,6.2429,6.01,6.03,6.03,7411707,0.0,1.0,62.53
19,OAS,2019-04-01,6.12,6.31,6.085,6.19,6.19,10194438,0.0,1.0,61.59
20,OAS,2019-03-29,6.14,6.25,6.01,6.04,6.04,7832339,0.0,1.0,60.19
21,OAS,2019-03-28,5.87,6.02,5.86,6.01,6.01,5783308,0.0,1.0,59.29
22,OAS,2019-03-27,6.03,6.12,5.87,5.95,5.95,5995899,0.0,1.0,59.39
23,OAS,2019-03-26,6.17,6.24,5.98,6.02,6.02,8446858,0.0,1.0,59.87
24,OAS,2019-03-25,5.92,6.015,5.79,5.97,5.97,6900633,0.0,1.0,58.71
25,OAS,2019-03-22,6.23,6.25,5.95,5.95,5.95,9653503,0.0,1.0,58.87
26,OAS,2019-03-21,6.04,6.35,6.03,6.34,6.34,10567321,0.0,1.0,59.98
27,OAS,2019-03-20,5.78,6.17,5.78,6.06,6.06,10104824,0.0,1.0,60.12
28,OAS,2019-03-19,6.04,6.05,5.77,5.83,5.83,8912674,0.0,1.0,59.12
29,OAS,2019-03-18,5.95,6.065,5.88,5.95,5.95,8650103,0.0,1.0,59.09
30,OAS,2019-03-15,5.82,5.94,5.7434,5.91,5.91,12597073,0.0,1.0,58.51
31,OAS,2019-03-14,5.8,5.91,5.8,5.85,5.85,7608824,0.0,1.0,58.59
32,OAS,2019-03-13,5.7,5.94,5.68,5.82,5.82,16915886,0.0,1.0,58.27
33,OAS,2019-03-12,5.38,5.615,5.35,5.6,5.6,12482511,0.0,1.0,56.89
34,OAS,2019-03-11,5.12,5.37,5.05,5.36,5.36,12435108,0.0,1.0,56.79
35,OAS,2019-03-08,5.26,5.2795,4.97,5.07,5.07,11853608,0.0,1.0,55.77
36,OAS,2019-03-07,5.45,5.53,5.34,5.43,5.43,9587864,0.0,1.0,56.6
37,OAS,2019-03-06,5.65,5.65,5.41,5.42,5.42,9534244,0.0,1.0,56.22
38,OAS,2019-03-05,5.61,5.73,5.49,5.7,5.7,11559366,0.0,1.0,56.55
39,OAS,2019-03-04,5.64,5.69,5.45,5.66,5.66,10014779,0.0,1.0,56.6
40,OAS,2019-03-01,5.66,5.745,5.46,5.57,5.57,11140639,0.0,1.0,55.76
41,OAS,2019-02-28,5.87,5.9219,5.54,5.59,5.59,13776040,0.0,1.0,57.21
42,OAS,2019-02-27,6.23,6.23,5.745,5.91,5.91,15761604,0.0,1.0,56.92
43,OAS,2019-02-26,6.08,6.22,5.9,5.9,5.9,9985214,0.0,1.0,55.4
44,OAS,2019-02-25,6.08,6.17,6.01,6.09,6.09,8256143,0.0,1.0,55.32
45,OAS,2019-02-22,6.17,6.21,6.065,6.15,6.15,7361045,0.0,1.0,57.01
46,OAS,2019-02-21,6.31,6.39,6.02,6.07,6.07,12772792,0.0,1.0,56.95
47,OAS,2019-02-20,6.12,6.41,6.12,6.35,6.35,9104749,0.0,1.0,56.9
48,OAS,2019-02-19,6.18,6.27,6.11,6.13,6.13,5848857,0.0,1.0,56.12
49,OAS,2019-02-15,6.01,6.28,5.95,6.22,6.22,8278362,0.0,1.0,55.58
50,OAS,2019-02-14,5.86,5.975,5.79,5.92,5.92,7714370,0.0,1.0,54.4
51,OAS,2019-02-13,5.81,5.98,5.765,5.87,5.87,7438731,0.0,1.0,53.84
52,OAS,2019-02-12,5.81,5.94,5.74,5.77,5.77,6385567,0.0,1.0,53.14
53,OAS,2019-02-11,5.42,5.68,5.41,5.65,5.65,7136546,0.0,1.0,52.43
54,OAS,2019-02-08,5.57,5.62,5.41,5.52,5.52,7474670,0.0,1.0,52.75
55,OAS,2019-02-07,5.68,5.755,5.42,5.59,5.59,14720041,0.0,1.0,52.68
56,OAS,2019-02-06,5.75,5.94,5.71,5.76,5.76,5919484,0.0,1.0,53.94
57,OAS,2019-02-05,6.13,6.16,5.785,5.81,5.81,13301153,0.0,1.0,53.69
58,OAS,2019-02-04,6.03,6.185,5.97,6.14,6.14,5891468,0.0,1.0,54.57
59,OAS,2019-02-01,6.06,6.225,6.05,6.13,6.13,7670573,0.0,1.0,55.29
60,OAS,2019-01-31,6.35,6.42,5.94,6.02,6.02,9596223,0.0,1.0,53.84
61,OAS,2019-01-30,6.15,6.3,6.03,6.3,6.3,7456319,0.0,1.0,54.18
62,OAS,2019-01-29,6.2,6.23,6.07,6.07,6.07,6977065,0.0,1.0,53.07
63,OAS,2019-01-28,6.08,6.175,6.01,6.12,6.12,9364988,0.0,1.0,51.79
64,OAS,2019-01-25,6.3,6.4,6.24,6.26,6.26,9861822,0.0,1.0,53.53
65,OAS,2019-01-24,6.03,6.25,6.0,6.22,6.22,8508315,0.0,1.0,52.94
66,OAS,2019-01-23,6.19,6.25,5.96,6.06,6.06,16070527,0.0,1.0,52.44
67,OAS,2019-01-22,6.64,6.69,6.12,6.14,6.14,12791534,0.0,1.0,52.59
68,OAS,2019-01-18,6.72,6.84,6.63,6.78,6.78,9857620,0.0,1.0,53.6
69,OAS,2019-01-17,6.47,6.67,6.43,6.63,6.63,6397253,0.0,1.0,51.83
70,OAS,2019-01-16,6.47,6.62,6.43,6.54,6.54,7561203,0.0,1.0,52.08
71,OAS,2019-01-15,6.49,6.58,6.41,6.5,6.5,7405762,0.0,1.0,51.8
72,OAS,2019-01-14,6.2,6.565,6.15,6.41,6.41,11875181,0.0,1.0,50.31
73,OAS,2019-01-11,6.48,6.52,6.3,6.33,6.33,10905399,0.0,1.0,51.44
74,OAS,2019-01-10,6.45,6.67,6.34,6.59,6.59,7990744,0.0,1.0,52.42
75,OAS,2019-01-09,6.5,6.61,6.345,6.58,6.58,14123267,0.0,1.0,52.19
76,OAS,2019-01-08,6.56,6.6127,6.19,6.42,6.42,16128207,0.0,1.0,49.58
77,OAS,2019-01-07,6.05,6.35,5.99,6.18,6.18,12084853,0.0,1.0,48.27
78,OAS,2019-01-04,5.81,6.05,5.74,6.04,6.04,15375222,0.0,1.0,47.76
79,OAS,2019-01-03,5.53,5.77,5.435,5.64,5.64,9477422,0.0,1.0,46.92
80,OAS,2019-01-02,5.36,5.71,5.13,5.54,5.54,12365975,0.0,1.0,46.31
81,OAS,2018-12-28,5.63,5.7,5.43,5.46,5.46,10576934,0.0,1.0,45.15
82,OAS,2018-12-27,5.21,5.58,5.19,5.57,5.57,14493383,0.0,1.0,44.48
83,OAS,2018-12-26,4.86,5.4,4.74,5.38,5.38,15440707,0.0,1.0,46.04
84,OAS,2018-12-21,5.05,5.25,4.985,5.03,5.03,17315407,0.0,1.0,45.38
85,OAS,2018-12-20,5.13,5.315,4.98,5.12,5.12,11279043,0.0,1.0,45.64
86,OAS,2018-12-19,5.43,5.64,5.2,5.28,5.28,12929901,0.0,1.0,47.96
87,OAS,2018-12-18,5.65,5.6891,5.34,5.42,5.42,13482046,0.0,1.0,46.12
88,OAS,2018-12-17,5.84,6.015,5.66,5.69,5.69,11913200,0.0,1.0,49.8
89,OAS,2018-12-14,6.22,6.22,5.85,5.89,5.89,10096486,0.0,1.0,51.26
90,OAS,2018-12-13,6.3,6.34,6.12,6.3,6.3,12008907,0.0,1.0,52.69
91,OAS,2018-12-12,6.46,6.63,6.32,6.33,6.33,13133180,0.0,1.0,51.04
92,OAS,2018-12-11,6.59,6.63,6.26,6.32,6.32,11733681,0.0,1.0,51.65
93,OAS,2018-12-10,6.7,6.8,6.3,6.45,6.45,13444573,0.0,1.0,51.07
94,OAS,2018-12-07,7.27,7.4,6.87,6.89,6.89,12416124,0.0,1.0,52.76
95,OAS,2018-12-06,7.14,7.17,6.4475,6.86,6.86,17369070,0.0,1.0,51.54
96,OAS,2018-12-04,7.75,7.8,7.39,7.4,7.4,9142077,0.0,1.0,53.21
97,OAS,2018-12-03,7.53,7.75,7.45,7.75,7.75,13541577,0.0,1.0,52.98
98,OAS,2018-11-30,7.33,7.375,7.01,7.14,7.14,12907246,0.0,1.0,50.78
99,OAS,2018-11-29,7.45,7.73,7.42,7.51,7.51,10466252,0.0,1.0,51.46
100,OAS,2018-11-28,7.49,7.55,7.2,7.39,7.39,10629585,0.0,1.0,50.06
101,OAS,2018-11-27,7.57,7.675,7.3401,7.48,7.48,7745026,0.0,1.0,51.31
102,OAS,2018-11-26,7.67,7.815,7.505,7.6,7.6,8133607,0.0,1.0,51.46
103,OAS,2018-11-21,7.54,7.8,7.47,7.74,7.74,7185765,0.0,1.0,54.41
104,OAS,2018-11-20,7.73,7.76,7.2,7.34,7.34,16230426,0.0,1.0,53.39
105,OAS,2018-11-19,8.11,8.17,7.865,8.05,8.05,11162224,0.0,1.0,57.16
106,OAS,2018-11-16,8.5,8.595,8.025,8.29,8.29,11556759,0.0,1.0,56.49
107,OAS,2018-11-15,8.33,8.56,8.175,8.49,8.49,9090512,0.0,1.0,56.45
108,OAS,2018-11-14,8.68,8.84,8.14,8.27,8.27,13944145,0.0,1.0,56.16
109,OAS,2018-11-13,8.71,8.7699,8.28,8.32,8.32,10769322,0.0,1.0,55.63
110,OAS,2018-11-12,9.54,9.55,8.74,8.77,8.77,10343751,0.0,1.0,59.85
111,OAS,2018-11-09,9.22,9.46,8.96,9.36,9.36,11017831,0.0,1.0,60.19
112,OAS,2018-11-08,10.18,10.21,9.57,9.57,9.57,9158759,0.0,1.0,60.71
113,OAS,2018-11-07,10.18,10.42,9.97,10.26,10.26,8647204,0.0,1.0,61.69
114,OAS,2018-11-06,9.82,10.0,9.49,9.88,9.88,16424092,0.0,1.0,62.16
115,OAS,2018-11-05,10.1,10.365,10.05,10.21,10.21,8965497,0.0,1.0,63.12
116,OAS,2018-11-02,10.33,10.44,9.83,9.87,9.87,8700845,0.0,1.0,63.12
117,OAS,2018-11-01,10.17,10.38,9.79,10.34,10.34,16008939,0.0,1.0,63.67
118,OAS,2018-10-31,10.0,10.5,9.97,10.06,10.06,12223498,0.0,1.0,65.31
119,OAS,2018-10-30,9.46,9.86,9.23,9.81,9.81,12308919,0.0,1.0,66.18
120,OAS,2018-10-29,10.2,10.26,9.53,9.69,9.69,8467173,0.0,1.0,67.0
121,OAS,2018-10-26,10.17,10.46,9.87,10.2,10.2,8257135,0.0,1.0,67.58
122,OAS,2018-10-25,10.58,10.68,10.36,10.44,10.44,7143267,0.0,1.0,67.25
123,OAS,2018-10-24,11.6,11.6,10.37,10.39,10.39,12209680,0.0,1.0,66.56
124,OAS,2018-10-23,11.58,11.65,11.25,11.38,11.38,9968977,0.0,1.0,66.49
125,OAS,2018-10-22,12.15,12.21,11.82,12.01,12.01,5397665,0.0,1.0,69.25
126,OAS,2018-10-19,12.27,12.58,12.11,12.23,12.23,8323151,0.0,1.0,69.16
127,OAS,2018-10-18,12.2,12.37,11.97,12.16,12.16,7787651,0.0,1.0,68.63
128,OAS,2018-10-17,12.7,12.75,12.24,12.47,12.47,7086711,0.0,1.0,69.63
129,OAS,2018-10-16,12.56,12.85,12.42,12.74,12.74,5534407,0.0,1.0,71.93
130,OAS,2018-10-15,12.61,12.74,12.255,12.49,12.49,6922822,0.0,1.0,71.84
131,OAS,2018-10-12,12.32,12.5,12.0,12.39,12.39,10993601,0.0,1.0,71.41
132,OAS,2018-10-11,12.36,12.52,11.925,11.97,11.97,10796283,0.0,1.0,70.97
133,OAS,2018-10-10,13.25,13.25,12.55,12.58,12.58,8355230,0.0,1.0,73.18
134,OAS,2018-10-09,13.01,13.53,12.92,13.23,13.23,8487052,0.0,1.0,74.95
135,OAS,2018-10-08,13.07,13.17,12.58,12.9,12.9,10698662,0.0,1.0,74.27
136,OAS,2018-10-05,13.83,14.03,13.22,13.34,13.34,10177228,0.0,1.0,74.26
137,OAS,2018-10-04,14.04,14.27,13.77,13.83,13.83,5659837,0.0,1.0,74.44
138,OAS,2018-10-03,14.1,14.34,13.93,14.22,14.22,5990168,0.0,1.0,76.4
139,OAS,2018-10-02,14.27,14.395,13.89,14.13,14.13,5666050,0.0,1.0,75.16
140,OAS,2018-10-01,14.36,14.57,14.13,14.27,14.27,7760228,0.0,1.0,75.37
141,OAS,2018-09-28,13.77,14.33,13.77,14.18,14.18,8760371,0.0,1.0,73.16
142,OAS,2018-09-27,13.73,13.89,13.67,13.88,13.88,4496963,0.0,1.0,72.18
143,OAS,2018-09-26,13.69,13.96,13.49,13.52,13.52,7114335,0.0,1.0,72.22
144,OAS,2018-09-25,13.81,14.19,13.77,13.92,13.92,10467657,0.0,1.0,73.4
145,OAS,2018-09-24,13.28,13.74,13.23,13.66,13.66,9446347,0.0,1.0,73.23
146,OAS,2018-09-21,12.86,13.08,12.73,12.97,12.97,6912642,0.0,1.0,70.8
147,OAS,2018-09-20,13.01,13.1,12.73,12.77,12.77,4764629,0.0,1.0,70.77
148,OAS,2018-09-19,12.68,12.92,12.61,12.89,12.89,6143028,0.0,1.0,71.08
149,OAS,2018-09-18,12.4,12.88,12.4,12.68,12.68,6991648,0.0,1.0,69.87
150,OAS,2018-09-17,12.36,12.51,12.06,12.22,12.22,5355373,0.0,1.0,68.86
151,OAS,2018-09-14,12.18,12.49,12.13,12.28,12.28,5109513,0.0,1.0,68.98
152,OAS,2018-09-13,12.35,12.43,12.02,12.17,12.17,6503548,0.0,1.0,68.6
153,OAS,2018-09-12,12.66,12.86,12.42,12.48,12.48,7690886,0.0,1.0,70.37
154,OAS,2018-09-11,12.04,12.57,11.97,12.47,12.47,5277053,0.0,1.0,69.29
155,OAS,2018-09-10,12.38,12.47,12.04,12.08,12.08,5573284,0.0,1.0,67.55
156,OAS,2018-09-07,12.13,12.3,11.715,12.28,12.28,8874794,0.0,1.0,67.73
157,OAS,2018-09-06,13.18,13.18,12.34,12.36,12.36,7298000,0.0,1.0,67.81
158,OAS,2018-09-05,13.25,13.395,12.92,13.25,13.25,5117218,0.0,1.0,68.69
159,OAS,2018-09-04,13.555,13.77,13.3222,13.38,13.38,5366582,0.0,1.0,69.82
160,OAS,2018-08-31,13.31,13.47,13.23,13.46,13.46,3823257,0.0,1.0,69.84
161,OAS,2018-08-30,13.11,13.465,13.07,13.4,13.4,4779753,0.0,1.0,70.25
162,OAS,2018-08-29,12.96,13.23,12.82,13.19,13.19,5277573,0.0,1.0,69.68
163,OAS,2018-08-28,13.11,13.18,12.68,12.83,12.83,4899869,0.0,1.0,68.54
164,OAS,2018-08-27,13.23,13.33,13.12,13.14,13.14,4021715,0.0,1.0,69.97
165,OAS,2018-08-24,13.14,13.26,13.05,13.21,13.21,5299660,0.0,1.0,69.71
166,OAS,2018-08-23,12.81,13.07,12.7,12.93,12.93,4743224,0.0,1.0,69.13
167,OAS,2018-08-22,12.75,13.01,12.62,12.94,12.94,5770037,0.0,1.0,67.85
168,OAS,2018-08-21,12.28,12.5412,12.21,12.42,12.42,4647594,0.0,1.0,67.32
169,OAS,2018-08-20,12.05,12.26,12.01,12.12,12.12,5568894,0.0,1.0,66.5
170,OAS,2018-08-17,11.89,12.2,11.89,12.08,12.08,6944601,0.0,1.0,65.93
171,OAS,2018-08-16,11.73,12.03,11.69,11.83,11.83,6793076,0.0,1.0,65.44
172,OAS,2018-08-15,12.57,12.71,11.57,11.66,11.66,12191145,0.0,1.0,65.07
173,OAS,2018-08-14,12.62,12.82,12.51,12.75,12.75,5510520,0.0,1.0,67.04
174,OAS,2018-08-13,12.98,12.99,12.3241,12.41,12.41,7273366,0.0,1.0,67.25
175,OAS,2018-08-10,12.78,13.08,12.74,13.04,13.04,6109143,0.0,1.0,67.61
176,OAS,2018-08-09,12.65,12.89,12.47,12.8,12.8,8055730,0.0,1.0,66.81
177,OAS,2018-08-08,12.97,13.18,12.61,12.63,12.63,11044314,0.0,1.0,66.92
178,OAS,2018-08-07,13.2,13.9,13.05,13.1,13.1,16156024,0.0,1.0,69.17
179,OAS,2018-08-06,12.31,12.61,12.26,12.6,12.6,6437661,0.0,1.0,69.01
180,OAS,2018-08-03,12.28,12.465,12.07,12.26,12.26,5261090,0.0,1.0,68.49
181,OAS,2018-08-02,11.76,12.355,11.75,12.34,12.34,5002331,0.0,1.0,68.95
182,OAS,2018-08-01,12.02,12.02,11.59,11.89,11.89,7866911,0.0,1.0,68.8
183,OAS,2018-07-31,12.16,12.225,11.8734,12.22,12.22,6157115,0.0,1.0,69.88
184,OAS,2018-07-30,12.12,12.405,12.1,12.23,12.23,5243872,0.0,1.0,71.19
185,OAS,2018-07-27,12.15,12.281,11.87,11.91,11.91,4069937,0.0,1.0,68.66
186,OAS,2018-07-26,12.39,12.62,12.19,12.22,12.22,7667243,0.0,1.0,71.59
187,OAS,2018-07-25,12.37,12.42,12.1,12.34,12.34,6199024,0.0,1.0,71.13
188,OAS,2018-07-24,12.17,12.47,12.12,12.34,12.34,3983814,0.0,1.0,70.77
189,OAS,2018-07-23,12.09,12.24,12.02,12.03,12.03,4137946,0.0,1.0,67.9
190,OAS,2018-07-20,12.11,12.22,12.015,12.08,12.08,5240507,0.0,1.0,70.31
191,OAS,2018-07-19,11.85,12.14,11.83,12.08,12.08,4712728,0.0,1.0,69.42
192,OAS,2018-07-18,11.67,12.0,11.41,11.9,11.9,8145514,0.0,1.0,68.78
193,OAS,2018-07-17,11.85,12.0462,11.7,11.89,11.89,5155894,0.0,1.0,68.03
194,OAS,2018-07-16,12.31,12.525,11.82,11.9,11.9,8230500,0.0,1.0,68.22
195,OAS,2018-07-13,12.75,12.92,12.53,12.55,12.55,4680915,0.0,1.0,71.03
196,OAS,2018-07-12,12.89,12.96,12.4,12.72,12.72,7158711,0.0,1.0,70.28
197,OAS,2018-07-11,13.13,13.35,12.68,12.78,12.78,7474837,0.0,1.0,70.47
198,OAS,2018-07-10,13.51,13.7,13.15,13.27,13.27,6334812,0.0,1.0,74.11
199,OAS,2018-07-09,13.11,13.35,12.96,13.34,13.34,8153983,0.0,1.0,73.93
200,OAS,2018-07-06,12.79,13.25,12.705,13.21,13.21,5687025,0.0,1.0,73.78
201,OAS,2018-07-05,12.95,13.03,12.745,12.94,12.94,5654704,0.0,1.0,73.05
202,OAS,2018-07-03,12.96,13.2,12.66,12.8,12.8,3847755,0.0,1.0,74.19
203,OAS,2018-07-02,12.85,12.85,12.44,12.64,12.64,5777704,0.0,1.0,73.89
204,OAS,2018-06-29,13.24,13.45,12.94,12.97,12.97,8315266,0.0,1.0,74.13
