,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,OXY,2019-04-29,60.06,60.6,59.59,60.13,60.13,9112831,0.0,1.0,63.39
1,OXY,2019-04-26,61.6,61.8,60.01,61.31,61.31,10170806,0.0,1.0,63.29
2,OXY,2019-04-25,60.77,63.42,60.26,61.84,61.84,16502775,0.0,1.0,65.23
3,OXY,2019-04-24,59.81,62.12,59.76,62.0,62.0,28235244,0.0,1.0,65.96
4,OXY,2019-04-23,62.93,62.95,61.75,62.36,62.36,10307311,0.0,1.0,66.24
5,OXY,2019-04-22,62.35,63.314,62.05,63.05,63.05,5873957,0.0,1.0,65.66
6,OXY,2019-04-18,62.65,62.8,61.79,61.82,61.82,8481040,0.0,1.0,64.02
7,OXY,2019-04-17,64.02,64.6,62.53,62.65,62.65,6553953,0.0,1.0,63.74
8,OXY,2019-04-16,63.52,64.71,63.18,63.67,63.67,11094214,0.0,1.0,64.01
9,OXY,2019-04-15,65.16,65.25,62.7696,63.36,63.36,11793744,0.0,1.0,63.43
10,OXY,2019-04-12,66.04,66.45,64.04,65.33,65.33,10070587,0.0,1.0,63.86
11,OXY,2019-04-11,66.76,67.57,66.44,67.18,67.18,2956440,0.0,1.0,63.61
12,OXY,2019-04-10,67.48,67.7,66.99,67.18,67.18,3645798,0.0,1.0,64.62
13,OXY,2019-04-09,68.03,68.18,66.98,67.28,67.28,3301441,0.0,1.0,64.05
14,OXY,2019-04-08,68.35,68.83,67.86,68.37,68.37,2527661,0.0,1.0,64.37
15,OXY,2019-04-05,66.66,68.36,66.65,68.04,68.04,3808402,0.0,1.0,63.1
16,OXY,2019-04-04,66.11,66.62,65.57,66.44,66.44,2855715,0.0,1.0,62.12
17,OXY,2019-04-03,67.23,67.23,65.84,66.06,66.06,3056832,0.0,1.0,62.46
18,OXY,2019-04-02,67.21,67.63,66.19,66.63,66.63,3312365,0.0,1.0,62.53
19,OXY,2019-04-01,66.89,67.28,66.54,67.18,67.18,2809924,0.0,1.0,61.59
20,OXY,2019-03-29,67.28,67.48,66.05,66.2,66.2,3190433,0.0,1.0,60.19
21,OXY,2019-03-28,65.93,66.66,65.8,66.57,66.57,2522483,0.0,1.0,59.29
22,OXY,2019-03-27,67.21,67.21,65.86,66.35,66.35,3559787,0.0,1.0,59.39
23,OXY,2019-03-26,65.88,67.4922,65.71,67.08,67.08,5885746,0.0,1.0,59.87
24,OXY,2019-03-25,65.27,65.33,64.51,65.13,65.13,6588636,0.0,1.0,58.71
25,OXY,2019-03-22,66.75,66.85,65.13,65.24,65.24,6138584,0.0,1.0,58.87
26,OXY,2019-03-21,66.96,67.3,66.4775,67.24,67.24,5284635,0.0,1.0,59.98
27,OXY,2019-03-20,66.03,67.74,65.91,67.26,67.26,5112825,0.0,1.0,60.12
28,OXY,2019-03-19,67.36,67.7925,65.94,66.17,66.17,3695462,0.0,1.0,59.12
29,OXY,2019-03-18,65.76,67.09,65.64,67.01,67.01,3256838,0.0,1.0,59.09
30,OXY,2019-03-15,64.86,65.6,64.85,65.47,65.47,5602916,0.0,1.0,58.51
31,OXY,2019-03-14,64.97,65.49,64.95,65.21,65.21,2446261,0.0,1.0,58.59
32,OXY,2019-03-13,64.72,65.17,64.305,65.06,65.06,2561593,0.0,1.0,58.27
33,OXY,2019-03-12,64.19,64.5,63.925,64.2,64.2,3195458,0.0,1.0,56.89
34,OXY,2019-03-11,63.27,63.97,62.81,63.88,63.88,3770211,0.0,1.0,56.79
