,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,PDCE,2019-04-29,44.27,45.03,43.565,43.67,43.67,866829,0.0,1.0,63.39
1,PDCE,2019-04-26,45.32,45.49,44.05,44.59,44.59,585901,0.0,1.0,63.29
2,PDCE,2019-04-25,45.98,46.89,45.26,45.88,45.88,674760,0.0,1.0,65.23
3,PDCE,2019-04-24,46.88,46.89,45.68,45.95,45.95,717679,0.0,1.0,65.96
4,PDCE,2019-04-23,46.75,47.29,45.58,46.6,46.6,881633,0.0,1.0,66.24
5,PDCE,2019-04-22,45.15,46.74,44.56,46.66,46.66,1077071,0.0,1.0,65.66
6,PDCE,2019-04-18,44.53,44.69,43.915,44.25,44.25,503591,0.0,1.0,64.02
7,PDCE,2019-04-17,45.24,45.34,43.8378,44.24,44.24,984637,0.0,1.0,63.74
8,PDCE,2019-04-16,43.9,45.0,43.53,44.85,44.85,980975,0.0,1.0,64.01
9,PDCE,2019-04-15,44.01,44.505,43.45,43.55,43.55,943264,0.0,1.0,63.43
10,PDCE,2019-04-12,44.75,45.83,43.99,44.24,44.24,1024043,0.0,1.0,63.86
11,PDCE,2019-04-11,43.94,44.49,43.03,43.4,43.4,498067,0.0,1.0,63.61
12,PDCE,2019-04-10,43.83,44.44,43.57,44.18,44.18,520952,0.0,1.0,64.62
13,PDCE,2019-04-09,43.85,44.86,43.15,43.54,43.54,970549,0.0,1.0,64.05
14,PDCE,2019-04-08,43.46,43.98,42.87,43.87,43.87,933789,0.0,1.0,64.37
15,PDCE,2019-04-05,43.03,43.9,42.69,43.15,43.15,1161888,0.0,1.0,63.1
16,PDCE,2019-04-04,41.14,43.6,40.67,42.82,42.82,1337161,0.0,1.0,62.12
17,PDCE,2019-04-03,41.25,41.54,39.99,41.01,41.01,1129281,0.0,1.0,62.46
18,PDCE,2019-04-02,41.64,41.73,40.85,41.09,41.09,676219,0.0,1.0,62.53
19,PDCE,2019-04-01,41.2,41.98,41.02,41.63,41.63,984325,0.0,1.0,61.59
20,PDCE,2019-03-29,42.0,42.28,40.63,40.68,40.68,1455294,0.0,1.0,60.19
21,PDCE,2019-03-28,41.67,42.47,40.98,41.54,41.54,863651,0.0,1.0,59.29
22,PDCE,2019-03-27,42.45,42.98,41.41,42.05,42.05,1240314,0.0,1.0,59.39
23,PDCE,2019-03-26,42.98,43.53,42.3,42.65,42.65,535273,0.0,1.0,59.87
24,PDCE,2019-03-25,42.3,42.76,41.625,42.29,42.29,769273,0.0,1.0,58.71
25,PDCE,2019-03-22,44.39,44.49,42.2,42.57,42.57,1073691,0.0,1.0,58.87
26,PDCE,2019-03-21,44.44,45.34,44.2042,44.97,44.97,1135746,0.0,1.0,59.98
27,PDCE,2019-03-20,42.66,45.43,42.16,44.5,44.5,1003125,0.0,1.0,60.12
28,PDCE,2019-03-19,42.82,43.44,42.36,42.71,42.71,1309371,0.0,1.0,59.12
29,PDCE,2019-03-18,40.72,43.05,40.61,42.62,42.62,1410734,0.0,1.0,59.09
30,PDCE,2019-03-15,40.55,41.15,40.24,40.38,40.38,1638648,0.0,1.0,58.51
31,PDCE,2019-03-14,40.4,40.89,39.96,40.55,40.55,946825,0.0,1.0,58.59
32,PDCE,2019-03-13,39.45,41.2,39.45,40.4,40.4,1341802,0.0,1.0,58.27
33,PDCE,2019-03-12,38.97,39.42,38.55,38.92,38.92,936856,0.0,1.0,56.89
34,PDCE,2019-03-11,37.61,38.78,37.1,38.77,38.77,803979,0.0,1.0,56.79
35,PDCE,2019-03-08,37.33,37.53,36.24,37.08,37.08,1019221,0.0,1.0,55.77
