,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,PE,2019-04-29,20.33,20.39,19.94,20.19,20.19,3258020,0.0,1.0,63.39
1,PE,2019-04-26,20.51,20.7,20.08,20.32,20.32,3890198,0.0,1.0,63.29
2,PE,2019-04-25,21.53,21.565,20.71,20.77,20.77,6322612,0.0,1.0,65.23
3,PE,2019-04-24,22.1,22.11,21.24,21.51,21.51,5285943,0.0,1.0,65.96
4,PE,2019-04-23,21.95,22.04,21.32,21.65,21.65,3588127,0.0,1.0,66.24
5,PE,2019-04-22,21.91,22.1,21.4957,21.77,21.77,8173447,0.0,1.0,65.66
6,PE,2019-04-18,21.11,21.53,20.85,21.3,21.3,10393190,0.0,1.0,64.02
7,PE,2019-04-17,20.64,21.33,20.55,20.85,20.85,7999710,0.0,1.0,63.74
8,PE,2019-04-16,20.43,20.61,20.13,20.45,20.45,4476048,0.0,1.0,64.01
9,PE,2019-04-15,20.17,20.78,19.88,20.3,20.3,7590340,0.0,1.0,63.43
10,PE,2019-04-12,19.46,20.65,19.34,20.29,20.29,14193690,0.0,1.0,63.86
11,PE,2019-04-11,18.44,18.7,17.94,18.16,18.16,3567011,0.0,1.0,63.61
12,PE,2019-04-10,18.49,18.67,18.385,18.55,18.55,3521435,0.0,1.0,64.62
13,PE,2019-04-09,19.0,19.0,18.29,18.36,18.36,3708380,0.0,1.0,64.05
14,PE,2019-04-08,18.89,19.325,18.86,19.07,19.07,3717090,0.0,1.0,64.37
15,PE,2019-04-05,17.94,18.79,17.94,18.78,18.78,4819869,0.0,1.0,63.1
16,PE,2019-04-04,18.1,18.14,17.51,17.85,17.85,9883190,0.0,1.0,62.12
17,PE,2019-04-03,18.76,18.77,17.76,18.11,18.11,5958715,0.0,1.0,62.46
18,PE,2019-04-02,19.45,19.56,18.64,18.74,18.74,4804713,0.0,1.0,62.53
19,PE,2019-04-01,19.5,19.63,19.21,19.33,19.33,4097495,0.0,1.0,61.59
20,PE,2019-03-29,19.24,19.61,19.24,19.3,19.3,8065737,0.0,1.0,60.19
21,PE,2019-03-28,18.35,19.01,18.29,18.99,18.99,2975096,0.0,1.0,59.29
22,PE,2019-03-27,18.63,18.74,18.43,18.62,18.62,2988265,0.0,1.0,59.39
23,PE,2019-03-26,18.33,18.73,18.29,18.56,18.56,2878477,0.0,1.0,59.87
24,PE,2019-03-25,18.18,18.24,17.83,17.98,17.98,4000484,0.0,1.0,58.71
25,PE,2019-03-22,18.86,18.92,18.16,18.26,18.26,4209180,0.0,1.0,58.87
26,PE,2019-03-21,18.84,19.215,18.76,19.11,19.11,2720287,0.0,1.0,59.98
27,PE,2019-03-20,18.03,19.09,17.97,18.79,18.79,3624359,0.0,1.0,60.12
28,PE,2019-03-19,18.51,18.57,17.94,18.09,18.09,3103990,0.0,1.0,59.12
29,PE,2019-03-18,17.99,18.44,17.825,18.34,18.34,5067337,0.0,1.0,59.09
30,PE,2019-03-15,17.96,18.045,17.75,17.8,17.8,6250378,0.0,1.0,58.51
31,PE,2019-03-14,18.27,18.4,18.052,18.07,18.07,3164199,0.0,1.0,58.59
32,PE,2019-03-13,18.5,18.57,17.995,18.27,18.27,5202100,0.0,1.0,58.27
