,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,PXD,2019-04-29,165.12,167.36,164.3,165.75,165.75,1620947,0.0,1.0,63.39
1,PXD,2019-04-26,166.5,167.315,161.99,164.94,164.94,2606570,0.0,1.0,63.29
2,PXD,2019-04-25,172.37,173.12,167.69,168.01,168.01,2652329,0.0,1.0,65.23
3,PXD,2019-04-24,177.9,177.9,172.3,172.37,172.37,1691972,0.0,1.0,65.96
4,PXD,2019-04-23,175.89,177.96,173.15,175.72,175.72,1511981,0.0,1.0,66.24
5,PXD,2019-04-22,176.8,178.22,174.26,175.89,175.89,2391812,0.0,1.0,65.66
6,PXD,2019-04-18,172.86,175.91,172.52,175.06,175.06,2662437,0.0,1.0,64.02
7,PXD,2019-04-17,172.27,174.715,171.14,173.0,173.0,2366278,0.0,1.0,63.74
8,PXD,2019-04-16,169.13,172.16,168.3,171.24,171.24,2130310,0.0,1.0,64.01
9,PXD,2019-04-15,168.2,171.7551,166.58,167.74,167.74,3386964,0.0,1.0,63.43
10,PXD,2019-04-12,164.43,168.5,162.18,168.32,168.32,5942814,0.0,1.0,63.86
11,PXD,2019-04-11,149.95,151.44,148.53,150.92,150.92,1170407,0.0,1.0,63.61
12,PXD,2019-04-10,149.45,151.11,149.4364,150.49,150.49,1249278,0.0,1.0,64.62
13,PXD,2019-04-09,150.74,151.21,148.575,148.94,148.94,1630934,0.0,1.0,64.05
14,PXD,2019-04-08,151.5,153.07,150.52,151.73,151.73,1272626,0.0,1.0,64.37
15,PXD,2019-04-05,148.01,150.72,147.9,150.68,150.68,1396747,0.0,1.0,63.1
16,PXD,2019-04-04,146.01,148.47,145.42,147.52,147.52,1103395,0.0,1.0,62.12
17,PXD,2019-04-03,148.2,148.76,145.1,146.06,146.06,2158739,0.0,1.0,62.46
18,PXD,2019-04-02,151.39,152.02,148.05,148.18,148.18,1643148,0.0,1.0,62.53
19,PXD,2019-04-01,153.77,155.53,150.91,150.99,150.99,2113952,0.0,1.0,61.59
20,PXD,2019-03-29,155.28,155.9,152.09,152.28,152.28,2913611,0.0,1.0,60.19
21,PXD,2019-03-28,146.28,153.135,145.11,152.91,152.91,3245078,0.32,1.0,59.29
22,PXD,2019-03-27,142.72,147.34,141.78,147.15,146.8427,2479789,0.0,1.0,59.39
23,PXD,2019-03-26,141.98,143.86,140.84,143.07,142.7712,1031191,0.0,1.0,59.87
24,PXD,2019-03-25,140.57,141.07,138.22,139.93,139.6378,1095038,0.0,1.0,58.71
25,PXD,2019-03-22,144.61,144.61,138.85,140.56,140.2665,1634968,0.0,1.0,58.87
26,PXD,2019-03-21,144.32,146.6,143.04,145.59,145.286,1436509,0.0,1.0,59.98
27,PXD,2019-03-20,138.31,145.59,137.77,144.44,144.1384,2416957,0.0,1.0,60.12
28,PXD,2019-03-19,138.91,139.81,137.35,138.21,137.9214,1900265,0.0,1.0,59.12
29,PXD,2019-03-18,136.3,138.65,135.5,138.58,138.2906,1573260,0.0,1.0,59.09
30,PXD,2019-03-15,135.32,136.3678,133.84,135.67,135.3867,1813074,0.0,1.0,58.51
31,PXD,2019-03-14,135.38,137.58,135.38,136.37,136.0852,1272935,0.0,1.0,58.59
32,PXD,2019-03-13,136.06,136.4,134.425,135.68,135.3967,1809153,0.0,1.0,58.27
33,PXD,2019-03-12,133.27,135.88,132.68,135.03,134.748,1709229,0.0,1.0,56.89
34,PXD,2019-03-11,131.14,132.6599,129.68,132.44,132.1634,1609994,0.0,1.0,56.79
35,PXD,2019-03-08,133.52,133.81,130.07,130.36,130.0878,1969555,0.0,1.0,55.77
36,PXD,2019-03-07,139.42,139.72,136.08,136.32,136.0353,1511223,0.0,1.0,56.6
37,PXD,2019-03-06,141.2,141.67,137.85,138.75,138.4602,1400298,0.0,1.0,56.22
38,PXD,2019-03-05,144.41,144.55,141.37,142.36,142.0627,1310952,0.0,1.0,56.55
39,PXD,2019-03-04,144.71,146.23,142.94,144.05,143.7492,1818024,0.0,1.0,56.6
40,PXD,2019-03-01,141.5,144.55,141.5,144.46,144.1583,2402258,0.0,1.0,55.76
41,PXD,2019-02-28,142.05,142.05,139.55,140.95,140.6556,1828664,0.0,1.0,57.21
42,PXD,2019-02-27,143.3,144.9,141.285,141.57,141.2744,1742094,0.0,1.0,56.92
43,PXD,2019-02-26,142.73,144.54,142.35,142.76,142.4619,1866556,0.0,1.0,55.4
44,PXD,2019-02-25,141.19,143.04,140.475,142.93,142.6315,3228143,0.0,1.0,55.32
45,PXD,2019-02-22,138.38,142.17,138.335,142.13,141.8332,2650717,0.0,1.0,57.01
46,PXD,2019-02-21,140.63,141.12,134.925,136.15,135.8657,2341804,0.0,1.0,56.95
47,PXD,2019-02-20,145.31,145.83,141.12,141.28,140.985,2266643,0.0,1.0,56.9
48,PXD,2019-02-19,143.97,146.09,143.25,145.56,145.256,2023692,0.0,1.0,56.12
49,PXD,2019-02-15,145.27,146.96,144.48,145.35,145.0465,2466470,0.0,1.0,55.58
50,PXD,2019-02-14,138.49,144.67,138.49,143.08,142.7812,4731506,0.0,1.0,54.4
51,PXD,2019-02-13,141.61,145.95,141.55,145.95,145.6452,2777804,0.0,1.0,53.84
52,PXD,2019-02-12,139.68,141.77,139.1,141.39,141.0947,2102806,0.0,1.0,53.14
53,PXD,2019-02-11,134.44,137.8,134.22,137.65,137.3625,1123825,0.0,1.0,52.43
54,PXD,2019-02-08,136.34,136.73,132.0,135.71,135.4266,1580964,0.0,1.0,52.75
55,PXD,2019-02-07,140.71,141.01,135.17,136.79,136.5043,1837404,0.0,1.0,52.68
56,PXD,2019-02-06,142.31,143.82,141.69,141.79,141.4939,1260053,0.0,1.0,53.94
57,PXD,2019-02-05,143.77,144.47,142.56,143.59,143.2901,1562396,0.0,1.0,53.69
58,PXD,2019-02-04,141.72,144.58,140.98,144.57,144.2681,994319,0.0,1.0,54.57
59,PXD,2019-02-01,142.99,144.465,141.985,143.01,142.7113,1309391,0.0,1.0,55.29
60,PXD,2019-01-31,141.63,142.875,139.9312,142.32,142.0228,1950195,0.0,1.0,53.84
61,PXD,2019-01-30,140.85,141.97,137.88,141.51,141.2145,1735223,0.0,1.0,54.18
62,PXD,2019-01-29,141.22,141.51,139.79,140.2,139.9072,1059968,0.0,1.0,53.07
63,PXD,2019-01-28,138.42,140.53,137.4147,139.71,139.4182,1487841,0.0,1.0,51.79
64,PXD,2019-01-25,139.59,141.94,139.37,140.23,139.9371,1199600,0.0,1.0,53.53
65,PXD,2019-01-24,137.05,139.48,136.71,138.31,138.0212,1413569,0.0,1.0,52.94
