,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,RICE,2017-11-13,29.32,29.32,29.32,29.32,29.32,0,0.0,1.0,56.77
1,RICE,2017-11-10,29.62,29.72,29.14,29.32,29.32,26809143,0.0,1.0,56.75
2,RICE,2017-11-09,29.14,29.68,29.14,29.66,29.66,8289737,0.0,1.0,57.16
3,RICE,2017-11-08,28.71,29.25,28.52,29.13,29.13,3203329,0.0,1.0,56.82
4,RICE,2017-11-07,28.88,29.0,28.49,28.65,28.65,3669704,0.0,1.0,57.19
5,RICE,2017-11-06,28.6,28.97,28.4,28.93,28.93,5031151,0.0,1.0,57.34
6,RICE,2017-11-03,28.21,28.65,27.74,28.45,28.45,7537599,0.0,1.0,55.63
7,RICE,2017-11-02,28.1,28.54,28.0,28.27,28.27,3750458,0.0,1.0,54.55
8,RICE,2017-11-01,28.44,28.7,28.15,28.21,28.21,5394629,0.0,1.0,54.32
9,RICE,2017-10-31,27.95,28.57,27.94,28.35,28.35,6911171,0.0,1.0,54.36
10,RICE,2017-10-30,28.44,28.69,27.93,28.04,28.04,9728177,0.0,1.0,54.11
11,RICE,2017-10-27,26.25,29.15,26.13,28.51,28.51,24373401,0.0,1.0,53.92
12,RICE,2017-10-26,26.74,26.74,25.57,26.29,26.29,13551511,0.0,1.0,52.41
13,RICE,2017-10-25,28.26,28.39,26.77,26.77,26.77,10179248,0.0,1.0,51.97
14,RICE,2017-10-24,28.19,28.5,28.12,28.36,28.36,5618894,0.0,1.0,52.32
15,RICE,2017-10-23,28.2,28.73,28.06,28.09,28.09,5772408,0.0,1.0,51.91
16,RICE,2017-10-20,27.9,28.28,27.78,28.12,28.12,5406472,0.0,1.0,51.63
17,RICE,2017-10-19,27.49,27.91,27.45,27.87,27.87,8755680,0.0,1.0,51.29
18,RICE,2017-10-18,27.73,27.96,27.54,27.69,27.69,3550007,0.0,1.0,52.05
19,RICE,2017-10-17,27.37,27.83,27.3,27.81,27.81,3280843,0.0,1.0,51.87
20,RICE,2017-10-16,27.57,27.72,27.15,27.32,27.32,3388792,0.0,1.0,51.86
21,RICE,2017-10-13,27.94,27.94,27.48,27.52,27.52,3421365,0.0,1.0,51.43
22,RICE,2017-10-12,27.28,27.81,27.18,27.73,27.73,3152104,0.0,1.0,50.61
23,RICE,2017-10-11,27.48,27.58,27.33,27.45,27.45,4814137,0.0,1.0,51.3
24,RICE,2017-10-10,27.65,27.66,27.25,27.44,27.44,5807673,0.0,1.0,50.93
25,RICE,2017-10-09,27.71,27.89,27.19,27.37,27.37,7848539,0.0,1.0,49.58
26,RICE,2017-10-06,28.25,28.42,27.66,27.74,27.74,10864324,0.0,1.0,49.34
27,RICE,2017-10-05,28.5,28.93,28.43,28.59,28.59,5441208,0.0,1.0,50.79
28,RICE,2017-10-04,28.58,28.64,28.02,28.41,28.41,6601168,0.0,1.0,50.0
29,RICE,2017-10-03,28.99,29.12,28.44,28.51,28.51,4050981,0.0,1.0,50.44
