,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,RRC,2019-04-29,9.2,9.54,9.14,9.39,9.39,7067956,0.0,1.0,63.39
1,RRC,2019-04-26,9.37,9.61,9.18,9.24,9.24,9462150,0.0,1.0,63.29
2,RRC,2019-04-25,9.62,9.685,9.22,9.41,9.41,11082025,0.0,1.0,65.23
3,RRC,2019-04-24,9.78,10.015,9.68,9.76,9.76,8639820,0.0,1.0,65.96
4,RRC,2019-04-23,10.01,10.49,9.63,9.68,9.68,17216430,0.0,1.0,66.24
5,RRC,2019-04-22,9.85,9.94,9.57,9.83,9.83,12879281,0.0,1.0,65.66
6,RRC,2019-04-18,10.15,10.2,9.68,9.75,9.75,12196463,0.0,1.0,64.02
7,RRC,2019-04-17,10.42,10.52,10.04,10.15,10.15,7118708,0.0,1.0,63.74
8,RRC,2019-04-16,10.21,10.45,9.91,10.36,10.36,8637589,0.0,1.0,64.01
9,RRC,2019-04-15,10.24,10.4127,9.965,10.16,10.16,8621329,0.0,1.0,63.43
10,RRC,2019-04-12,10.72,10.78,10.255,10.32,10.32,8495721,0.0,1.0,63.86
11,RRC,2019-04-11,10.45,10.54,10.19,10.34,10.34,5534657,0.0,1.0,63.61
12,RRC,2019-04-10,10.63,10.82,10.5,10.55,10.55,5661052,0.0,1.0,64.62
13,RRC,2019-04-09,10.93,10.96,10.54,10.59,10.59,5961101,0.0,1.0,64.05
14,RRC,2019-04-08,10.93,11.11,10.8,10.91,10.91,5467538,0.0,1.0,64.37
15,RRC,2019-04-05,10.55,10.87,10.55,10.82,10.82,4825239,0.0,1.0,63.1
16,RRC,2019-04-04,10.27,10.55,10.13,10.55,10.55,7181576,0.0,1.0,62.12
17,RRC,2019-04-03,10.91,10.93,10.18,10.24,10.24,9407636,0.0,1.0,62.46
18,RRC,2019-04-02,11.15,11.175,10.84,10.88,10.88,4107516,0.0,1.0,62.53
19,RRC,2019-04-01,11.37,11.42,11.06,11.14,11.14,4835002,0.0,1.0,61.59
20,RRC,2019-03-29,11.32,11.38,11.1219,11.24,11.24,5186320,0.0,1.0,60.19
21,RRC,2019-03-28,10.76,11.27,10.57,11.21,11.21,5714274,0.0,1.0,59.29
22,RRC,2019-03-27,11.0,11.0533,10.67,10.77,10.77,4944603,0.0,1.0,59.39
23,RRC,2019-03-26,11.12,11.29,10.865,11.06,11.06,5889879,0.0,1.0,59.87
24,RRC,2019-03-25,10.81,11.089,10.58,10.97,10.97,5219234,0.0,1.0,58.71
25,RRC,2019-03-22,11.27,11.29,10.7,10.87,10.87,4906419,0.0,1.0,58.87
26,RRC,2019-03-21,11.33,11.54,11.27,11.47,11.47,5626600,0.0,1.0,59.98
27,RRC,2019-03-20,10.7,11.47,10.66,11.31,11.31,6056576,0.0,1.0,60.12
28,RRC,2019-03-19,11.07,11.1,10.7,10.76,10.76,4388455,0.0,1.0,59.12
29,RRC,2019-03-18,10.56,10.9,10.55,10.88,10.88,4318493,0.0,1.0,59.09
30,RRC,2019-03-15,10.73,10.83,10.42,10.52,10.52,10486857,0.0,1.0,58.51
31,RRC,2019-03-14,10.78,10.96,10.775,10.89,10.89,5427977,0.02,1.0,58.59
32,RRC,2019-03-13,10.51,10.8558,10.48,10.81,10.7902,7740313,0.0,1.0,58.27
33,RRC,2019-03-12,9.93,10.425,9.905,10.39,10.371,5991399,0.0,1.0,56.89
34,RRC,2019-03-11,9.83,9.96,9.7,9.85,9.8319,5614575,0.0,1.0,56.79
35,RRC,2019-03-08,10.17,10.2,9.78,9.79,9.7721,6145691,0.0,1.0,55.77
36,RRC,2019-03-07,10.65,10.65,10.25,10.32,10.3011,5821891,0.0,1.0,56.6
37,RRC,2019-03-06,10.86,10.895,10.55,10.6,10.5806,5262494,0.0,1.0,56.22
38,RRC,2019-03-05,11.14,11.14,10.84,10.95,10.9299,7025855,0.0,1.0,56.55
39,RRC,2019-03-04,10.9,11.3,10.88,11.13,11.1096,8728027,0.0,1.0,56.6
