,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,RSPP,2018-07-19,47.83,47.83,47.83,47.83,47.83,0,0.0,0.32,69.42
1,RSPP,2018-07-18,48.01,48.19,46.75,47.83,149.4688,6685022,0.0,1.0,68.78
2,RSPP,2018-07-17,47.17,47.69,46.53,47.36,148.0,3597108,0.0,1.0,68.03
3,RSPP,2018-07-16,46.71,47.54,46.57,47.26,147.6875,2414266,0.0,1.0,68.22
4,RSPP,2018-07-13,46.43,47.86,46.2563,47.33,147.9063,1367167,0.0,1.0,71.03
5,RSPP,2018-07-12,46.2,46.55,45.14,46.48,145.25,892559,0.0,1.0,70.28
6,RSPP,2018-07-11,46.0,46.7,45.51,46.02,143.8125,1149555,0.0,1.0,70.47
7,RSPP,2018-07-10,46.65,47.3,46.11,46.42,145.0625,1198737,0.0,1.0,74.11
8,RSPP,2018-07-09,45.35,46.53,45.35,46.37,144.9063,1174944,0.0,1.0,73.93
9,RSPP,2018-07-06,43.39,45.235,43.135,45.12,141.0,750950,0.0,1.0,73.78
10,RSPP,2018-07-05,43.73,44.0,43.09,43.83,136.9688,1234265,0.0,1.0,73.05
11,RSPP,2018-07-03,43.88,44.43,43.26,43.47,135.8438,388919,0.0,1.0,74.19
12,RSPP,2018-07-02,43.61,43.61,42.52,43.18,134.9375,1107979,0.0,1.0,73.89
13,RSPP,2018-06-29,43.67,44.74,43.67,44.02,137.5625,952162,0.0,1.0,74.13
14,RSPP,2018-06-28,43.97,44.14,43.05,43.68,136.5,1509582,0.0,1.0,73.45
15,RSPP,2018-06-27,42.47,44.5,42.25,44.0,137.5,2966498,0.0,1.0,77.41
16,RSPP,2018-06-26,39.87,42.1,39.85,41.85,130.7813,1482651,0.0,1.0,75.23
17,RSPP,2018-06-25,40.36,40.75,39.56,39.82,124.4375,944289,0.0,1.0,69.91
18,RSPP,2018-06-22,41.23,41.23,40.25,40.55,126.7188,1753117,0.0,1.0,69.02
19,RSPP,2018-06-21,41.61,41.61,39.39,39.59,123.7188,1525678,0.0,1.0,65.68
20,RSPP,2018-06-20,41.87,42.0175,40.73,41.78,130.5625,3168612,0.0,1.0,65.92
21,RSPP,2018-06-19,40.17,41.89,39.99,41.46,129.5625,1905714,0.0,1.0,65.09
22,RSPP,2018-06-18,39.89,41.56,39.65,40.83,127.5938,2246728,0.0,1.0,65.91
23,RSPP,2018-06-15,40.25,40.44,39.68,39.87,124.5938,2136213,0.0,1.0,65.01
24,RSPP,2018-06-14,42.21,42.23,40.37,40.5,126.5625,822591,0.0,1.0,66.91
25,RSPP,2018-06-13,42.41,42.62,41.69,41.82,130.6875,863519,0.0,1.0,66.63
26,RSPP,2018-06-12,41.32,42.91,41.18,42.56,133.0,1211462,0.0,1.0,66.38
27,RSPP,2018-06-11,40.7,41.48,40.62,41.27,128.9688,879708,0.0,1.0,66.1
28,RSPP,2018-06-08,41.36,41.5,40.34,40.76,127.375,1038479,0.0,1.0,65.77
29,RSPP,2018-06-07,40.52,41.88,40.52,41.42,129.4375,1012014,0.0,1.0,65.96
30,RSPP,2018-06-06,40.49,40.73,39.88,40.35,126.0938,1997617,0.0,1.0,64.75
31,RSPP,2018-06-05,40.3,40.79,39.31,40.17,125.5313,2105057,0.0,1.0,65.51
32,RSPP,2018-06-04,41.14,41.64,40.16,40.38,126.1875,1941183,0.0,1.0,64.76
33,RSPP,2018-06-01,43.84,43.84,40.035,41.09,128.4063,4873697,0.0,1.0,65.81
34,RSPP,2018-05-31,44.28,44.9,43.49,43.74,136.6875,2000666,0.0,1.0,66.98
35,RSPP,2018-05-30,43.84,44.92,43.61,44.66,139.5625,864169,0.0,1.0,68.24
36,RSPP,2018-05-29,43.7,44.32,42.99,43.39,135.5938,1687656,0.0,1.0,66.8
37,RSPP,2018-05-25,43.67,44.56,43.4,44.16,138.0,1747220,0.0,1.0,67.92
38,RSPP,2018-05-24,44.43,45.85,44.25,45.17,141.1563,1768944,0.0,1.0,70.77
39,RSPP,2018-05-23,46.21,46.258,44.65,45.46,142.0625,5035007,0.0,1.0,71.85
40,RSPP,2018-05-22,48.89,49.11,46.44,46.64,145.75,990645,0.0,1.0,72.09
41,RSPP,2018-05-21,49.09,49.24,48.51,48.87,152.7188,1232476,0.0,1.0,72.26
42,RSPP,2018-05-18,48.8,48.94,48.46,48.61,151.9063,1003984,0.0,1.0,71.23
43,RSPP,2018-05-17,47.39,49.135,47.37,49.0,153.125,1503076,0.0,1.0,71.47
44,RSPP,2018-05-16,47.36,47.735,46.965,47.31,147.8438,1016801,0.0,1.0,71.43
45,RSPP,2018-05-15,47.78,47.98,47.01,47.35,147.9688,1394890,0.0,1.0,71.34
46,RSPP,2018-05-14,48.4,48.67,47.69,47.78,149.3125,2136808,0.0,1.0,71.01
47,RSPP,2018-05-11,49.43,49.56,48.125,48.18,150.5625,1385221,0.0,1.0,70.69
48,RSPP,2018-05-10,50.67,50.91,49.14,49.37,154.2813,839492,0.0,1.0,71.36
49,RSPP,2018-05-09,50.91,51.36,50.12,50.31,157.2188,1851473,0.0,1.0,71.16
50,RSPP,2018-05-08,48.99,50.26,47.9,50.26,157.0625,1372844,0.0,1.0,68.83
51,RSPP,2018-05-07,48.66,49.85,48.55,49.02,153.1875,1523578,0.0,1.0,70.74
