,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,SM,2019-04-29,16.01,16.29,15.71,16.12,16.12,2023413,0.0,1.0,63.39
1,SM,2019-04-26,16.23,16.34,15.7,15.96,15.96,2289245,0.0,1.0,63.29
2,SM,2019-04-25,17.17,17.31,16.46,16.46,16.46,2162607,0.05,1.0,65.23
3,SM,2019-04-24,18.6,18.695,17.3184,17.35,17.2975,2361062,0.0,1.0,65.96
4,SM,2019-04-23,18.59,18.92,18.26,18.48,18.424,1698753,0.0,1.0,66.24
5,SM,2019-04-22,17.98,18.79,17.95,18.55,18.4938,3002062,0.0,1.0,65.66
6,SM,2019-04-18,17.53,17.77,17.31,17.53,17.4769,2549574,0.0,1.0,64.02
7,SM,2019-04-17,17.62,17.915,17.475,17.58,17.5268,2272430,0.0,1.0,63.74
8,SM,2019-04-16,17.81,18.0,17.31,17.91,17.8558,2583647,0.0,1.0,64.01
9,SM,2019-04-15,18.19,18.28,17.745,17.75,17.6962,2181429,0.0,1.0,63.43
10,SM,2019-04-12,18.07,18.32,17.615,18.31,18.2545,2577452,0.0,1.0,63.86
11,SM,2019-04-11,18.15,18.28,17.24,17.29,17.2376,2532348,0.0,1.0,63.61
12,SM,2019-04-10,17.89,18.305,17.71,18.16,18.105,1935817,0.0,1.0,64.62
13,SM,2019-04-09,18.2,18.3,17.66,17.72,17.6663,1846539,0.0,1.0,64.05
14,SM,2019-04-08,18.17,18.55,18.0,18.25,18.1947,2303322,0.0,1.0,64.37
15,SM,2019-04-05,17.36,18.19,17.35,18.15,18.095,2480065,0.0,1.0,63.1
16,SM,2019-04-04,16.61,17.4,16.52,17.32,17.2675,2534268,0.0,1.0,62.12
17,SM,2019-04-03,17.78,17.79,16.44,16.61,16.5597,3510355,0.0,1.0,62.46
18,SM,2019-04-02,17.72,18.07,17.54,17.65,17.5965,1907743,0.0,1.0,62.53
19,SM,2019-04-01,17.76,18.01,17.46,17.72,17.6663,1649426,0.0,1.0,61.59
20,SM,2019-03-29,17.73,17.91,17.405,17.49,17.437,2171797,0.0,1.0,60.19
21,SM,2019-03-28,16.8,17.28,16.8,17.2,17.1479,1636675,0.0,1.0,59.29
22,SM,2019-03-27,17.05,17.32,16.73,17.04,16.9884,2099205,0.0,1.0,59.39
23,SM,2019-03-26,16.94,17.41,16.86,16.99,16.9385,2488271,0.0,1.0,59.87
24,SM,2019-03-25,16.39,16.67,16.02,16.44,16.3902,2862296,0.0,1.0,58.71
25,SM,2019-03-22,16.96,16.98,16.02,16.41,16.3603,2917465,0.0,1.0,58.87
26,SM,2019-03-21,16.53,17.35,16.48,17.29,17.2376,2009311,0.0,1.0,59.98
27,SM,2019-03-20,15.52,16.74,15.4501,16.46,16.4102,2514915,0.0,1.0,60.12
28,SM,2019-03-19,16.34,16.35,15.4,15.52,15.473,2349973,0.0,1.0,59.12
29,SM,2019-03-18,15.93,16.2,15.87,16.08,16.0313,2875890,0.0,1.0,59.09
30,SM,2019-03-15,15.69,15.86,15.55,15.7,15.6525,3005360,0.0,1.0,58.51
31,SM,2019-03-14,16.32,16.5899,15.86,15.92,15.8718,1618503,0.0,1.0,58.59
32,SM,2019-03-13,16.33,16.68,15.95,16.33,16.2805,2133881,0.0,1.0,58.27
33,SM,2019-03-12,15.2,15.84,15.14,15.8,15.7522,2152819,0.0,1.0,56.89
34,SM,2019-03-11,15.19,15.4187,14.87,14.98,14.9346,3034142,0.0,1.0,56.79
35,SM,2019-03-08,15.3,15.35,14.75,15.07,15.0244,2489298,0.0,1.0,55.77
36,SM,2019-03-07,16.09,16.18,15.65,15.79,15.7422,1783046,0.0,1.0,56.6
37,SM,2019-03-06,16.49,16.575,16.03,16.05,16.0014,1557720,0.0,1.0,56.22
38,SM,2019-03-05,16.89,17.05,16.5,16.62,16.5697,1683414,0.0,1.0,56.55
39,SM,2019-03-04,16.82,16.97,16.35,16.86,16.8089,1979636,0.0,1.0,56.6
40,SM,2019-03-01,16.49,16.82,16.14,16.53,16.4799,1904740,0.0,1.0,55.76
41,SM,2019-02-28,16.74,16.74,15.96,16.34,16.2905,2064384,0.0,1.0,57.21
42,SM,2019-02-27,16.56,17.21,16.27,16.65,16.5996,2304272,0.0,1.0,56.92
43,SM,2019-02-26,16.7,17.33,16.31,16.42,16.3703,3116698,0.0,1.0,55.4
44,SM,2019-02-25,16.63,16.96,16.39,16.89,16.8388,3242538,0.0,1.0,55.32
45,SM,2019-02-22,17.23,17.61,16.47,16.89,16.8388,4400195,0.0,1.0,57.01
