,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,SWN,2019-04-29,4.14,4.19,4.03,4.12,4.12,17921577,0.0,1.0,63.39
1,SWN,2019-04-26,4.26,4.425,4.07,4.14,4.14,35863131,0.0,1.0,63.29
2,SWN,2019-04-25,4.17,4.22,4.02,4.06,4.06,25529066,0.0,1.0,65.23
3,SWN,2019-04-24,4.21,4.22,4.12,4.16,4.16,15648333,0.0,1.0,65.96
4,SWN,2019-04-23,4.16,4.29,4.12,4.15,4.15,26401606,0.0,1.0,66.24
5,SWN,2019-04-22,4.24,4.29,4.04,4.16,4.16,22392239,0.0,1.0,65.66
6,SWN,2019-04-18,4.44,4.46,4.13,4.15,4.15,31266170,0.0,1.0,64.02
7,SWN,2019-04-17,4.61,4.62,4.4,4.46,4.46,15475880,0.0,1.0,63.74
8,SWN,2019-04-16,4.58,4.6,4.505,4.58,4.58,10706974,0.0,1.0,64.01
9,SWN,2019-04-15,4.56,4.69,4.5,4.56,4.56,10568265,0.0,1.0,63.43
10,SWN,2019-04-12,4.58,4.61,4.51,4.59,4.59,12776911,0.0,1.0,63.86
11,SWN,2019-04-11,4.69,4.715,4.44,4.47,4.47,24893496,0.0,1.0,63.61
12,SWN,2019-04-10,4.86,4.9,4.68,4.73,4.73,13607491,0.0,1.0,64.62
13,SWN,2019-04-09,4.77,4.89,4.685,4.82,4.82,16202427,0.0,1.0,64.05
14,SWN,2019-04-08,4.72,4.83,4.72,4.77,4.77,18456490,0.0,1.0,64.37
15,SWN,2019-04-05,4.65,4.73,4.6,4.71,4.71,12713035,0.0,1.0,63.1
16,SWN,2019-04-04,4.5,4.65,4.47,4.65,4.65,13014780,0.0,1.0,62.12
17,SWN,2019-04-03,4.61,4.68,4.42,4.49,4.49,17156926,0.0,1.0,62.46
18,SWN,2019-04-02,4.68,4.68,4.545,4.6,4.6,15724385,0.0,1.0,62.53
19,SWN,2019-04-01,4.74,4.765,4.62,4.67,4.67,13903554,0.0,1.0,61.59
20,SWN,2019-03-29,4.74,4.77,4.65,4.69,4.69,16458756,0.0,1.0,60.19
21,SWN,2019-03-28,4.53,4.71,4.52,4.7,4.7,16695812,0.0,1.0,59.29
22,SWN,2019-03-27,4.56,4.68,4.47,4.54,4.54,16597975,0.0,1.0,59.39
23,SWN,2019-03-26,4.57,4.7,4.54,4.58,4.58,20751371,0.0,1.0,59.87
24,SWN,2019-03-25,4.42,4.58,4.38,4.47,4.47,14629365,0.0,1.0,58.71
25,SWN,2019-03-22,4.62,4.62,4.42,4.43,4.43,13479849,0.0,1.0,58.87
26,SWN,2019-03-21,4.57,4.73,4.56,4.71,4.71,17592071,0.0,1.0,59.98
27,SWN,2019-03-20,4.33,4.62,4.33,4.58,4.58,18822034,0.0,1.0,60.12
28,SWN,2019-03-19,4.56,4.57,4.34,4.36,4.36,13008174,0.0,1.0,59.12
29,SWN,2019-03-18,4.36,4.53,4.32,4.53,4.53,14417163,0.0,1.0,59.09
30,SWN,2019-03-15,4.36,4.44,4.28,4.32,4.32,24961983,0.0,1.0,58.51
31,SWN,2019-03-14,4.45,4.54,4.42,4.46,4.46,10705163,0.0,1.0,58.59
32,SWN,2019-03-13,4.45,4.525,4.37,4.47,4.47,12896860,0.0,1.0,58.27
33,SWN,2019-03-12,4.26,4.41,4.25,4.4,4.4,15819988,0.0,1.0,56.89
34,SWN,2019-03-11,4.3,4.3,4.13,4.23,4.23,19143687,0.0,1.0,56.79
35,SWN,2019-03-08,4.3,4.35,4.19,4.27,4.27,17214279,0.0,1.0,55.77
36,SWN,2019-03-07,4.66,4.6799,4.41,4.42,4.42,17546166,0.0,1.0,56.6
37,SWN,2019-03-06,4.64,4.7,4.55,4.63,4.63,18651015,0.0,1.0,56.22
38,SWN,2019-03-05,4.72,4.77,4.6,4.68,4.68,14935250,0.0,1.0,56.55
39,SWN,2019-03-04,4.59,4.779,4.56,4.72,4.72,22257646,0.0,1.0,56.6
40,SWN,2019-03-01,4.37,4.55,4.34,4.55,4.55,26087136,0.0,1.0,55.76
41,SWN,2019-02-28,4.33,4.34,4.19,4.23,4.23,17853075,0.0,1.0,57.21
42,SWN,2019-02-27,4.41,4.445,4.28,4.29,4.29,9592614,0.0,1.0,56.92
43,SWN,2019-02-26,4.42,4.56,4.31,4.34,4.34,13268098,0.0,1.0,55.4
44,SWN,2019-02-25,4.23,4.48,4.22,4.41,4.41,13170628,0.0,1.0,55.32
45,SWN,2019-02-22,4.34,4.36,4.2,4.24,4.24,11121196,0.0,1.0,57.01
46,SWN,2019-02-21,4.33,4.38,4.255,4.28,4.28,14511318,0.0,1.0,56.95
47,SWN,2019-02-20,4.17,4.36,4.16,4.33,4.33,12987507,0.0,1.0,56.9
48,SWN,2019-02-19,4.19,4.26,4.16,4.17,4.17,12068827,0.0,1.0,56.12
49,SWN,2019-02-15,4.06,4.19,4.02,4.19,4.19,16721848,0.0,1.0,55.58
50,SWN,2019-02-14,4.05,4.1,4.0,4.01,4.01,13604400,0.0,1.0,54.4
51,SWN,2019-02-13,4.01,4.13,4.0,4.05,4.05,15722507,0.0,1.0,53.84
52,SWN,2019-02-12,4.02,4.1,4.0,4.01,4.01,14432790,0.0,1.0,53.14
53,SWN,2019-02-11,3.8,3.995,3.775,3.94,3.94,15005151,0.0,1.0,52.43
54,SWN,2019-02-08,3.69,3.84,3.69,3.8,3.8,21353884,0.0,1.0,52.75
55,SWN,2019-02-07,3.94,3.96,3.635,3.72,3.72,31926056,0.0,1.0,52.68
56,SWN,2019-02-06,4.22,4.25,3.9,3.98,3.98,37830659,0.0,1.0,53.94
57,SWN,2019-02-05,4.34,4.42,4.23,4.24,4.24,13359206,0.0,1.0,53.69
58,SWN,2019-02-04,4.33,4.38,4.21,4.35,4.35,14932392,0.0,1.0,54.57
59,SWN,2019-02-01,4.4,4.43,4.32,4.38,4.38,13488083,0.0,1.0,55.29
60,SWN,2019-01-31,4.63,4.64,4.32,4.37,4.37,18265709,0.0,1.0,53.84
61,SWN,2019-01-30,4.48,4.65,4.45,4.6,4.6,11411886,0.0,1.0,54.18
62,SWN,2019-01-29,4.44,4.5,4.39,4.47,4.47,11722241,0.0,1.0,53.07
63,SWN,2019-01-28,4.42,4.47,4.36,4.39,4.39,12047573,0.0,1.0,51.79
64,SWN,2019-01-25,4.35,4.54,4.34,4.53,4.53,18197034,0.0,1.0,53.53
65,SWN,2019-01-24,4.21,4.38,4.17,4.35,4.35,12289413,0.0,1.0,52.94
66,SWN,2019-01-23,4.35,4.36,4.14,4.21,4.21,13490095,0.0,1.0,52.44
67,SWN,2019-01-22,4.53,4.55,4.26,4.27,4.27,17075633,0.0,1.0,52.59
68,SWN,2019-01-18,4.5,4.65,4.47,4.59,4.59,16633706,0.0,1.0,53.6
69,SWN,2019-01-17,4.35,4.48,4.31,4.45,4.45,12544453,0.0,1.0,51.83
70,SWN,2019-01-16,4.38,4.515,4.36,4.39,4.39,18338202,0.0,1.0,52.08
71,SWN,2019-01-15,4.41,4.49,4.34,4.41,4.41,12720860,0.0,1.0,51.8
72,SWN,2019-01-14,4.29,4.47,4.29,4.38,4.38,17454744,0.0,1.0,50.31
73,SWN,2019-01-11,4.26,4.4,4.23,4.35,4.35,13592676,0.0,1.0,51.44
74,SWN,2019-01-10,4.3,4.33,4.12,4.3,4.3,20156516,0.0,1.0,52.42
75,SWN,2019-01-09,4.16,4.37,4.12,4.37,4.37,22623832,0.0,1.0,52.19
76,SWN,2019-01-08,4.14,4.2,4.05,4.11,4.11,18597299,0.0,1.0,49.58
77,SWN,2019-01-07,3.95,4.18,3.87,4.07,4.07,22494020,0.0,1.0,48.27
78,SWN,2019-01-04,3.69,3.915,3.67,3.9,3.9,26295104,0.0,1.0,47.76
79,SWN,2019-01-03,3.72,3.795,3.55,3.64,3.64,21698507,0.0,1.0,46.92
80,SWN,2019-01-02,3.34,3.795,3.32,3.72,3.72,27989322,0.0,1.0,46.31
81,SWN,2018-12-28,3.68,3.7366,3.49,3.53,3.53,17809124,0.0,1.0,45.15
82,SWN,2018-12-27,3.58,3.68,3.48,3.68,3.68,19668196,0.0,1.0,44.48
83,SWN,2018-12-26,3.28,3.68,3.23,3.66,3.66,23954195,0.0,1.0,46.04
84,SWN,2018-12-21,3.46,3.5599,3.42,3.43,3.43,30170951,0.0,1.0,45.38
85,SWN,2018-12-20,3.54,3.68,3.425,3.46,3.46,24766146,0.0,1.0,45.64
86,SWN,2018-12-19,3.66,3.8,3.54,3.59,3.59,20992375,0.0,1.0,47.96
87,SWN,2018-12-18,3.66,3.76,3.63,3.66,3.66,16522008,0.0,1.0,46.12
88,SWN,2018-12-17,3.75,3.89,3.61,3.62,3.62,21921692,0.0,1.0,49.8
89,SWN,2018-12-14,4.1,4.15,3.79,3.8,3.8,26921860,0.0,1.0,51.26
90,SWN,2018-12-13,4.1,4.19,4.05,4.15,4.15,21774360,0.0,1.0,52.69
91,SWN,2018-12-12,4.27,4.31,4.06,4.08,4.08,22194886,0.0,1.0,51.04
92,SWN,2018-12-11,4.28,4.41,4.23,4.24,4.24,20973991,0.0,1.0,51.65
93,SWN,2018-12-10,4.33,4.44,4.2,4.22,4.22,19472056,0.0,1.0,51.07
94,SWN,2018-12-07,4.51,4.63,4.37,4.39,4.39,19106770,0.0,1.0,52.76
95,SWN,2018-12-06,4.39,4.46,4.28,4.42,4.42,23517716,0.0,1.0,51.54
96,SWN,2018-12-04,4.67,4.725,4.48,4.51,4.51,23660563,0.0,1.0,53.21
97,SWN,2018-12-03,4.94,4.96,4.54,4.64,4.64,31908417,0.0,1.0,52.98
98,SWN,2018-11-30,4.88,4.95,4.81,4.82,4.82,18939122,0.0,1.0,50.78
99,SWN,2018-11-29,4.94,5.02,4.84,4.92,4.92,19162945,0.0,1.0,51.46
100,SWN,2018-11-28,4.87,4.99,4.76,4.95,4.95,17089456,0.0,1.0,50.06
101,SWN,2018-11-27,5.01,5.0797,4.83,4.84,4.84,19294667,0.0,1.0,51.31
102,SWN,2018-11-26,5.14,5.23,5.0,5.05,5.05,14321113,0.0,1.0,51.46
103,SWN,2018-11-21,5.09,5.3,5.08,5.25,5.25,23881689,0.0,1.0,54.41
104,SWN,2018-11-20,5.23,5.28,4.97,5.05,5.05,26280323,0.0,1.0,53.39
105,SWN,2018-11-19,5.34,5.52,5.32,5.4,5.4,18939515,0.0,1.0,57.16
106,SWN,2018-11-16,5.46,5.53,5.29,5.39,5.39,22167656,0.0,1.0,56.49
107,SWN,2018-11-15,5.57,5.71,5.42,5.45,5.45,25017485,0.0,1.0,56.45
108,SWN,2018-11-14,6.01,6.08,5.53,5.73,5.73,33740658,0.0,1.0,56.16
109,SWN,2018-11-13,5.85,6.23,5.77,5.82,5.82,43052998,0.0,1.0,55.63
110,SWN,2018-11-12,5.85,5.93,5.72,5.79,5.79,16649540,0.0,1.0,59.85
111,SWN,2018-11-09,5.71,5.94,5.62,5.75,5.75,18874265,0.0,1.0,60.19
112,SWN,2018-11-08,5.78,5.92,5.695,5.71,5.71,17496809,0.0,1.0,60.71
113,SWN,2018-11-07,5.9,5.91,5.62,5.81,5.81,14453977,0.0,1.0,61.69
114,SWN,2018-11-06,5.88,5.97,5.73,5.83,5.83,14592638,0.0,1.0,62.16
115,SWN,2018-11-05,5.73,5.9,5.6,5.89,5.89,27404057,0.0,1.0,63.12
116,SWN,2018-11-02,5.5,5.52,5.31,5.4,5.4,17559458,0.0,1.0,63.12
117,SWN,2018-11-01,5.39,5.62,5.345,5.48,5.48,22728526,0.0,1.0,63.67
118,SWN,2018-10-31,5.28,5.44,5.21,5.34,5.34,21179577,0.0,1.0,65.31
119,SWN,2018-10-30,5.02,5.28,4.993,5.22,5.22,21980928,0.0,1.0,66.18
120,SWN,2018-10-29,4.96,5.205,4.88,5.03,5.03,28781352,0.0,1.0,67.0
121,SWN,2018-10-26,4.95,5.09,4.7315,4.94,4.94,26571322,0.0,1.0,67.58
122,SWN,2018-10-25,4.95,5.05,4.81,5.04,5.04,22654418,0.0,1.0,67.25
123,SWN,2018-10-24,5.33,5.33,4.85,4.86,4.86,20800475,0.0,1.0,66.56
124,SWN,2018-10-23,5.27,5.33,5.15,5.26,5.26,14922949,0.0,1.0,66.49
125,SWN,2018-10-22,5.53,5.6,5.335,5.37,5.37,18365578,0.0,1.0,69.25
126,SWN,2018-10-19,5.55,5.72,5.52,5.56,5.56,9854496,0.0,1.0,69.16
127,SWN,2018-10-18,5.4,5.62,5.4,5.55,5.55,18247785,0.0,1.0,68.63
128,SWN,2018-10-17,5.66,5.73,5.44,5.49,5.49,25542030,0.0,1.0,69.63
129,SWN,2018-10-16,5.61,5.74,5.54,5.67,5.67,14362715,0.0,1.0,71.93
130,SWN,2018-10-15,5.41,5.63,5.37,5.6,5.6,15473568,0.0,1.0,71.84
131,SWN,2018-10-12,5.5,5.51,5.238,5.34,5.34,19167105,0.0,1.0,71.41
132,SWN,2018-10-11,5.37,5.57,5.28,5.32,5.32,22434908,0.0,1.0,70.97
133,SWN,2018-10-10,5.76,5.78,5.49,5.5,5.5,22894490,0.0,1.0,73.18
134,SWN,2018-10-09,5.65,5.85,5.565,5.75,5.75,23569915,0.0,1.0,74.95
135,SWN,2018-10-08,5.25,5.72,5.205,5.63,5.63,26364486,0.0,1.0,74.27
136,SWN,2018-10-05,5.28,5.32,5.15,5.28,5.28,15112840,0.0,1.0,74.26
137,SWN,2018-10-04,5.3,5.44,5.21,5.27,5.27,24117064,0.0,1.0,74.44
138,SWN,2018-10-03,5.2,5.41,5.16,5.34,5.34,25116026,0.0,1.0,76.4
139,SWN,2018-10-02,5.14,5.305,5.12,5.16,5.16,22162240,0.0,1.0,75.16
140,SWN,2018-10-01,5.23,5.23,5.07,5.12,5.12,20428775,0.0,1.0,75.37
141,SWN,2018-09-28,5.15,5.23,5.07,5.11,5.11,26202890,0.0,1.0,73.16
142,SWN,2018-09-27,5.22,5.34,5.2,5.21,5.21,16363954,0.0,1.0,72.18
143,SWN,2018-09-26,5.67,5.7,5.16,5.17,5.17,42912133,0.0,1.0,72.22
144,SWN,2018-09-25,5.74,5.81,5.66,5.74,5.74,15859074,0.0,1.0,73.4
