,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,WLL,2019-04-29,27.64,28.3324,27.47,27.98,27.98,2264933,0.0,1.0,63.39
1,WLL,2019-04-26,27.81,28.07,26.9,27.69,27.69,4273484,0.0,1.0,63.29
2,WLL,2019-04-25,28.1,28.86,27.8,28.14,28.14,4202846,0.0,1.0,65.23
3,WLL,2019-04-24,29.39,29.44,27.91,28.0,28.0,4290263,0.0,1.0,65.96
4,WLL,2019-04-23,29.25,29.648,28.66,29.35,29.35,3578326,0.0,1.0,66.24
5,WLL,2019-04-22,28.39,29.35,28.045,29.35,29.35,6480660,0.0,1.0,65.66
6,WLL,2019-04-18,27.98,28.07,27.33,27.43,27.43,3473545,0.0,1.0,64.02
7,WLL,2019-04-17,29.07,29.2694,27.3391,27.87,27.87,5951919,0.0,1.0,63.74
8,WLL,2019-04-16,29.37,29.505,28.112,28.73,28.73,8302742,0.0,1.0,64.01
9,WLL,2019-04-15,30.2,30.79,29.91,30.07,30.07,2287541,0.0,1.0,63.43
10,WLL,2019-04-12,30.85,30.94,29.605,30.35,30.35,4946790,0.0,1.0,63.86
11,WLL,2019-04-11,30.12,30.42,29.46,30.06,30.06,3343929,0.0,1.0,63.61
12,WLL,2019-04-10,29.69,30.4337,29.52,30.3,30.3,3540440,0.0,1.0,64.62
13,WLL,2019-04-09,29.66,29.985,29.12,29.52,29.52,3576342,0.0,1.0,64.05
14,WLL,2019-04-08,29.6,30.54,29.49,29.77,29.77,5208323,0.0,1.0,64.37
15,WLL,2019-04-05,28.18,29.5,28.14,29.49,29.49,5027973,0.0,1.0,63.1
16,WLL,2019-04-04,26.7,27.9411,26.54,27.88,27.88,3988470,0.0,1.0,62.12
17,WLL,2019-04-03,27.33,28.03,26.425,26.65,26.65,5275969,0.0,1.0,62.46
18,WLL,2019-04-02,27.53,27.57,26.6764,27.17,27.17,6858660,0.0,1.0,62.53
19,WLL,2019-04-01,26.54,27.485,26.47,27.45,27.45,3540841,0.0,1.0,61.59
20,WLL,2019-03-29,26.69,26.86,26.05,26.14,26.14,2640883,0.0,1.0,60.19
21,WLL,2019-03-28,25.58,26.205,25.4,26.07,26.07,2991921,0.0,1.0,59.29
22,WLL,2019-03-27,25.85,26.29,25.42,25.92,25.92,3360875,0.0,1.0,59.39
23,WLL,2019-03-26,26.24,26.6565,25.6159,25.81,25.81,3698098,0.0,1.0,59.87
24,WLL,2019-03-25,25.56,25.64,24.78,25.54,25.54,2909526,0.0,1.0,58.71
25,WLL,2019-03-22,27.01,27.06,25.27,25.6,25.6,5549966,0.0,1.0,58.87
26,WLL,2019-03-21,26.74,27.44,26.49,27.39,27.39,4002195,0.0,1.0,59.98
27,WLL,2019-03-20,24.59,27.03,24.46,26.73,26.73,8173686,0.0,1.0,60.12
28,WLL,2019-03-19,25.53,25.7,24.34,24.59,24.59,5895423,0.0,1.0,59.12
29,WLL,2019-03-18,25.56,25.79,25.12,25.32,25.32,5419276,0.0,1.0,59.09
30,WLL,2019-03-15,24.8,25.57,24.61,25.52,25.52,22121060,0.0,1.0,58.51
31,WLL,2019-03-14,25.48,25.98,24.97,25.21,25.21,5818436,0.0,1.0,58.59
32,WLL,2019-03-13,25.07,25.73,24.69,25.52,25.52,9162194,0.0,1.0,58.27
33,WLL,2019-03-12,23.5,24.17,23.36,23.71,23.71,3827709,0.0,1.0,56.89
34,WLL,2019-03-11,22.91,23.383,22.67,23.27,23.27,3423338,0.0,1.0,56.79
35,WLL,2019-03-08,23.0,23.05,22.17,22.54,22.54,3621889,0.0,1.0,55.77
36,WLL,2019-03-07,24.64,24.77,23.65,23.85,23.85,3522510,0.0,1.0,56.6
37,WLL,2019-03-06,24.87,25.16,24.36,24.44,24.44,3556245,0.0,1.0,56.22
38,WLL,2019-03-05,25.6,25.79,24.745,25.18,25.18,4312420,0.0,1.0,56.55
39,WLL,2019-03-04,25.41,26.03,25.05,25.52,25.52,4472269,0.0,1.0,56.6
40,WLL,2019-03-01,24.62,25.65,24.57,25.05,25.05,4718662,0.0,1.0,55.76
41,WLL,2019-02-28,25.24,25.27,24.075,24.37,24.37,5399938,0.0,1.0,57.21
42,WLL,2019-02-27,25.05,26.46,24.26,25.01,25.01,12818992,0.0,1.0,56.92
43,WLL,2019-02-26,28.3,29.05,28.03,28.13,28.13,5062790,0.0,1.0,55.4
44,WLL,2019-02-25,28.72,29.31,28.31,28.34,28.34,3511269,0.0,1.0,55.32
45,WLL,2019-02-22,29.5,29.82,28.83,29.07,29.07,3190692,0.0,1.0,57.01
46,WLL,2019-02-21,29.7,29.88,28.83,29.07,29.07,3227602,0.0,1.0,56.95
47,WLL,2019-02-20,29.33,30.095,28.96,29.87,29.87,3229334,0.0,1.0,56.9
