,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,WPX,2019-04-29,14.06,14.22,13.955,14.09,14.09,6045326,0.0,1.0,63.39
1,WPX,2019-04-26,14.39,14.41,13.84,14.07,14.07,6767831,0.0,1.0,63.29
2,WPX,2019-04-25,14.78,14.87,14.5,14.52,14.52,5480892,0.0,1.0,65.23
3,WPX,2019-04-24,15.13,15.15,14.74,14.74,14.74,7624688,0.0,1.0,65.96
4,WPX,2019-04-23,15.26,15.325,14.84,15.09,15.09,6562212,0.0,1.0,66.24
5,WPX,2019-04-22,15.0,15.245,14.76,15.23,15.23,8631449,0.0,1.0,65.66
6,WPX,2019-04-18,14.7,14.86,14.61,14.74,14.74,7063880,0.0,1.0,64.02
7,WPX,2019-04-17,14.81,14.955,14.57,14.58,14.58,6857111,0.0,1.0,63.74
8,WPX,2019-04-16,14.55,14.79,14.39,14.65,14.65,8282193,0.0,1.0,64.01
9,WPX,2019-04-15,14.22,14.69,14.14,14.5,14.5,10439933,0.0,1.0,63.43
10,WPX,2019-04-12,14.15,14.39,13.98,14.31,14.31,16830312,0.0,1.0,63.86
11,WPX,2019-04-11,13.4,13.63,13.19,13.42,13.42,8448991,0.0,1.0,63.61
12,WPX,2019-04-10,13.52,13.65,13.33,13.48,13.48,7358289,0.0,1.0,64.62
13,WPX,2019-04-09,13.6,13.62,13.385,13.44,13.44,5366869,0.0,1.0,64.05
14,WPX,2019-04-08,13.67,13.91,13.555,13.69,13.69,6524711,0.0,1.0,64.37
15,WPX,2019-04-05,13.14,13.645,13.14,13.63,13.63,7987820,0.0,1.0,63.1
16,WPX,2019-04-04,12.89,13.19,12.59,13.05,13.05,8473144,0.0,1.0,62.12
17,WPX,2019-04-03,13.46,13.5,12.605,12.86,12.86,13753767,0.0,1.0,62.46
18,WPX,2019-04-02,14.02,14.0489,13.26,13.35,13.35,12957461,0.0,1.0,62.53
19,WPX,2019-04-01,13.3,13.54,13.245,13.53,13.53,8729654,0.0,1.0,61.59
