,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,XEC,2019-04-29,68.34,69.5,68.29,68.52,68.52,744873,0.0,1.0,63.39
1,XEC,2019-04-26,69.13,69.61,67.97,68.69,68.69,1044413,0.0,1.0,63.29
2,XEC,2019-04-25,70.86,71.445,69.66,69.67,69.67,813050,0.0,1.0,65.23
3,XEC,2019-04-24,71.27,72.46,70.765,70.86,70.86,1793687,0.0,1.0,65.96
4,XEC,2019-04-23,70.55,71.55,69.5768,71.24,71.24,1486311,0.0,1.0,66.24
5,XEC,2019-04-22,70.26,70.5,69.41,70.45,70.45,1619693,0.0,1.0,65.66
6,XEC,2019-04-18,69.08,69.52,67.95,69.3,69.3,1102194,0.0,1.0,64.02
7,XEC,2019-04-17,69.99,70.415,68.09,69.02,69.02,1284417,0.0,1.0,63.74
8,XEC,2019-04-16,69.76,70.0,68.61,69.57,69.57,1291370,0.0,1.0,64.01
9,XEC,2019-04-15,70.54,71.23,69.55,69.59,69.59,1133563,0.0,1.0,63.43
10,XEC,2019-04-12,70.48,71.34,69.13,70.83,70.83,2936042,0.0,1.0,63.86
11,XEC,2019-04-11,67.77,68.34,66.14,67.2,67.2,1052442,0.0,1.0,63.61
12,XEC,2019-04-10,67.29,68.37,66.91,67.97,67.97,1253893,0.0,1.0,64.62
13,XEC,2019-04-09,68.9,69.05,66.7,66.82,66.82,1096173,0.0,1.0,64.05
14,XEC,2019-04-08,69.42,70.29,68.49,69.32,69.32,1149017,0.0,1.0,64.37
15,XEC,2019-04-05,66.78,69.02,66.78,68.83,68.83,1593543,0.0,1.0,63.1
16,XEC,2019-04-04,65.69,67.05,64.57,66.48,66.48,2631966,0.0,1.0,62.12
17,XEC,2019-04-03,68.8,68.96,65.31,65.69,65.69,2125232,0.0,1.0,62.46
18,XEC,2019-04-02,70.37,71.28,68.48,68.57,68.57,958255,0.0,1.0,62.53
19,XEC,2019-04-01,70.56,71.08,69.8,70.06,70.06,1020801,0.0,1.0,61.59
20,XEC,2019-03-29,71.7,72.0601,69.69,69.9,69.9,1046542,0.0,1.0,60.19
21,XEC,2019-03-28,69.49,71.075,69.31,70.67,70.67,1153938,0.0,1.0,59.29
22,XEC,2019-03-27,70.1,70.63,69.21,70.18,70.18,973808,0.0,1.0,59.39
23,XEC,2019-03-26,68.85,70.62,68.23,70.11,70.11,1493431,0.0,1.0,59.87
24,XEC,2019-03-25,67.6,68.27,66.4,67.9,67.9,1145509,0.0,1.0,58.71
25,XEC,2019-03-22,71.81,71.84,67.03,67.9,67.9,1811016,0.0,1.0,58.87
26,XEC,2019-03-21,71.85,72.72,71.11,72.43,72.43,1157661,0.0,1.0,59.98
27,XEC,2019-03-20,70.57,72.71,70.46,72.08,72.08,1762033,0.0,1.0,60.12
28,XEC,2019-03-19,72.74,72.91,70.35,70.69,70.69,1160244,0.0,1.0,59.12
29,XEC,2019-03-18,70.59,72.1075,70.57,71.89,71.89,1773097,0.0,1.0,59.09
30,XEC,2019-03-15,70.03,70.63,69.58,70.06,70.06,1973737,0.0,1.0,58.51
31,XEC,2019-03-14,70.53,71.66,70.1908,70.52,70.52,1220825,0.0,1.0,58.59
32,XEC,2019-03-13,70.8,71.5,69.587,70.55,70.55,1034739,0.0,1.0,58.27
33,XEC,2019-03-12,69.23,70.32,68.84,70.03,70.03,1206207,0.0,1.0,56.89
34,XEC,2019-03-11,69.01,69.54,68.48,68.74,68.74,1466812,0.0,1.0,56.79
35,XEC,2019-03-08,69.74,69.74,67.61,68.29,68.29,1386998,0.0,1.0,55.77
36,XEC,2019-03-07,72.28,72.61,70.5985,71.39,71.39,1272156,0.0,1.0,56.6
37,XEC,2019-03-06,73.4,73.69,71.91,72.18,72.18,1967996,0.0,1.0,56.22
38,XEC,2019-03-05,75.21,75.49,73.04,73.54,73.54,2045587,0.0,1.0,56.55
39,XEC,2019-03-04,73.79,74.77,72.95,74.49,74.49,3188204,0.0,1.0,56.6
40,XEC,2019-03-01,72.4,73.74,72.1,73.08,73.08,1313704,0.0,1.0,55.76
41,XEC,2019-02-28,73.06,73.36,71.05,71.91,71.91,2285184,0.0,1.0,57.21
42,XEC,2019-02-27,73.09,74.97,72.55,72.64,72.64,1372838,0.0,1.0,56.92
43,XEC,2019-02-26,73.59,74.67,72.52,72.6,72.6,1289387,0.0,1.0,55.4
44,XEC,2019-02-25,73.79,74.83,73.34,73.72,73.72,1336727,0.0,1.0,55.32
45,XEC,2019-02-22,73.92,75.22,73.46,74.18,74.18,1572805,0.0,1.0,57.01
46,XEC,2019-02-21,74.98,76.18,71.88,73.32,73.32,3365149,0.0,1.0,56.95
47,XEC,2019-02-20,75.06,76.74,74.8,76.42,76.42,1628570,0.0,1.0,56.9
48,XEC,2019-02-19,75.28,76.09,74.32,75.07,75.07,1204089,0.0,1.0,56.12
49,XEC,2019-02-15,75.92,76.1992,74.19,75.99,75.99,1516493,0.0,1.0,55.58
50,XEC,2019-02-14,73.69,75.44,73.24,74.87,74.87,1228967,0.18,1.0,54.4
51,XEC,2019-02-13,73.01,75.0,73.01,74.31,74.1318,1073382,0.0,1.0,53.84
52,XEC,2019-02-12,73.69,74.66,72.53,72.9,72.7252,928677,0.0,1.0,53.14
53,XEC,2019-02-11,70.19,72.73,69.933,72.27,72.0967,1219881,0.0,1.0,52.43
54,XEC,2019-02-08,71.68,72.0,69.85,70.62,70.4506,1649203,0.0,1.0,52.75
55,XEC,2019-02-07,74.07,74.07,71.03,71.56,71.3884,1508145,0.0,1.0,52.68
56,XEC,2019-02-06,74.9,75.835,74.41,74.77,74.5907,761607,0.0,1.0,53.94
57,XEC,2019-02-05,76.21,76.68,75.37,75.64,75.4586,635269,0.0,1.0,53.69
58,XEC,2019-02-04,75.11,76.61,74.62,76.28,76.097,952303,0.0,1.0,54.57
59,XEC,2019-02-01,76.015,76.8,74.53,76.17,75.9873,1232651,0.0,1.0,55.29
60,XEC,2019-01-31,76.35,77.1,74.62,75.34,75.1593,1419292,0.0,1.0,53.84
61,XEC,2019-01-30,75.31,76.52,74.455,76.37,76.1868,1076588,0.0,1.0,54.18
62,XEC,2019-01-29,75.52,76.01,74.6,75.03,74.85,922952,0.0,1.0,53.07
63,XEC,2019-01-28,74.38,75.1,73.67,74.71,74.5308,1016146,0.0,1.0,51.79
64,XEC,2019-01-25,73.88,76.11,73.795,75.7,75.5184,1318055,0.0,1.0,53.53
65,XEC,2019-01-24,72.26,73.96,71.93,73.27,73.0943,842215,0.0,1.0,52.94
66,XEC,2019-01-23,73.95,74.16,71.45,72.38,72.2064,1046301,0.0,1.0,52.44
67,XEC,2019-01-22,73.76,74.5,72.77,73.47,73.2938,1790177,0.0,1.0,52.59
68,XEC,2019-01-18,74.24,75.3,73.54,74.74,74.5607,914470,0.0,1.0,53.6
69,XEC,2019-01-17,73.2,74.05,72.28,73.25,73.0743,1270420,0.0,1.0,51.83
70,XEC,2019-01-16,73.07,74.745,72.2,73.92,73.7427,1594250,0.0,1.0,52.08
71,XEC,2019-01-15,72.75,73.57,72.2,73.32,73.1441,1629078,0.0,1.0,51.8
72,XEC,2019-01-14,69.68,72.69,69.65,72.03,71.8572,1673191,0.0,1.0,50.31
73,XEC,2019-01-11,69.4,70.75,68.545,70.64,70.4706,1266489,0.0,1.0,51.44
74,XEC,2019-01-10,67.94,70.63,66.6,70.46,70.291,2014734,0.0,1.0,52.42
75,XEC,2019-01-09,68.61,69.8,66.54,68.71,68.5452,1958506,0.0,1.0,52.19
76,XEC,2019-01-08,67.02,67.87,66.48,67.43,67.2683,1499867,0.0,1.0,49.58
77,XEC,2019-01-07,65.27,67.21,64.26,66.36,66.2008,1217201,0.0,1.0,48.27
78,XEC,2019-01-04,63.1,64.93,62.83,64.93,64.7743,1709471,0.0,1.0,47.76
79,XEC,2019-01-03,62.51,63.35,61.11,61.84,61.6917,1230358,0.0,1.0,46.92
80,XEC,2019-01-02,60.37,63.47,60.01,62.71,62.5596,1193951,0.0,1.0,46.31
81,XEC,2018-12-28,62.28,62.9,59.88,61.25,61.1031,1520683,0.0,1.0,45.15
82,XEC,2018-12-27,61.75,61.98,59.06,61.98,61.8313,1576523,0.0,1.0,44.48
83,XEC,2018-12-26,57.89,62.08,55.62,61.99,61.8413,2011818,0.0,1.0,46.04
84,XEC,2018-12-21,61.69,62.9,60.0184,60.36,60.2152,2590721,0.0,1.0,45.38
85,XEC,2018-12-20,62.66,65.08,61.58,61.87,61.7216,1769625,0.0,1.0,45.64
86,XEC,2018-12-19,65.41,66.31,62.68,63.76,63.6071,1654619,0.0,1.0,47.96
87,XEC,2018-12-18,66.44,66.63,64.01,64.84,64.6845,1358082,0.0,1.0,46.12
88,XEC,2018-12-17,68.2,69.129,65.97,66.42,66.2607,1437395,0.0,1.0,49.8
89,XEC,2018-12-14,70.71,71.1951,68.0236,68.54,68.3756,1438175,0.0,1.0,51.26
90,XEC,2018-12-13,72.51,73.07,70.59,71.48,71.3086,1391103,0.0,1.0,52.69
91,XEC,2018-12-12,73.49,74.775,72.71,72.81,72.6354,1366303,0.0,1.0,51.04
92,XEC,2018-12-11,73.86,74.23,71.4,72.27,72.0967,1224546,0.0,1.0,51.65
93,XEC,2018-12-10,73.88,74.985,71.22,72.37,72.1964,1525710,0.0,1.0,51.07
94,XEC,2018-12-07,77.74,79.27,75.01,75.22,75.0396,2293339,0.0,1.0,52.76
95,XEC,2018-12-06,78.72,78.72,73.01,75.4,75.2192,2744089,0.0,1.0,51.54
96,XEC,2018-12-04,85.5,85.99,80.59,80.92,80.7259,1215946,0.0,1.0,53.21
97,XEC,2018-12-03,84.97,85.78,83.77,85.41,85.2052,1237464,0.0,1.0,52.98
98,XEC,2018-11-30,82.72,83.07,81.36,81.98,81.7834,1298771,0.0,1.0,50.78
99,XEC,2018-11-29,82.02,84.96,81.8803,83.6,83.3995,855071,0.0,1.0,51.46
100,XEC,2018-11-28,81.75,82.42,79.88,82.12,81.923,892640,0.0,1.0,50.06
101,XEC,2018-11-27,81.53,82.51,80.33,81.42,81.2247,1155202,0.0,1.0,51.31
102,XEC,2018-11-26,81.11,82.01,80.3436,81.62,81.4242,1403116,0.0,1.0,51.46
103,XEC,2018-11-21,84.06,85.2,83.2,83.86,83.6589,1321317,0.0,1.0,54.41
104,XEC,2018-11-20,86.64,87.145,82.58,83.14,82.9406,1977005,0.0,1.0,53.39
105,XEC,2018-11-19,82.76,89.78,82.1733,88.03,87.8189,3998390,0.0,1.0,57.16
106,XEC,2018-11-16,89.31,90.84,87.74,88.76,88.5471,1086175,0.0,1.0,56.49
107,XEC,2018-11-15,85.9,89.71,85.6725,88.9,88.6868,1079560,0.0,1.0,56.45
108,XEC,2018-11-14,86.94,87.96,85.44,86.57,86.3624,1418641,0.18,1.0,56.16
109,XEC,2018-11-13,86.0,88.04,84.375,84.56,84.1822,1523647,0.0,1.0,55.63
110,XEC,2018-11-12,91.22,91.22,85.84,86.19,85.8049,1481030,0.0,1.0,59.85
111,XEC,2018-11-09,89.03,91.25,87.68,90.32,89.9164,1654253,0.0,1.0,60.19
112,XEC,2018-11-08,93.67,95.62,90.1686,90.61,90.2051,2450894,0.0,1.0,60.71
113,XEC,2018-11-07,90.12,94.63,88.11,93.19,92.7736,4050559,0.0,1.0,61.69
114,XEC,2018-11-06,83.52,83.99,82.46,83.15,82.7785,1692651,0.0,1.0,62.16
115,XEC,2018-11-05,83.01,83.77,81.77,83.41,83.0373,1739644,0.0,1.0,63.12
116,XEC,2018-11-02,81.42,81.82,79.99,80.74,80.3792,1775137,0.0,1.0,63.12
117,XEC,2018-11-01,79.86,81.98,79.52,80.87,80.5086,2563299,0.0,1.0,63.67
118,XEC,2018-10-31,79.95,81.01,78.74,79.47,79.1149,3098510,0.0,1.0,65.31
119,XEC,2018-10-30,77.97,79.85,77.815,79.0,78.647,2121941,0.0,1.0,66.18
120,XEC,2018-10-29,82.06,83.14,77.63,78.52,78.1691,2211161,0.0,1.0,67.0
121,XEC,2018-10-26,81.83,83.0,79.9,81.93,81.5639,900333,0.0,1.0,67.58
122,XEC,2018-10-25,83.65,84.14,81.98,82.83,82.4599,1248158,0.0,1.0,67.25
123,XEC,2018-10-24,87.32,87.55,82.66,82.77,82.4002,1215547,0.0,1.0,66.56
124,XEC,2018-10-23,88.3,88.3,85.13,86.5,86.1135,1120386,0.0,1.0,66.49
125,XEC,2018-10-22,91.53,91.56,89.6,89.82,89.4187,872579,0.0,1.0,69.25
126,XEC,2018-10-19,91.15,93.5,91.14,91.65,91.2405,942227,0.0,1.0,69.16
127,XEC,2018-10-18,91.23,92.67,89.71,90.89,90.4839,1301345,0.0,1.0,68.63
