,company,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,crude_price
0,XOG,2019-04-29,4.85,4.9,4.67,4.73,4.73,4321795,0.0,1.0,63.39
1,XOG,2019-04-26,5.11,5.1255,4.7,4.82,4.82,5215473,0.0,1.0,63.29
2,XOG,2019-04-25,5.29,5.425,5.12,5.17,5.17,3414155,0.0,1.0,65.23
3,XOG,2019-04-24,5.48,5.49,5.23,5.24,5.24,7593723,0.0,1.0,65.96
4,XOG,2019-04-23,5.61,5.67,5.355,5.48,5.48,4685208,0.0,1.0,66.24
5,XOG,2019-04-22,5.13,5.6,5.09,5.59,5.59,6263855,0.0,1.0,65.66
6,XOG,2019-04-18,5.06,5.22,5.04,5.06,5.06,4482310,0.0,1.0,64.02
7,XOG,2019-04-17,5.04,5.135,4.87,5.06,5.06,6593995,0.0,1.0,63.74
8,XOG,2019-04-16,5.06,5.0975,4.88,5.02,5.02,2915275,0.0,1.0,64.01
9,XOG,2019-04-15,5.11,5.15,4.95,5.01,5.01,3588101,0.0,1.0,63.43
10,XOG,2019-04-12,5.14,5.24,5.0,5.12,5.12,4840508,0.0,1.0,63.86
11,XOG,2019-04-11,5.06,5.08,4.86,4.9,4.9,5411907,0.0,1.0,63.61
12,XOG,2019-04-10,5.03,5.115,4.94,5.08,5.08,3463019,0.0,1.0,64.62
13,XOG,2019-04-09,5.31,5.37,4.98,5.01,5.01,5099091,0.0,1.0,64.05
14,XOG,2019-04-08,5.35,5.52,5.21,5.36,5.36,4350535,0.0,1.0,64.37
15,XOG,2019-04-05,4.86,5.4275,4.86,5.3,5.3,7042357,0.0,1.0,63.1
16,XOG,2019-04-04,4.21,4.95,4.21,4.89,4.89,6360986,0.0,1.0,62.12
17,XOG,2019-04-03,4.33,4.345,4.19,4.28,4.28,5484082,0.0,1.0,62.46
18,XOG,2019-04-02,4.4,4.46,4.24,4.25,4.25,5924868,0.0,1.0,62.53
19,XOG,2019-04-01,4.31,4.46,4.23,4.37,4.37,4585014,0.0,1.0,61.59
20,XOG,2019-03-29,4.21,4.335,4.13,4.23,4.23,11623775,0.0,1.0,60.19
21,XOG,2019-03-28,4.14,4.19,4.04,4.17,4.17,6281345,0.0,1.0,59.29
22,XOG,2019-03-27,4.24,4.29,3.995,4.18,4.18,3680202,0.0,1.0,59.39
23,XOG,2019-03-26,4.2,4.31,4.125,4.23,4.23,3364955,0.0,1.0,59.87
24,XOG,2019-03-25,4.16,4.17,4.01,4.15,4.15,6513813,0.0,1.0,58.71
25,XOG,2019-03-22,4.41,4.41,4.15,4.19,4.19,3935669,0.0,1.0,58.87
26,XOG,2019-03-21,4.4,4.48,4.33,4.46,4.46,4971553,0.0,1.0,59.98
27,XOG,2019-03-20,4.28,4.46,4.16,4.4,4.4,9578944,0.0,1.0,60.12
28,XOG,2019-03-19,4.27,4.32,4.21,4.29,4.29,2877890,0.0,1.0,59.12
29,XOG,2019-03-18,3.99,4.3,3.94,4.24,4.24,3814756,0.0,1.0,59.09
30,XOG,2019-03-15,4.05,4.11,3.95,3.96,3.96,7089185,0.0,1.0,58.51
31,XOG,2019-03-14,4.02,4.13,3.99,4.08,4.08,2683752,0.0,1.0,58.59
32,XOG,2019-03-13,3.86,4.08,3.86,4.04,4.04,3561025,0.0,1.0,58.27
33,XOG,2019-03-12,3.78,3.88,3.73,3.81,3.81,4949094,0.0,1.0,56.89
34,XOG,2019-03-11,3.63,3.78,3.525,3.76,3.76,6348007,0.0,1.0,56.79
35,XOG,2019-03-08,3.77,3.795,3.58,3.62,3.62,6301125,0.0,1.0,55.77
36,XOG,2019-03-07,3.88,3.925,3.74,3.86,3.86,6825094,0.0,1.0,56.6
37,XOG,2019-03-06,4.09,4.1,3.715,3.86,3.86,4207779,0.0,1.0,56.22
